Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, pea is ",present,present,pea,1,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, carrot is ",present,absent,carrot,2,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, green bean is ",present,present,green bean,3,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, string bean is ",present,absent,string bean,4,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, spinach is ",present,present,spinach,5,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, broccoli is ",present,present,broccoli,6,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, asparagus is ",present,present,asparagus,7,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, corn is ",present,absent,corn,8,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, cauliflower is ",present,present,cauliflower,9,vegetable
1,"Following is a list that contains a number of vegetables. After the list, a vegetable will be judged as either present or absent in the list. If the list contains the vegetable, answer with present. If the list does not contain the vegetable, answer with absent. The list of vegetables is: escarole, squash, spinach, asparagus, kale, green pepper, seaweed, eggplant, sauerkraut, pickle, rhubarb, green bean, green, parsnip, radish, beet, leek, pumpkin, green onion, parsley, broccoli, potato, cauliflower, watercress, pea, peanut, rutabaga, artichoke, zucchini. According to the list, zucchini is present. According to the list, bell pepper is absent. According to the list, brussels sprouts is ",present,absent,brussels sprouts,10,vegetable
