Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category,"score (sum, mean, [list)",params,model
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, automobile is ",present,absent,automobile,1,vehicle,"[(-7.6953125, -7.6953125, [-7.6953125]), (-11.578125, -11.578125, [-11.578125]), (-10.1015625, -10.1015625, [-10.1015625]), (-6.890625, -6.890625, [-6.890625]), (-13.0625, -13.0625, [-13.0625]), (-5.9921875, -5.9921875, [-5.9921875]), (-11.828125, -11.828125, [-11.828125]), (-12.328125, -12.328125, [-12.328125]), (-11.1171875, -11.1171875, [-11.1171875]), (-11.515625, -11.515625, [-11.515625]), (-14.0234375, -14.0234375, [-14.0234375]), (-10.3359375, -10.3359375, [-10.3359375]), (-14.09375, -14.09375, [-14.09375]), (-9.9375, -9.9375, [-9.9375]), (-10.0625, -10.0625, [-10.0625]), (-12.515625, -12.515625, [-12.515625]), (-7.30859375, -7.30859375, [-7.30859375]), (-10.34375, -10.34375, [-10.34375]), (-10.484375, -10.484375, [-10.484375]), (-10.3359375, -10.3359375, [-10.3359375]), (-15.5703125, -15.5703125, [-15.5703125]), (-10.515625, -10.515625, [-10.515625]), (-8.5, -8.5, [-8.5]), (-10.640625, -10.640625, [-10.640625]), (-8.9453125, -8.9453125, [-8.9453125]), (-10.8125, -10.8125, [-10.8125]), (-13.9296875, -13.9296875, [-13.9296875]), (-13.3125, -13.3125, [-13.3125]), (-11.921875, -11.921875, [-11.921875]), (-11.71875, -11.71875, [-11.71875]), (-9.21875, -9.21875, [-9.21875]), (-12.6171875, -12.6171875, [-12.6171875]), (-11.203125, -11.203125, [-11.203125]), (-15.4609375, -15.4609375, [-15.4609375]), (-11.703125, -11.703125, [-11.703125]), (-9.890625, -9.890625, [-9.890625]), (-11.125, -11.125, [-11.125]), (-10.7109375, -10.7109375, [-10.7109375]), (-9.859375, -9.859375, [-9.859375]), (-12.578125, -12.578125, [-12.578125]), (-10.3984375, -10.3984375, [-10.3984375]), (-10.1328125, -10.1328125, [-10.1328125]), (-7.1796875, -7.1796875, [-7.1796875]), (-12.46875, -12.46875, [-12.46875]), (-10.390625, -10.390625, [-10.390625]), (-13.7734375, -13.7734375, [-13.7734375]), (-11.859375, -11.859375, [-11.859375]), (-11.375, -11.375, [-11.375]), (-12.4140625, -12.4140625, [-12.4140625]), (-8.4375, -8.4375, [-8.4375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, station wagon is ",present,absent,station wagon,2,vehicle,"[(-11.7578125, -11.7578125, [-11.7578125]), (-11.328125, -11.328125, [-11.328125]), (-11.234375, -11.234375, [-11.234375]), (-12.125, -12.125, [-12.125]), (-8.609375, -8.609375, [-8.609375]), (-11.609375, -11.609375, [-11.609375]), (-7.94921875, -7.94921875, [-7.94921875]), (-9.515625, -9.515625, [-9.515625]), (-11.546875, -11.546875, [-11.546875]), (-8.609375, -8.609375, [-8.609375]), (-10.59375, -10.59375, [-10.59375]), (-11.984375, -11.984375, [-11.984375]), (-10.4375, -10.4375, [-10.4375]), (-7.95703125, -7.95703125, [-7.95703125]), (-9.921875, -9.921875, [-9.921875]), (-8.9375, -8.9375, [-8.9375]), (-11.953125, -11.953125, [-11.953125]), (-6.6328125, -6.6328125, [-6.6328125]), (-7.6640625, -7.6640625, [-7.6640625]), (-10.421875, -10.421875, [-10.421875]), (-12.9453125, -12.9453125, [-12.9453125]), (-8.5703125, -8.5703125, [-8.5703125]), (-9.2265625, -9.2265625, [-9.2265625]), (-8.671875, -8.671875, [-8.671875]), (-9.296875, -9.296875, [-9.296875]), (-9.34375, -9.34375, [-9.34375]), (-10.59375, -10.59375, [-10.59375]), (-12.78125, -12.78125, [-12.78125]), (-11.15625, -11.15625, [-11.15625]), (-12.21875, -12.21875, [-12.21875]), (-11.5390625, -11.5390625, [-11.5390625]), (-13.375, -13.375, [-13.375]), (-8.125, -8.125, [-8.125]), (-9.5546875, -9.5546875, [-9.5546875]), (-8.2109375, -8.2109375, [-8.2109375]), (-11.3125, -11.3125, [-11.3125]), (-9.8125, -9.8125, [-9.8125]), (-13.03125, -13.03125, [-13.03125]), (-12.5390625, -12.5390625, [-12.5390625]), (-10.921875, -10.921875, [-10.921875]), (-10.1484375, -10.1484375, [-10.1484375]), (-12.1171875, -12.1171875, [-12.1171875]), (-9.1484375, -9.1484375, [-9.1484375]), (-11.046875, -11.046875, [-11.046875]), (-11.890625, -11.890625, [-11.890625]), (-12.7265625, -12.7265625, [-12.7265625]), (-10.71875, -10.71875, [-10.71875]), (-11.0625, -11.0625, [-11.0625]), (-10.84375, -10.84375, [-10.84375]), (-12.125, -12.125, [-12.125])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, truck is ",present,present,truck,3,vehicle,"[(-11.34375, -11.34375, [-11.34375]), (-12.4375, -12.4375, [-12.4375]), (-9.59375, -9.59375, [-9.59375]), (-12.5, -12.5, [-12.5]), (-11.453125, -11.453125, [-11.453125]), (-9.15625, -9.15625, [-9.15625]), (-11.015625, -11.015625, [-11.015625]), (-11.7890625, -11.7890625, [-11.7890625]), (-9.8671875, -9.8671875, [-9.8671875]), (-11.9609375, -11.9609375, [-11.9609375]), (-10.875, -10.875, [-10.875]), (-10.734375, -10.734375, [-10.734375]), (-12.2734375, -12.2734375, [-12.2734375]), (-9.296875, -9.296875, [-9.296875]), (-10.640625, -10.640625, [-10.640625]), (-12.765625, -12.765625, [-12.765625]), (-14.0859375, -14.0859375, [-14.0859375]), (-10.84375, -10.84375, [-10.84375]), (-7.234375, -7.234375, [-7.234375]), (-10.1953125, -10.1953125, [-10.1953125]), (-9.8984375, -9.8984375, [-9.8984375]), (-12.484375, -12.484375, [-12.484375]), (-5.9609375, -5.9609375, [-5.9609375]), (-10.84375, -10.84375, [-10.84375]), (-10.2421875, -10.2421875, [-10.2421875]), (-15.75, -15.75, [-15.75]), (-10.6484375, -10.6484375, [-10.6484375]), (-10.1328125, -10.1328125, [-10.1328125]), (-8.53125, -8.53125, [-8.53125]), (-8.5, -8.5, [-8.5]), (-7.78125, -7.78125, [-7.78125]), (-10.8984375, -10.8984375, [-10.8984375]), (-11.28125, -11.28125, [-11.28125]), (-13.59375, -13.59375, [-13.59375]), (-9.7890625, -9.7890625, [-9.7890625]), (-10.2421875, -10.2421875, [-10.2421875]), (-9.1171875, -9.1171875, [-9.1171875]), (-12.5703125, -12.5703125, [-12.5703125]), (-12.2578125, -12.2578125, [-12.2578125]), (-10.9140625, -10.9140625, [-10.9140625]), (-13.4140625, -13.4140625, [-13.4140625]), (-10.5, -10.5, [-10.5]), (-7.8203125, -7.8203125, [-7.8203125]), (-7.92578125, -7.92578125, [-7.92578125]), (-9.203125, -9.203125, [-9.203125]), (-9.3046875, -9.3046875, [-9.3046875]), (-10.1953125, -10.1953125, [-10.1953125]), (-10.3515625, -10.3515625, [-10.3515625]), (-12.8515625, -12.8515625, [-12.8515625]), (-7.6953125, -7.6953125, [-7.6953125])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, car is ",present,absent,car,4,vehicle,"[(-9.234375, -9.234375, [-9.234375]), (-12.1171875, -12.1171875, [-12.1171875]), (-11.328125, -11.328125, [-11.328125]), (-8.171875, -8.171875, [-8.171875]), (-12.1484375, -12.1484375, [-12.1484375]), (-7.25, -7.25, [-7.25]), (-10.875, -10.875, [-10.875]), (-7.4375, -7.4375, [-7.4375]), (-11.9140625, -11.9140625, [-11.9140625]), (-11.9296875, -11.9296875, [-11.9296875]), (-9.2421875, -9.2421875, [-9.2421875]), (-9.4765625, -9.4765625, [-9.4765625]), (-14.625, -14.625, [-14.625]), (-11.6875, -11.6875, [-11.6875]), (-7.62890625, -7.62890625, [-7.62890625]), (-14.421875, -14.421875, [-14.421875]), (-10.9765625, -10.9765625, [-10.9765625]), (-11.75, -11.75, [-11.75]), (-10.921875, -10.921875, [-10.921875]), (-12.8203125, -12.8203125, [-12.8203125]), (-11.75, -11.75, [-11.75]), (-10.6796875, -10.6796875, [-10.6796875]), (-10.875, -10.875, [-10.875]), (-12.328125, -12.328125, [-12.328125]), (-11.8125, -11.8125, [-11.8125]), (-12.109375, -12.109375, [-12.109375]), (-10.03125, -10.03125, [-10.03125]), (-14.015625, -14.015625, [-14.015625]), (-13.390625, -13.390625, [-13.390625]), (-10.765625, -10.765625, [-10.765625]), (-10.609375, -10.609375, [-10.609375]), (-12.53125, -12.53125, [-12.53125]), (-9.40625, -9.40625, [-9.40625]), (-12.09375, -12.09375, [-12.09375]), (-8.890625, -8.890625, [-8.890625]), (-7.5859375, -7.5859375, [-7.5859375]), (-10.0, -10.0, [-10.0]), (-11.90625, -11.90625, [-11.90625]), (-12.0078125, -12.0078125, [-12.0078125]), (-13.171875, -13.171875, [-13.171875]), (-12.3984375, -12.3984375, [-12.3984375]), (-12.25, -12.25, [-12.25]), (-12.0625, -12.0625, [-12.0625]), (-11.0, -11.0, [-11.0]), (-9.7421875, -9.7421875, [-9.7421875]), (-13.8828125, -13.8828125, [-13.8828125]), (-10.703125, -10.703125, [-10.703125]), (-9.71875, -9.71875, [-9.71875]), (-9.921875, -9.921875, [-9.921875]), (-11.140625, -11.140625, [-11.140625])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, bus is ",present,present,bus,5,vehicle,"[(-12.6171875, -12.6171875, [-12.6171875]), (-10.59375, -10.59375, [-10.59375]), (-11.078125, -11.078125, [-11.078125]), (-11.109375, -11.109375, [-11.109375]), (-10.2421875, -10.2421875, [-10.2421875]), (-10.4375, -10.4375, [-10.4375]), (-12.2890625, -12.2890625, [-12.2890625]), (-13.7734375, -13.7734375, [-13.7734375]), (-8.859375, -8.859375, [-8.859375]), (-6.3125, -6.3125, [-6.3125]), (-9.7265625, -9.7265625, [-9.7265625]), (-8.8203125, -8.8203125, [-8.8203125]), (-10.609375, -10.609375, [-10.609375]), (-9.1953125, -9.1953125, [-9.1953125]), (-11.375, -11.375, [-11.375]), (-8.421875, -8.421875, [-8.421875]), (-11.609375, -11.609375, [-11.609375]), (-11.3515625, -11.3515625, [-11.3515625]), (-12.5, -12.5, [-12.5]), (-11.671875, -11.671875, [-11.671875]), (-12.3125, -12.3125, [-12.3125]), (-8.8359375, -8.8359375, [-8.8359375]), (-10.546875, -10.546875, [-10.546875]), (-9.65625, -9.65625, [-9.65625]), (-11.3515625, -11.3515625, [-11.3515625]), (-10.6328125, -10.6328125, [-10.6328125]), (-12.109375, -12.109375, [-12.109375]), (-9.03125, -9.03125, [-9.03125]), (-8.5625, -8.5625, [-8.5625]), (-11.5625, -11.5625, [-11.5625]), (-10.125, -10.125, [-10.125]), (-8.640625, -8.640625, [-8.640625]), (-10.984375, -10.984375, [-10.984375]), (-10.53125, -10.53125, [-10.53125]), (-6.66015625, -6.66015625, [-6.66015625]), (-12.0625, -12.0625, [-12.0625]), (-11.984375, -11.984375, [-11.984375]), (-12.5078125, -12.5078125, [-12.5078125]), (-11.421875, -11.421875, [-11.421875]), (-6.3828125, -6.3828125, [-6.3828125]), (-10.546875, -10.546875, [-10.546875]), (-11.09375, -11.09375, [-11.09375]), (-9.8125, -9.8125, [-9.8125]), (-11.453125, -11.453125, [-11.453125]), (-10.515625, -10.515625, [-10.515625]), (-11.2734375, -11.2734375, [-11.2734375]), (-7.0859375, -7.0859375, [-7.0859375]), (-10.203125, -10.203125, [-10.203125]), (-9.96875, -9.96875, [-9.96875]), (-10.109375, -10.109375, [-10.109375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, taxi is ",present,present,taxi,6,vehicle,"[(-12.609375, -12.609375, [-12.609375]), (-8.375, -8.375, [-8.375]), (-8.984375, -8.984375, [-8.984375]), (-7.7890625, -7.7890625, [-7.7890625]), (-10.421875, -10.421875, [-10.421875]), (-13.015625, -13.015625, [-13.015625]), (-12.4375, -12.4375, [-12.4375]), (-13.28125, -13.28125, [-13.28125]), (-10.296875, -10.296875, [-10.296875]), (-8.5625, -8.5625, [-8.5625]), (-12.046875, -12.046875, [-12.046875]), (-11.6484375, -11.6484375, [-11.6484375]), (-9.21875, -9.21875, [-9.21875]), (-12.71875, -12.71875, [-12.71875]), (-10.6875, -10.6875, [-10.6875]), (-10.6328125, -10.6328125, [-10.6328125]), (-11.09375, -11.09375, [-11.09375]), (-13.421875, -13.421875, [-13.421875]), (-10.9609375, -10.9609375, [-10.9609375]), (-9.84375, -9.84375, [-9.84375]), (-10.15625, -10.15625, [-10.15625]), (-11.296875, -11.296875, [-11.296875]), (-9.3125, -9.3125, [-9.3125]), (-9.4609375, -9.4609375, [-9.4609375]), (-11.46875, -11.46875, [-11.46875]), (-10.890625, -10.890625, [-10.890625]), (-8.921875, -8.921875, [-8.921875]), (-10.90625, -10.90625, [-10.90625]), (-10.8125, -10.8125, [-10.8125]), (-12.046875, -12.046875, [-12.046875]), (-13.6875, -13.6875, [-13.6875]), (-11.265625, -11.265625, [-11.265625]), (-14.7109375, -14.7109375, [-14.7109375]), (-8.21875, -8.21875, [-8.21875]), (-13.328125, -13.328125, [-13.328125]), (-9.859375, -9.859375, [-9.859375]), (-13.421875, -13.421875, [-13.421875]), (-10.296875, -10.296875, [-10.296875]), (-9.953125, -9.953125, [-9.953125]), (-8.8046875, -8.8046875, [-8.8046875]), (-12.4921875, -12.4921875, [-12.4921875]), (-12.828125, -12.828125, [-12.828125]), (-10.171875, -10.171875, [-10.171875]), (-11.828125, -11.828125, [-11.828125]), (-13.5, -13.5, [-13.5]), (-11.8515625, -11.8515625, [-11.8515625]), (-10.4375, -10.4375, [-10.4375]), (-6.7421875, -6.7421875, [-6.7421875]), (-10.0390625, -10.0390625, [-10.0390625]), (-10.421875, -10.421875, [-10.421875])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, jeep is ",present,absent,jeep,7,vehicle,"[(-10.265625, -10.265625, [-10.265625]), (-10.4375, -10.4375, [-10.4375]), (-11.0, -11.0, [-11.0]), (-5.40625, -5.40625, [-5.40625]), (-11.6875, -11.6875, [-11.6875]), (-10.390625, -10.390625, [-10.390625]), (-11.2890625, -11.2890625, [-11.2890625]), (-9.703125, -9.703125, [-9.703125]), (-9.9375, -9.9375, [-9.9375]), (-12.53125, -12.53125, [-12.53125]), (-11.25, -11.25, [-11.25]), (-10.5078125, -10.5078125, [-10.5078125]), (-11.4765625, -11.4765625, [-11.4765625]), (-7.98046875, -7.98046875, [-7.98046875]), (-9.0, -9.0, [-9.0]), (-8.65625, -8.65625, [-8.65625]), (-16.078125, -16.078125, [-16.078125]), (-10.71875, -10.71875, [-10.71875]), (-10.203125, -10.203125, [-10.203125]), (-10.453125, -10.453125, [-10.453125]), (-6.68359375, -6.68359375, [-6.68359375]), (-9.953125, -9.953125, [-9.953125]), (-9.8046875, -9.8046875, [-9.8046875]), (-11.609375, -11.609375, [-11.609375]), (-12.171875, -12.171875, [-12.171875]), (-9.84375, -9.84375, [-9.84375]), (-9.796875, -9.796875, [-9.796875]), (-10.84375, -10.84375, [-10.84375]), (-10.09375, -10.09375, [-10.09375]), (-10.890625, -10.890625, [-10.890625]), (-13.53125, -13.53125, [-13.53125]), (-8.40625, -8.40625, [-8.40625]), (-11.625, -11.625, [-11.625]), (-10.875, -10.875, [-10.875]), (-12.21875, -12.21875, [-12.21875]), (-11.5390625, -11.5390625, [-11.5390625]), (-11.640625, -11.640625, [-11.640625]), (-9.015625, -9.015625, [-9.015625]), (-14.953125, -14.953125, [-14.953125]), (-10.9609375, -10.9609375, [-10.9609375]), (-8.8125, -8.8125, [-8.8125]), (-11.6171875, -11.6171875, [-11.6171875]), (-11.8984375, -11.8984375, [-11.8984375]), (-12.5, -12.5, [-12.5]), (-14.90625, -14.90625, [-14.90625]), (-10.6875, -10.6875, [-10.6875]), (-11.453125, -11.453125, [-11.453125]), (-8.5859375, -8.5859375, [-8.5859375]), (-10.734375, -10.734375, [-10.734375]), (-13.53125, -13.53125, [-13.53125])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, ambulance is ",present,absent,ambulance,8,vehicle,"[(-8.5, -8.5, [-8.5]), (-12.5234375, -12.5234375, [-12.5234375]), (-10.25, -10.25, [-10.25]), (-12.28125, -12.28125, [-12.28125]), (-13.1953125, -13.1953125, [-13.1953125]), (-8.125, -8.125, [-8.125]), (-6.03125, -6.03125, [-6.03125]), (-10.921875, -10.921875, [-10.921875]), (-11.484375, -11.484375, [-11.484375]), (-11.859375, -11.859375, [-11.859375]), (-12.1484375, -12.1484375, [-12.1484375]), (-11.4453125, -11.4453125, [-11.4453125]), (-13.1875, -13.1875, [-13.1875]), (-12.625, -12.625, [-12.625]), (-8.6875, -8.6875, [-8.6875]), (-8.984375, -8.984375, [-8.984375]), (-11.9375, -11.9375, [-11.9375]), (-10.609375, -10.609375, [-10.609375]), (-9.96875, -9.96875, [-9.96875]), (-12.0703125, -12.0703125, [-12.0703125]), (-11.234375, -11.234375, [-11.234375]), (-11.25, -11.25, [-11.25]), (-9.9765625, -9.9765625, [-9.9765625]), (-14.375, -14.375, [-14.375]), (-10.25, -10.25, [-10.25]), (-10.625, -10.625, [-10.625]), (-9.3828125, -9.3828125, [-9.3828125]), (-11.9375, -11.9375, [-11.9375]), (-11.6875, -11.6875, [-11.6875]), (-12.546875, -12.546875, [-12.546875]), (-14.359375, -14.359375, [-14.359375]), (-11.90625, -11.90625, [-11.90625]), (-11.6328125, -11.6328125, [-11.6328125]), (-12.328125, -12.328125, [-12.328125]), (-11.0078125, -11.0078125, [-11.0078125]), (-9.28125, -9.28125, [-9.28125]), (-11.953125, -11.953125, [-11.953125]), (-13.2578125, -13.2578125, [-13.2578125]), (-12.1484375, -12.1484375, [-12.1484375]), (-10.984375, -10.984375, [-10.984375]), (-10.7578125, -10.7578125, [-10.7578125]), (-12.234375, -12.234375, [-12.234375]), (-13.953125, -13.953125, [-13.953125]), (-13.015625, -13.015625, [-13.015625]), (-11.4375, -11.4375, [-11.4375]), (-9.078125, -9.078125, [-9.078125]), (-12.0, -12.0, [-12.0]), (-8.671875, -8.671875, [-8.671875]), (-10.0390625, -10.0390625, [-10.0390625]), (-13.4609375, -13.4609375, [-13.4609375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, motorcycle is ",present,absent,motorcycle,9,vehicle,"[(-9.4609375, -9.4609375, [-9.4609375]), (-7.328125, -7.328125, [-7.328125]), (-6.6015625, -6.6015625, [-6.6015625]), (-12.875, -12.875, [-12.875]), (-11.125, -11.125, [-11.125]), (-13.5234375, -13.5234375, [-13.5234375]), (-14.125, -14.125, [-14.125]), (-12.7734375, -12.7734375, [-12.7734375]), (-11.6875, -11.6875, [-11.6875]), (-13.578125, -13.578125, [-13.578125]), (-8.640625, -8.640625, [-8.640625]), (-8.3984375, -8.3984375, [-8.3984375]), (-13.265625, -13.265625, [-13.265625]), (-12.6875, -12.6875, [-12.6875]), (-10.1328125, -10.1328125, [-10.1328125]), (-11.203125, -11.203125, [-11.203125]), (-9.78125, -9.78125, [-9.78125]), (-12.8046875, -12.8046875, [-12.8046875]), (-10.765625, -10.765625, [-10.765625]), (-7.90625, -7.90625, [-7.90625]), (-9.0625, -9.0625, [-9.0625]), (-10.359375, -10.359375, [-10.359375]), (-9.328125, -9.328125, [-9.328125]), (-12.65625, -12.65625, [-12.65625]), (-11.609375, -11.609375, [-11.609375]), (-13.796875, -13.796875, [-13.796875]), (-10.0, -10.0, [-10.0]), (-13.0859375, -13.0859375, [-13.0859375]), (-12.015625, -12.015625, [-12.015625]), (-11.984375, -11.984375, [-11.984375]), (-12.1875, -12.1875, [-12.1875]), (-8.9375, -8.9375, [-8.9375]), (-9.7421875, -9.7421875, [-9.7421875]), (-9.6875, -9.6875, [-9.6875]), (-12.96875, -12.96875, [-12.96875]), (-12.515625, -12.515625, [-12.515625]), (-10.796875, -10.796875, [-10.796875]), (-13.0625, -13.0625, [-13.0625]), (-12.1015625, -12.1015625, [-12.1015625]), (-11.5625, -11.5625, [-11.5625]), (-12.921875, -12.921875, [-12.921875]), (-8.8515625, -8.8515625, [-8.8515625]), (-10.65625, -10.65625, [-10.65625]), (-11.2109375, -11.2109375, [-11.2109375]), (-10.640625, -10.640625, [-10.640625]), (-5.078125, -5.078125, [-5.078125]), (-9.234375, -9.234375, [-9.234375]), (-8.953125, -8.953125, [-8.953125]), (-7.4921875, -7.4921875, [-7.4921875]), (-10.40625, -10.40625, [-10.40625])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, streetcar is ",present,present,streetcar,10,vehicle,"[(-11.625, -11.625, [-11.625]), (-12.46875, -12.46875, [-12.46875]), (-13.09375, -13.09375, [-13.09375]), (-10.7265625, -10.7265625, [-10.7265625]), (-10.0, -10.0, [-10.0]), (-7.84375, -7.84375, [-7.84375]), (-9.71875, -9.71875, [-9.71875]), (-12.171875, -12.171875, [-12.171875]), (-9.53125, -9.53125, [-9.53125]), (-12.484375, -12.484375, [-12.484375]), (-14.6640625, -14.6640625, [-14.6640625]), (-10.203125, -10.203125, [-10.203125]), (-13.578125, -13.578125, [-13.578125]), (-12.703125, -12.703125, [-12.703125]), (-9.109375, -9.109375, [-9.109375]), (-11.28125, -11.28125, [-11.28125]), (-7.59375, -7.59375, [-7.59375]), (-12.1484375, -12.1484375, [-12.1484375]), (-13.15625, -13.15625, [-13.15625]), (-11.15625, -11.15625, [-11.15625]), (-9.421875, -9.421875, [-9.421875]), (-8.125, -8.125, [-8.125]), (-10.671875, -10.671875, [-10.671875]), (-11.453125, -11.453125, [-11.453125]), (-10.859375, -10.859375, [-10.859375]), (-8.65625, -8.65625, [-8.65625]), (-9.4375, -9.4375, [-9.4375]), (-8.546875, -8.546875, [-8.546875]), (-13.421875, -13.421875, [-13.421875]), (-14.3515625, -14.3515625, [-14.3515625]), (-9.828125, -9.828125, [-9.828125]), (-10.8203125, -10.8203125, [-10.8203125]), (-8.1171875, -8.1171875, [-8.1171875]), (-10.6171875, -10.6171875, [-10.6171875]), (-8.953125, -8.953125, [-8.953125]), (-11.28125, -11.28125, [-11.28125]), (-8.4375, -8.4375, [-8.4375]), (-10.484375, -10.484375, [-10.484375]), (-11.8125, -11.8125, [-11.8125]), (-10.390625, -10.390625, [-10.390625]), (-13.21875, -13.21875, [-13.21875]), (-7.4140625, -7.4140625, [-7.4140625]), (-9.6875, -9.6875, [-9.6875]), (-13.390625, -13.390625, [-13.390625]), (-13.21875, -13.21875, [-13.21875]), (-12.015625, -12.015625, [-12.015625]), (-12.109375, -12.109375, [-12.109375]), (-14.1015625, -14.1015625, [-14.1015625]), (-13.984375, -13.984375, [-13.984375]), (-10.796875, -10.796875, [-10.796875])]",124697433,FacebookAI_roberta-base
