Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category,"score (sum, mean, [list)",params,model
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, doll is ",present,absent,doll,1,toys,"[(-12.078125, -12.078125, [-12.078125]), (-10.3984375, -10.3984375, [-10.3984375]), (-11.9375, -11.9375, [-11.9375]), (-10.765625, -10.765625, [-10.765625]), (-6.03125, -6.03125, [-6.03125]), (-12.4609375, -12.4609375, [-12.4609375]), (-6.34375, -6.34375, [-6.34375]), (-9.5390625, -9.5390625, [-9.5390625]), (-9.375, -9.375, [-9.375]), (-9.203125, -9.203125, [-9.203125]), (-11.625, -11.625, [-11.625]), (-12.453125, -12.453125, [-12.453125]), (-9.6640625, -9.6640625, [-9.6640625]), (-10.296875, -10.296875, [-10.296875]), (-9.046875, -9.046875, [-9.046875]), (-6.80078125, -6.80078125, [-6.80078125]), (-10.53125, -10.53125, [-10.53125]), (-11.890625, -11.890625, [-11.890625]), (-6.31640625, -6.31640625, [-6.31640625]), (-9.171875, -9.171875, [-9.171875]), (-8.2421875, -8.2421875, [-8.2421875]), (-9.6875, -9.6875, [-9.6875]), (-11.359375, -11.359375, [-11.359375]), (-12.484375, -12.484375, [-12.484375]), (-11.4921875, -11.4921875, [-11.4921875]), (-9.65625, -9.65625, [-9.65625]), (-9.515625, -9.515625, [-9.515625]), (-9.8515625, -9.8515625, [-9.8515625]), (-9.265625, -9.265625, [-9.265625]), (-6.5, -6.5, [-6.5]), (-14.5390625, -14.5390625, [-14.5390625]), (-9.9453125, -9.9453125, [-9.9453125]), (-7.98828125, -7.98828125, [-7.98828125]), (-11.7578125, -11.7578125, [-11.7578125]), (-7.66015625, -7.66015625, [-7.66015625]), (-8.3984375, -8.3984375, [-8.3984375]), (-9.0625, -9.0625, [-9.0625]), (-11.015625, -11.015625, [-11.015625]), (-10.4375, -10.4375, [-10.4375]), (-10.84375, -10.84375, [-10.84375]), (-11.4375, -11.4375, [-11.4375]), (-8.53125, -8.53125, [-8.53125]), (-7.45703125, -7.45703125, [-7.45703125]), (-10.890625, -10.890625, [-10.890625]), (-10.921875, -10.921875, [-10.921875]), (-10.34375, -10.34375, [-10.34375]), (-8.4375, -8.4375, [-8.4375]), (-7.609375, -7.609375, [-7.609375]), (-10.71875, -10.71875, [-10.71875]), (-8.8984375, -8.8984375, [-8.8984375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, top is ",present,present,top,2,toys,"[(-9.8046875, -9.8046875, [-9.8046875]), (-11.875, -11.875, [-11.875]), (-10.09375, -10.09375, [-10.09375]), (-12.8984375, -12.8984375, [-12.8984375]), (-9.7109375, -9.7109375, [-9.7109375]), (-14.546875, -14.546875, [-14.546875]), (-10.84375, -10.84375, [-10.84375]), (-12.3125, -12.3125, [-12.3125]), (-11.109375, -11.109375, [-11.109375]), (-13.3984375, -13.3984375, [-13.3984375]), (-10.671875, -10.671875, [-10.671875]), (-9.3671875, -9.3671875, [-9.3671875]), (-12.65625, -12.65625, [-12.65625]), (-7.890625, -7.890625, [-7.890625]), (-9.8203125, -9.8203125, [-9.8203125]), (-13.0390625, -13.0390625, [-13.0390625]), (-11.703125, -11.703125, [-11.703125]), (-8.375, -8.375, [-8.375]), (-10.28125, -10.28125, [-10.28125]), (-9.7421875, -9.7421875, [-9.7421875]), (-7.47265625, -7.47265625, [-7.47265625]), (-6.1640625, -6.1640625, [-6.1640625]), (-6.94921875, -6.94921875, [-6.94921875]), (-10.09375, -10.09375, [-10.09375]), (-10.171875, -10.171875, [-10.171875]), (-8.0625, -8.0625, [-8.0625]), (-6.734375, -6.734375, [-6.734375]), (-9.65625, -9.65625, [-9.65625]), (-10.0234375, -10.0234375, [-10.0234375]), (-10.21875, -10.21875, [-10.21875]), (-12.2890625, -12.2890625, [-12.2890625]), (-11.875, -11.875, [-11.875]), (-10.4609375, -10.4609375, [-10.4609375]), (-10.7890625, -10.7890625, [-10.7890625]), (-8.4375, -8.4375, [-8.4375]), (-13.578125, -13.578125, [-13.578125]), (-11.859375, -11.859375, [-11.859375]), (-6.1875, -6.1875, [-6.1875]), (-7.6015625, -7.6015625, [-7.6015625]), (-11.2109375, -11.2109375, [-11.2109375]), (-6.578125, -6.578125, [-6.578125]), (-7.59375, -7.59375, [-7.59375]), (-11.46875, -11.46875, [-11.46875]), (-8.78125, -8.78125, [-8.78125]), (-8.4296875, -8.4296875, [-8.4296875]), (-9.296875, -9.296875, [-9.296875]), (-13.0, -13.0, [-13.0]), (-13.28125, -13.28125, [-13.28125]), (-7.328125, -7.328125, [-7.328125]), (-10.453125, -10.453125, [-10.453125])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, jack-in-the-box is ",present,absent,jack-in-the-box,3,toys,"[(-10.859375, -10.859375, [-10.859375]), (-9.0, -9.0, [-9.0]), (-8.84375, -8.84375, [-8.84375]), (-10.078125, -10.078125, [-10.078125]), (-7.84375, -7.84375, [-7.84375]), (-12.640625, -12.640625, [-12.640625]), (-7.7421875, -7.7421875, [-7.7421875]), (-8.46875, -8.46875, [-8.46875]), (-6.4609375, -6.4609375, [-6.4609375]), (-12.96875, -12.96875, [-12.96875]), (-11.828125, -11.828125, [-11.828125]), (-9.96875, -9.96875, [-9.96875]), (-10.0625, -10.0625, [-10.0625]), (-10.71875, -10.71875, [-10.71875]), (-7.84765625, -7.84765625, [-7.84765625]), (-6.421875, -6.421875, [-6.421875]), (-10.3671875, -10.3671875, [-10.3671875]), (-10.4375, -10.4375, [-10.4375]), (-8.4296875, -8.4296875, [-8.4296875]), (-11.703125, -11.703125, [-11.703125]), (-10.296875, -10.296875, [-10.296875]), (-12.15625, -12.15625, [-12.15625]), (-9.5546875, -9.5546875, [-9.5546875]), (-11.9140625, -11.9140625, [-11.9140625]), (-12.21875, -12.21875, [-12.21875]), (-11.1171875, -11.1171875, [-11.1171875]), (-8.953125, -8.953125, [-8.953125]), (-12.796875, -12.796875, [-12.796875]), (-11.3125, -11.3125, [-11.3125]), (-9.03125, -9.03125, [-9.03125]), (-11.8671875, -11.8671875, [-11.8671875]), (-10.625, -10.625, [-10.625]), (-10.0, -10.0, [-10.0]), (-8.53125, -8.53125, [-8.53125]), (-11.8828125, -11.8828125, [-11.8828125]), (-7.5234375, -7.5234375, [-7.5234375]), (-11.34375, -11.34375, [-11.34375]), (-4.9296875, -4.9296875, [-4.9296875]), (-12.4609375, -12.4609375, [-12.4609375]), (-11.828125, -11.828125, [-11.828125]), (-10.4375, -10.4375, [-10.4375]), (-11.21875, -11.21875, [-11.21875]), (-13.203125, -13.203125, [-13.203125]), (-13.953125, -13.953125, [-13.953125]), (-12.40625, -12.40625, [-12.40625]), (-11.7109375, -11.7109375, [-11.7109375]), (-11.3125, -11.3125, [-11.3125]), (-10.84375, -10.84375, [-10.84375]), (-11.8125, -11.8125, [-11.8125]), (-7.87109375, -7.87109375, [-7.87109375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, toy soldier is ",present,absent,toy soldier,4,toys,"[(-11.609375, -11.609375, [-11.609375]), (-7.3828125, -7.3828125, [-7.3828125]), (-11.0703125, -11.0703125, [-11.0703125]), (-12.59375, -12.59375, [-12.59375]), (-12.40625, -12.40625, [-12.40625]), (-11.28125, -11.28125, [-11.28125]), (-10.5, -10.5, [-10.5]), (-13.21875, -13.21875, [-13.21875]), (-12.09375, -12.09375, [-12.09375]), (-9.015625, -9.015625, [-9.015625]), (-13.9609375, -13.9609375, [-13.9609375]), (-11.40625, -11.40625, [-11.40625]), (-6.7890625, -6.7890625, [-6.7890625]), (-13.5234375, -13.5234375, [-13.5234375]), (-10.046875, -10.046875, [-10.046875]), (-12.7421875, -12.7421875, [-12.7421875]), (-11.84375, -11.84375, [-11.84375]), (-9.875, -9.875, [-9.875]), (-10.234375, -10.234375, [-10.234375]), (-11.359375, -11.359375, [-11.359375]), (-9.609375, -9.609375, [-9.609375]), (-11.484375, -11.484375, [-11.484375]), (-10.9375, -10.9375, [-10.9375]), (-8.6875, -8.6875, [-8.6875]), (-7.9609375, -7.9609375, [-7.9609375]), (-11.515625, -11.515625, [-11.515625]), (-7.97265625, -7.97265625, [-7.97265625]), (-9.453125, -9.453125, [-9.453125]), (-11.4609375, -11.4609375, [-11.4609375]), (-7.796875, -7.796875, [-7.796875]), (-10.4296875, -10.4296875, [-10.4296875]), (-11.28125, -11.28125, [-11.28125]), (-10.15625, -10.15625, [-10.15625]), (-11.15625, -11.15625, [-11.15625]), (-10.421875, -10.421875, [-10.421875]), (-13.21875, -13.21875, [-13.21875]), (-10.5, -10.5, [-10.5]), (-8.859375, -8.859375, [-8.859375]), (-12.0, -12.0, [-12.0]), (-10.109375, -10.109375, [-10.109375]), (-9.484375, -9.484375, [-9.484375]), (-10.75, -10.75, [-10.75]), (-8.84375, -8.84375, [-8.84375]), (-15.015625, -15.015625, [-15.015625]), (-9.359375, -9.359375, [-9.359375]), (-12.2421875, -12.2421875, [-12.2421875]), (-11.265625, -11.265625, [-11.265625]), (-9.640625, -9.640625, [-9.640625]), (-12.828125, -12.828125, [-12.828125]), (-6.484375, -6.484375, [-6.484375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, yo-yo is ",present,present,yo-yo,5,toys,"[(-10.90625, -10.90625, [-10.90625]), (-8.734375, -8.734375, [-8.734375]), (-10.6171875, -10.6171875, [-10.6171875]), (-11.109375, -11.109375, [-11.109375]), (-7.9296875, -7.9296875, [-7.9296875]), (-10.59375, -10.59375, [-10.59375]), (-11.3125, -11.3125, [-11.3125]), (-11.5, -11.5, [-11.5]), (-11.0625, -11.0625, [-11.0625]), (-13.59375, -13.59375, [-13.59375]), (-13.375, -13.375, [-13.375]), (-14.5, -14.5, [-14.5]), (-10.3515625, -10.3515625, [-10.3515625]), (-13.625, -13.625, [-13.625]), (-12.734375, -12.734375, [-12.734375]), (-7.375, -7.375, [-7.375]), (-10.546875, -10.546875, [-10.546875]), (-7.0859375, -7.0859375, [-7.0859375]), (-9.953125, -9.953125, [-9.953125]), (-8.21875, -8.21875, [-8.21875]), (-11.0859375, -11.0859375, [-11.0859375]), (-9.796875, -9.796875, [-9.796875]), (-12.015625, -12.015625, [-12.015625]), (-9.453125, -9.453125, [-9.453125]), (-5.0703125, -5.0703125, [-5.0703125]), (-9.6328125, -9.6328125, [-9.6328125]), (-11.015625, -11.015625, [-11.015625]), (-8.28125, -8.28125, [-8.28125]), (-7.875, -7.875, [-7.875]), (-10.2578125, -10.2578125, [-10.2578125]), (-10.046875, -10.046875, [-10.046875]), (-8.9140625, -8.9140625, [-8.9140625]), (-9.875, -9.875, [-9.875]), (-10.78125, -10.78125, [-10.78125]), (-14.171875, -14.171875, [-14.171875]), (-9.125, -9.125, [-9.125]), (-10.71875, -10.71875, [-10.71875]), (-10.9375, -10.9375, [-10.9375]), (-11.0546875, -11.0546875, [-11.0546875]), (-10.921875, -10.921875, [-10.921875]), (-10.078125, -10.078125, [-10.078125]), (-11.25, -11.25, [-11.25]), (-8.1875, -8.1875, [-8.1875]), (-9.34375, -9.34375, [-9.34375]), (-11.375, -11.375, [-11.375]), (-7.66015625, -7.66015625, [-7.66015625]), (-9.921875, -9.921875, [-9.921875]), (-11.234375, -11.234375, [-11.234375]), (-6.0703125, -6.0703125, [-6.0703125]), (-9.046875, -9.046875, [-9.046875])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, block is ",present,present,block,6,toys,"[(-10.0703125, -10.0703125, [-10.0703125]), (-10.046875, -10.046875, [-10.046875]), (-10.4375, -10.4375, [-10.4375]), (-8.28125, -8.28125, [-8.28125]), (-11.828125, -11.828125, [-11.828125]), (-8.71875, -8.71875, [-8.71875]), (-7.65625, -7.65625, [-7.65625]), (-8.125, -8.125, [-8.125]), (-12.890625, -12.890625, [-12.890625]), (-10.25, -10.25, [-10.25]), (-6.9921875, -6.9921875, [-6.9921875]), (-9.0078125, -9.0078125, [-9.0078125]), (-9.78125, -9.78125, [-9.78125]), (-9.53125, -9.53125, [-9.53125]), (-13.203125, -13.203125, [-13.203125]), (-10.875, -10.875, [-10.875]), (-10.015625, -10.015625, [-10.015625]), (-8.359375, -8.359375, [-8.359375]), (-11.4765625, -11.4765625, [-11.4765625]), (-9.765625, -9.765625, [-9.765625]), (-11.453125, -11.453125, [-11.453125]), (-12.3125, -12.3125, [-12.3125]), (-6.8984375, -6.8984375, [-6.8984375]), (-11.34375, -11.34375, [-11.34375]), (-12.78125, -12.78125, [-12.78125]), (-6.046875, -6.046875, [-6.046875]), (-7.6640625, -7.6640625, [-7.6640625]), (-12.1953125, -12.1953125, [-12.1953125]), (-9.53125, -9.53125, [-9.53125]), (-8.2890625, -8.2890625, [-8.2890625]), (-10.5625, -10.5625, [-10.5625]), (-9.375, -9.375, [-9.375]), (-10.9375, -10.9375, [-10.9375]), (-7.71875, -7.71875, [-7.71875]), (-7.0703125, -7.0703125, [-7.0703125]), (-10.015625, -10.015625, [-10.015625]), (-11.3125, -11.3125, [-11.3125]), (-11.265625, -11.265625, [-11.265625]), (-10.15625, -10.15625, [-10.15625]), (-5.8359375, -5.8359375, [-5.8359375]), (-9.453125, -9.453125, [-9.453125]), (-8.3984375, -8.3984375, [-8.3984375]), (-9.734375, -9.734375, [-9.734375]), (-11.4375, -11.4375, [-11.4375]), (-10.1640625, -10.1640625, [-10.1640625]), (-7.3828125, -7.3828125, [-7.3828125]), (-8.703125, -8.703125, [-8.703125]), (-10.640625, -10.640625, [-10.640625]), (-9.7265625, -9.7265625, [-9.7265625]), (-11.359375, -11.359375, [-11.359375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, marbles is ",present,absent,marbles,7,toys,"[(-10.7421875, -10.7421875, [-10.7421875]), (-9.328125, -9.328125, [-9.328125]), (-7.3125, -7.3125, [-7.3125]), (-9.7734375, -9.7734375, [-9.7734375]), (-7.8046875, -7.8046875, [-7.8046875]), (-9.34375, -9.34375, [-9.34375]), (-10.578125, -10.578125, [-10.578125]), (-9.984375, -9.984375, [-9.984375]), (-12.015625, -12.015625, [-12.015625]), (-9.46875, -9.46875, [-9.46875]), (-9.21875, -9.21875, [-9.21875]), (-10.0625, -10.0625, [-10.0625]), (-10.625, -10.625, [-10.625]), (-9.4375, -9.4375, [-9.4375]), (-7.0, -7.0, [-7.0]), (-9.0078125, -9.0078125, [-9.0078125]), (-10.671875, -10.671875, [-10.671875]), (-8.15625, -8.15625, [-8.15625]), (-9.6953125, -9.6953125, [-9.6953125]), (-9.40625, -9.40625, [-9.40625]), (-12.03125, -12.03125, [-12.03125]), (-11.8203125, -11.8203125, [-11.8203125]), (-8.953125, -8.953125, [-8.953125]), (-8.7578125, -8.7578125, [-8.7578125]), (-13.734375, -13.734375, [-13.734375]), (-10.53125, -10.53125, [-10.53125]), (-9.96875, -9.96875, [-9.96875]), (-11.390625, -11.390625, [-11.390625]), (-13.28125, -13.28125, [-13.28125]), (-11.6484375, -11.6484375, [-11.6484375]), (-12.109375, -12.109375, [-12.109375]), (-11.859375, -11.859375, [-11.859375]), (-12.390625, -12.390625, [-12.390625]), (-7.578125, -7.578125, [-7.578125]), (-9.546875, -9.546875, [-9.546875]), (-10.15625, -10.15625, [-10.15625]), (-8.421875, -8.421875, [-8.421875]), (-10.9453125, -10.9453125, [-10.9453125]), (-10.796875, -10.796875, [-10.796875]), (-9.78125, -9.78125, [-9.78125]), (-12.5703125, -12.5703125, [-12.5703125]), (-12.28125, -12.28125, [-12.28125]), (-13.84375, -13.84375, [-13.84375]), (-11.0234375, -11.0234375, [-11.0234375]), (-9.15625, -9.15625, [-9.15625]), (-12.765625, -12.765625, [-12.765625]), (-11.65625, -11.65625, [-11.65625]), (-12.6484375, -12.6484375, [-12.6484375]), (-11.671875, -11.671875, [-11.671875]), (-8.8671875, -8.8671875, [-8.8671875])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, rattle is ",present,present,rattle,8,toys,"[(-10.484375, -10.484375, [-10.484375]), (-11.171875, -11.171875, [-11.171875]), (-6.765625, -6.765625, [-6.765625]), (-12.25, -12.25, [-12.25]), (-8.84375, -8.84375, [-8.84375]), (-10.421875, -10.421875, [-10.421875]), (-7.96875, -7.96875, [-7.96875]), (-10.6875, -10.6875, [-10.6875]), (-6.296875, -6.296875, [-6.296875]), (-9.2265625, -9.2265625, [-9.2265625]), (-12.140625, -12.140625, [-12.140625]), (-9.234375, -9.234375, [-9.234375]), (-7.8125, -7.8125, [-7.8125]), (-11.21875, -11.21875, [-11.21875]), (-10.015625, -10.015625, [-10.015625]), (-9.546875, -9.546875, [-9.546875]), (-9.09375, -9.09375, [-9.09375]), (-6.3046875, -6.3046875, [-6.3046875]), (-10.6171875, -10.6171875, [-10.6171875]), (-7.3203125, -7.3203125, [-7.3203125]), (-9.84375, -9.84375, [-9.84375]), (-10.796875, -10.796875, [-10.796875]), (-7.109375, -7.109375, [-7.109375]), (-10.9921875, -10.9921875, [-10.9921875]), (-12.28125, -12.28125, [-12.28125]), (-7.46875, -7.46875, [-7.46875]), (-8.984375, -8.984375, [-8.984375]), (-9.3125, -9.3125, [-9.3125]), (-8.203125, -8.203125, [-8.203125]), (-9.6875, -9.6875, [-9.6875]), (-7.9765625, -7.9765625, [-7.9765625]), (-5.3359375, -5.3359375, [-5.3359375]), (-10.578125, -10.578125, [-10.578125]), (-10.703125, -10.703125, [-10.703125]), (-5.7578125, -5.7578125, [-5.7578125]), (-11.09375, -11.09375, [-11.09375]), (-9.421875, -9.421875, [-9.421875]), (-7.80859375, -7.80859375, [-7.80859375]), (-11.125, -11.125, [-11.125]), (-9.84375, -9.84375, [-9.84375]), (-12.375, -12.375, [-12.375]), (-8.734375, -8.734375, [-8.734375]), (-14.4921875, -14.4921875, [-14.4921875]), (-10.734375, -10.734375, [-10.734375]), (-14.6875, -14.6875, [-14.6875]), (-10.296875, -10.296875, [-10.296875]), (-8.203125, -8.203125, [-8.203125]), (-7.86328125, -7.86328125, [-7.86328125]), (-14.0, -14.0, [-14.0]), (-9.90625, -9.90625, [-9.90625])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, stuffed animal is ",present,present,stuffed animal,9,toys,"[(-6.5390625, -6.5390625, [-6.5390625]), (-9.21875, -9.21875, [-9.21875]), (-11.046875, -11.046875, [-11.046875]), (-14.96875, -14.96875, [-14.96875]), (-9.078125, -9.078125, [-9.078125]), (-11.53125, -11.53125, [-11.53125]), (-12.0, -12.0, [-12.0]), (-8.109375, -8.109375, [-8.109375]), (-7.8046875, -7.8046875, [-7.8046875]), (-6.1171875, -6.1171875, [-6.1171875]), (-9.171875, -9.171875, [-9.171875]), (-9.140625, -9.140625, [-9.140625]), (-11.71875, -11.71875, [-11.71875]), (-8.3203125, -8.3203125, [-8.3203125]), (-12.703125, -12.703125, [-12.703125]), (-9.21875, -9.21875, [-9.21875]), (-6.4296875, -6.4296875, [-6.4296875]), (-4.1953125, -4.1953125, [-4.1953125]), (-11.421875, -11.421875, [-11.421875]), (-9.0625, -9.0625, [-9.0625]), (-10.6015625, -10.6015625, [-10.6015625]), (-9.015625, -9.015625, [-9.015625]), (-11.109375, -11.109375, [-11.109375]), (-9.859375, -9.859375, [-9.859375]), (-10.03125, -10.03125, [-10.03125]), (-9.359375, -9.359375, [-9.359375]), (-11.296875, -11.296875, [-11.296875]), (-7.78125, -7.78125, [-7.78125]), (-9.53125, -9.53125, [-9.53125]), (-8.921875, -8.921875, [-8.921875]), (-8.859375, -8.859375, [-8.859375]), (-12.53125, -12.53125, [-12.53125]), (-11.4609375, -11.4609375, [-11.4609375]), (-12.09375, -12.09375, [-12.09375]), (-10.0546875, -10.0546875, [-10.0546875]), (-10.9453125, -10.9453125, [-10.9453125]), (-12.671875, -12.671875, [-12.671875]), (-9.953125, -9.953125, [-9.953125]), (-13.84375, -13.84375, [-13.84375]), (-13.375, -13.375, [-13.375]), (-9.2734375, -9.2734375, [-9.2734375]), (-12.890625, -12.890625, [-12.890625]), (-8.859375, -8.859375, [-8.859375]), (-7.25, -7.25, [-7.25]), (-10.0, -10.0, [-10.0]), (-9.328125, -9.328125, [-9.328125]), (-9.125, -9.125, [-9.125]), (-10.046875, -10.046875, [-10.046875]), (-12.9296875, -12.9296875, [-12.9296875]), (-10.2890625, -10.2890625, [-10.2890625])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, water pistol is ",present,present,water pistol,10,toys,"[(-10.046875, -10.046875, [-10.046875]), (-11.375, -11.375, [-11.375]), (-8.7421875, -8.7421875, [-8.7421875]), (-11.28125, -11.28125, [-11.28125]), (-14.9453125, -14.9453125, [-14.9453125]), (-10.734375, -10.734375, [-10.734375]), (-10.5703125, -10.5703125, [-10.5703125]), (-7.83984375, -7.83984375, [-7.83984375]), (-12.625, -12.625, [-12.625]), (-9.640625, -9.640625, [-9.640625]), (-6.4375, -6.4375, [-6.4375]), (-9.921875, -9.921875, [-9.921875]), (-10.6328125, -10.6328125, [-10.6328125]), (-7.98046875, -7.98046875, [-7.98046875]), (-11.015625, -11.015625, [-11.015625]), (-9.71875, -9.71875, [-9.71875]), (-11.3671875, -11.3671875, [-11.3671875]), (-10.828125, -10.828125, [-10.828125]), (-13.8359375, -13.8359375, [-13.8359375]), (-5.7890625, -5.7890625, [-5.7890625]), (-9.78125, -9.78125, [-9.78125]), (-9.59375, -9.59375, [-9.59375]), (-10.0703125, -10.0703125, [-10.0703125]), (-10.1796875, -10.1796875, [-10.1796875]), (-6.8359375, -6.8359375, [-6.8359375]), (-8.3515625, -8.3515625, [-8.3515625]), (-10.046875, -10.046875, [-10.046875]), (-9.59375, -9.59375, [-9.59375]), (-7.421875, -7.421875, [-7.421875]), (-9.015625, -9.015625, [-9.015625]), (-10.71875, -10.71875, [-10.71875]), (-7.83984375, -7.83984375, [-7.83984375]), (-9.3125, -9.3125, [-9.3125]), (-5.7734375, -5.7734375, [-5.7734375]), (-11.390625, -11.390625, [-11.390625]), (-9.09375, -9.09375, [-9.09375]), (-9.4765625, -9.4765625, [-9.4765625]), (-13.1015625, -13.1015625, [-13.1015625]), (-9.71875, -9.71875, [-9.71875]), (-7.28515625, -7.28515625, [-7.28515625]), (-13.625, -13.625, [-13.625]), (-8.6640625, -8.6640625, [-8.6640625]), (-6.46875, -6.46875, [-6.46875]), (-10.140625, -10.140625, [-10.140625]), (-6.8359375, -6.8359375, [-6.8359375]), (-9.6875, -9.6875, [-9.6875]), (-9.46875, -9.46875, [-9.46875]), (-9.3828125, -9.3828125, [-9.3828125]), (-7.765625, -7.765625, [-7.765625]), (-12.9140625, -12.9140625, [-12.9140625])]",124697433,FacebookAI_roberta-base
