Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, orange is ",present,absent,orange,1,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, apple is ",present,present,apple,2,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, banana is ",present,absent,banana,3,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, peach is ",present,present,peach,4,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, pear is ",present,present,pear,5,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, apricot is ",present,absent,apricot,6,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, tangerine is ",present,present,tangerine,7,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, plum is ",present,present,plum,8,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, grape is ",present,absent,grape,9,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, nectarine is ",present,absent,nectarine,10,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, strawberry is ",present,absent,strawberry,11,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, grapefruit is ",present,present,grapefruit,12,fruits
1,"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: blueberry, raspberry, coconut, avocado, date, peach, mango, passion fruit, apple, pickle, kiwi, papaya, grapefruit, tangelo, lemon, gooseberry, plum, pear, muskmelon, melon, gourd, tangerine, black raspberry, tomato, guava, cantaloupe. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, berry is ",present,absent,berry,13,fruits
