Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category,"score (sum, mean, [list)",params,model
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, chair is ",present,present,chair,1,furniture,"[(-11.90625, -11.90625, [-11.90625]), (-11.3125, -11.3125, [-11.3125]), (-13.15625, -13.15625, [-13.15625]), (-11.34375, -11.34375, [-11.34375]), (-11.0, -11.0, [-11.0]), (-11.46875, -11.46875, [-11.46875]), (-11.5, -11.5, [-11.5]), (-11.96875, -11.96875, [-11.96875]), (-12.953125, -12.953125, [-12.953125]), (-12.75, -12.75, [-12.75]), (-11.9375, -11.9375, [-11.9375]), (-12.625, -12.625, [-12.625]), (-13.15625, -13.15625, [-13.15625]), (-10.28125, -10.28125, [-10.28125]), (-11.1875, -11.1875, [-11.1875]), (-15.78125, -15.78125, [-15.78125]), (-12.375, -12.375, [-12.375]), (-13.78125, -13.78125, [-13.78125]), (-13.25, -13.25, [-13.25]), (-13.4375, -13.4375, [-13.4375]), (-12.90625, -12.90625, [-12.90625]), (-12.25, -12.25, [-12.25]), (-12.21875, -12.21875, [-12.21875]), (-12.40625, -12.40625, [-12.40625]), (-10.71875, -10.71875, [-10.71875]), (-13.6875, -13.6875, [-13.6875]), (-11.875, -11.875, [-11.875]), (-12.625, -12.625, [-12.625]), (-12.09375, -12.09375, [-12.09375]), (-11.0, -11.0, [-11.0]), (-11.5, -11.5, [-11.5]), (-12.953125, -12.953125, [-12.953125]), (-13.4375, -13.4375, [-13.4375]), (-11.8125, -11.8125, [-11.8125]), (-11.84375, -11.84375, [-11.84375]), (-15.125, -15.125, [-15.125]), (-11.734375, -11.734375, [-11.734375]), (-12.25, -12.25, [-12.25]), (-12.40625, -12.40625, [-12.40625]), (-14.15625, -14.15625, [-14.15625]), (-11.65625, -11.65625, [-11.65625]), (-15.09375, -15.09375, [-15.09375]), (-12.359375, -12.359375, [-12.359375]), (-12.4375, -12.4375, [-12.4375]), (-12.5625, -12.5625, [-12.5625]), (-11.5625, -11.5625, [-11.5625]), (-10.0625, -10.0625, [-10.0625]), (-11.9375, -11.9375, [-11.9375]), (-10.8125, -10.8125, [-10.8125]), (-13.4375, -13.4375, [-13.4375])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, sofa is ",present,absent,sofa,2,furniture,"[(-10.875, -10.875, [-10.875]), (-14.125, -14.125, [-14.125]), (-13.09375, -13.09375, [-13.09375]), (-12.875, -12.875, [-12.875]), (-11.96875, -11.96875, [-11.96875]), (-13.0625, -13.0625, [-13.0625]), (-12.625, -12.625, [-12.625]), (-14.09375, -14.09375, [-14.09375]), (-11.75, -11.75, [-11.75]), (-12.71875, -12.71875, [-12.71875]), (-11.328125, -11.328125, [-11.328125]), (-11.75, -11.75, [-11.75]), (-12.375, -12.375, [-12.375]), (-12.625, -12.625, [-12.625]), (-13.71875, -13.71875, [-13.71875]), (-13.34375, -13.34375, [-13.34375]), (-11.4375, -11.4375, [-11.4375]), (-12.78125, -12.78125, [-12.78125]), (-11.625, -11.625, [-11.625]), (-12.1875, -12.1875, [-12.1875]), (-13.71875, -13.71875, [-13.71875]), (-11.375, -11.375, [-11.375]), (-12.5625, -12.5625, [-12.5625]), (-13.0, -13.0, [-13.0]), (-8.78125, -8.78125, [-8.78125]), (-13.65625, -13.65625, [-13.65625]), (-14.40625, -14.40625, [-14.40625]), (-13.96875, -13.96875, [-13.96875]), (-13.875, -13.875, [-13.875]), (-12.75, -12.75, [-12.75]), (-10.34375, -10.34375, [-10.34375]), (-13.5625, -13.5625, [-13.5625]), (-10.875, -10.875, [-10.875]), (-14.375, -14.375, [-14.375]), (-12.625, -12.625, [-12.625]), (-13.75, -13.75, [-13.75]), (-11.3125, -11.3125, [-11.3125]), (-12.484375, -12.484375, [-12.484375]), (-10.3125, -10.3125, [-10.3125]), (-13.0, -13.0, [-13.0]), (-10.78125, -10.78125, [-10.78125]), (-12.03125, -12.03125, [-12.03125]), (-11.609375, -11.609375, [-11.609375]), (-13.90625, -13.90625, [-13.90625]), (-11.6875, -11.6875, [-11.6875]), (-12.96875, -12.96875, [-12.96875]), (-13.46875, -13.46875, [-13.46875]), (-11.96875, -11.96875, [-11.96875]), (-12.8125, -12.8125, [-12.8125]), (-13.9375, -13.9375, [-13.9375])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, couch is ",present,absent,couch,3,furniture,"[(-13.1875, -13.1875, [-13.1875]), (-11.6875, -11.6875, [-11.6875]), (-12.1875, -12.1875, [-12.1875]), (-11.84375, -11.84375, [-11.84375]), (-14.8125, -14.8125, [-14.8125]), (-11.96875, -11.96875, [-11.96875]), (-12.59375, -12.59375, [-12.59375]), (-11.625, -11.625, [-11.625]), (-13.03125, -13.03125, [-13.03125]), (-13.0, -13.0, [-13.0]), (-12.9375, -12.9375, [-12.9375]), (-12.5, -12.5, [-12.5]), (-12.5, -12.5, [-12.5]), (-11.75, -11.75, [-11.75]), (-14.40625, -14.40625, [-14.40625]), (-12.28125, -12.28125, [-12.28125]), (-10.640625, -10.640625, [-10.640625]), (-10.875, -10.875, [-10.875]), (-13.46875, -13.46875, [-13.46875]), (-10.75, -10.75, [-10.75]), (-11.25, -11.25, [-11.25]), (-13.3125, -13.3125, [-13.3125]), (-12.75, -12.75, [-12.75]), (-11.625, -11.625, [-11.625]), (-12.75, -12.75, [-12.75]), (-12.78125, -12.78125, [-12.78125]), (-11.46875, -11.46875, [-11.46875]), (-11.84375, -11.84375, [-11.84375]), (-9.734375, -9.734375, [-9.734375]), (-12.15625, -12.15625, [-12.15625]), (-15.375, -15.375, [-15.375]), (-11.71875, -11.71875, [-11.71875]), (-13.59375, -13.59375, [-13.59375]), (-12.875, -12.875, [-12.875]), (-12.625, -12.625, [-12.625]), (-12.5, -12.5, [-12.5]), (-11.8125, -11.8125, [-11.8125]), (-11.1875, -11.1875, [-11.1875]), (-9.625, -9.625, [-9.625]), (-11.65625, -11.65625, [-11.65625]), (-13.0625, -13.0625, [-13.0625]), (-11.34375, -11.34375, [-11.34375]), (-12.59375, -12.59375, [-12.59375]), (-11.4375, -11.4375, [-11.4375]), (-14.4375, -14.4375, [-14.4375]), (-10.125, -10.125, [-10.125]), (-12.90625, -12.90625, [-12.90625]), (-13.5625, -13.5625, [-13.5625]), (-13.15625, -13.15625, [-13.15625]), (-12.46875, -12.46875, [-12.46875])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, table is ",present,present,table,4,furniture,"[(-11.96875, -11.96875, [-11.96875]), (-9.9375, -9.9375, [-9.9375]), (-11.96875, -11.96875, [-11.96875]), (-14.28125, -14.28125, [-14.28125]), (-13.65625, -13.65625, [-13.65625]), (-13.5625, -13.5625, [-13.5625]), (-10.5625, -10.5625, [-10.5625]), (-10.875, -10.875, [-10.875]), (-14.09375, -14.09375, [-14.09375]), (-14.4375, -14.4375, [-14.4375]), (-12.21875, -12.21875, [-12.21875]), (-14.03125, -14.03125, [-14.03125]), (-12.78125, -12.78125, [-12.78125]), (-13.375, -13.375, [-13.375]), (-11.78125, -11.78125, [-11.78125]), (-14.65625, -14.65625, [-14.65625]), (-12.1875, -12.1875, [-12.1875]), (-12.5625, -12.5625, [-12.5625]), (-11.125, -11.125, [-11.125]), (-12.375, -12.375, [-12.375]), (-13.21875, -13.21875, [-13.21875]), (-11.8125, -11.8125, [-11.8125]), (-14.4375, -14.4375, [-14.4375]), (-12.34375, -12.34375, [-12.34375]), (-12.890625, -12.890625, [-12.890625]), (-13.65625, -13.65625, [-13.65625]), (-11.0, -11.0, [-11.0]), (-14.625, -14.625, [-14.625]), (-12.4375, -12.4375, [-12.4375]), (-10.3125, -10.3125, [-10.3125]), (-13.9375, -13.9375, [-13.9375]), (-12.75, -12.75, [-12.75]), (-13.28125, -13.28125, [-13.28125]), (-12.1875, -12.1875, [-12.1875]), (-10.90625, -10.90625, [-10.90625]), (-12.890625, -12.890625, [-12.890625]), (-13.40625, -13.40625, [-13.40625]), (-12.625, -12.625, [-12.625]), (-14.1875, -14.1875, [-14.1875]), (-11.46875, -11.46875, [-11.46875]), (-11.1875, -11.1875, [-11.1875]), (-13.375, -13.375, [-13.375]), (-13.125, -13.125, [-13.125]), (-13.625, -13.625, [-13.625]), (-14.109375, -14.109375, [-14.109375]), (-12.875, -12.875, [-12.875]), (-13.46875, -13.46875, [-13.46875]), (-12.71875, -12.71875, [-12.71875]), (-12.71875, -12.71875, [-12.71875]), (-13.15625, -13.15625, [-13.15625])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, easy chair is ",present,absent,easy chair,5,furniture,"[(-12.875, -12.875, [-12.875]), (-11.59375, -11.59375, [-11.59375]), (-12.859375, -12.859375, [-12.859375]), (-10.46875, -10.46875, [-10.46875]), (-12.625, -12.625, [-12.625]), (-11.84375, -11.84375, [-11.84375]), (-14.21875, -14.21875, [-14.21875]), (-12.8125, -12.8125, [-12.8125]), (-13.765625, -13.765625, [-13.765625]), (-12.5625, -12.5625, [-12.5625]), (-12.28125, -12.28125, [-12.28125]), (-10.96875, -10.96875, [-10.96875]), (-12.15625, -12.15625, [-12.15625]), (-12.140625, -12.140625, [-12.140625]), (-14.53125, -14.53125, [-14.53125]), (-12.15625, -12.15625, [-12.15625]), (-11.4375, -11.4375, [-11.4375]), (-10.59375, -10.59375, [-10.59375]), (-11.609375, -11.609375, [-11.609375]), (-12.609375, -12.609375, [-12.609375]), (-13.484375, -13.484375, [-13.484375]), (-12.28125, -12.28125, [-12.28125]), (-13.375, -13.375, [-13.375]), (-11.5625, -11.5625, [-11.5625]), (-12.03125, -12.03125, [-12.03125]), (-12.46875, -12.46875, [-12.46875]), (-12.46875, -12.46875, [-12.46875]), (-12.859375, -12.859375, [-12.859375]), (-13.65625, -13.65625, [-13.65625]), (-13.9375, -13.9375, [-13.9375]), (-11.859375, -11.859375, [-11.859375]), (-12.0, -12.0, [-12.0]), (-11.125, -11.125, [-11.125]), (-9.71875, -9.71875, [-9.71875]), (-13.84375, -13.84375, [-13.84375]), (-11.0625, -11.0625, [-11.0625]), (-11.71875, -11.71875, [-11.71875]), (-13.03125, -13.03125, [-13.03125]), (-13.46875, -13.46875, [-13.46875]), (-12.90625, -12.90625, [-12.90625]), (-10.46875, -10.46875, [-10.46875]), (-10.375, -10.375, [-10.375]), (-11.46875, -11.46875, [-11.46875]), (-12.6875, -12.6875, [-12.6875]), (-11.65625, -11.65625, [-11.65625]), (-12.46875, -12.46875, [-12.46875]), (-12.125, -12.125, [-12.125]), (-13.125, -13.125, [-13.125]), (-12.46875, -12.46875, [-12.46875]), (-10.90625, -10.90625, [-10.90625])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, dresser is ",present,present,dresser,6,furniture,"[(-14.9375, -14.9375, [-14.9375]), (-13.890625, -13.890625, [-13.890625]), (-11.5625, -11.5625, [-11.5625]), (-11.8125, -11.8125, [-11.8125]), (-10.9375, -10.9375, [-10.9375]), (-11.53125, -11.53125, [-11.53125]), (-9.484375, -9.484375, [-9.484375]), (-9.90625, -9.90625, [-9.90625]), (-10.734375, -10.734375, [-10.734375]), (-13.15625, -13.15625, [-13.15625]), (-9.890625, -9.890625, [-9.890625]), (-12.03125, -12.03125, [-12.03125]), (-13.65625, -13.65625, [-13.65625]), (-12.0, -12.0, [-12.0]), (-12.40625, -12.40625, [-12.40625]), (-13.125, -13.125, [-13.125]), (-12.34375, -12.34375, [-12.34375]), (-9.875, -9.875, [-9.875]), (-10.1875, -10.1875, [-10.1875]), (-11.34375, -11.34375, [-11.34375]), (-11.125, -11.125, [-11.125]), (-10.4375, -10.4375, [-10.4375]), (-13.0625, -13.0625, [-13.0625]), (-9.84375, -9.84375, [-9.84375]), (-12.03125, -12.03125, [-12.03125]), (-14.375, -14.375, [-14.375]), (-10.6875, -10.6875, [-10.6875]), (-11.0625, -11.0625, [-11.0625]), (-13.390625, -13.390625, [-13.390625]), (-10.625, -10.625, [-10.625]), (-9.4375, -9.4375, [-9.4375]), (-11.65625, -11.65625, [-11.65625]), (-10.6875, -10.6875, [-10.6875]), (-11.46875, -11.46875, [-11.46875]), (-12.28125, -12.28125, [-12.28125]), (-9.15625, -9.15625, [-9.15625]), (-13.03125, -13.03125, [-13.03125]), (-10.28125, -10.28125, [-10.28125]), (-10.9375, -10.9375, [-10.9375]), (-11.40625, -11.40625, [-11.40625]), (-10.53125, -10.53125, [-10.53125]), (-11.625, -11.625, [-11.625]), (-13.46875, -13.46875, [-13.46875]), (-10.6875, -10.6875, [-10.6875]), (-10.125, -10.125, [-10.125]), (-10.0, -10.0, [-10.0]), (-12.765625, -12.765625, [-12.765625]), (-14.625, -14.625, [-14.625]), (-12.9375, -12.9375, [-12.9375]), (-9.875, -9.875, [-9.875])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, rocking chair is ",present,absent,rocking chair,7,furniture,"[(-12.875, -12.875, [-12.875]), (-12.09375, -12.09375, [-12.09375]), (-12.34375, -12.34375, [-12.34375]), (-14.25, -14.25, [-14.25]), (-11.90625, -11.90625, [-11.90625]), (-11.96875, -11.96875, [-11.96875]), (-12.15625, -12.15625, [-12.15625]), (-14.0, -14.0, [-14.0]), (-11.59375, -11.59375, [-11.59375]), (-13.625, -13.625, [-13.625]), (-13.78125, -13.78125, [-13.78125]), (-12.15625, -12.15625, [-12.15625]), (-12.96875, -12.96875, [-12.96875]), (-14.03125, -14.03125, [-14.03125]), (-14.15625, -14.15625, [-14.15625]), (-14.1875, -14.1875, [-14.1875]), (-12.96875, -12.96875, [-12.96875]), (-12.8125, -12.8125, [-12.8125]), (-13.6875, -13.6875, [-13.6875]), (-15.6875, -15.6875, [-15.6875]), (-10.65625, -10.65625, [-10.65625]), (-14.53125, -14.53125, [-14.53125]), (-13.21875, -13.21875, [-13.21875]), (-12.25, -12.25, [-12.25]), (-14.875, -14.875, [-14.875]), (-11.71875, -11.71875, [-11.71875]), (-12.78125, -12.78125, [-12.78125]), (-12.625, -12.625, [-12.625]), (-14.4375, -14.4375, [-14.4375]), (-12.625, -12.625, [-12.625]), (-12.78125, -12.78125, [-12.78125]), (-10.96875, -10.96875, [-10.96875]), (-14.453125, -14.453125, [-14.453125]), (-12.59375, -12.59375, [-12.59375]), (-13.6875, -13.6875, [-13.6875]), (-14.625, -14.625, [-14.625]), (-11.625, -11.625, [-11.625]), (-13.3125, -13.3125, [-13.3125]), (-13.25, -13.25, [-13.25]), (-12.21875, -12.21875, [-12.21875]), (-13.546875, -13.546875, [-13.546875]), (-12.1875, -12.1875, [-12.1875]), (-12.75, -12.75, [-12.75]), (-12.21875, -12.21875, [-12.21875]), (-11.59375, -11.59375, [-11.59375]), (-11.5, -11.5, [-11.5]), (-11.78125, -11.78125, [-11.78125]), (-12.90625, -12.90625, [-12.90625]), (-10.78125, -10.78125, [-10.78125]), (-12.71875, -12.71875, [-12.71875])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, coffee table is ",present,present,coffee table,8,furniture,"[(-10.03125, -10.03125, [-10.03125]), (-12.71875, -12.71875, [-12.71875]), (-12.84375, -12.84375, [-12.84375]), (-11.875, -11.875, [-11.875]), (-12.125, -12.125, [-12.125]), (-14.21875, -14.21875, [-14.21875]), (-12.03125, -12.03125, [-12.03125]), (-9.9375, -9.9375, [-9.9375]), (-10.1875, -10.1875, [-10.1875]), (-10.90625, -10.90625, [-10.90625]), (-12.15625, -12.15625, [-12.15625]), (-13.0625, -13.0625, [-13.0625]), (-13.34375, -13.34375, [-13.34375]), (-9.8125, -9.8125, [-9.8125]), (-11.75, -11.75, [-11.75]), (-11.4375, -11.4375, [-11.4375]), (-11.46875, -11.46875, [-11.46875]), (-9.5, -9.5, [-9.5]), (-12.75, -12.75, [-12.75]), (-13.3125, -13.3125, [-13.3125]), (-12.46875, -12.46875, [-12.46875]), (-9.609375, -9.609375, [-9.609375]), (-13.28125, -13.28125, [-13.28125]), (-13.09375, -13.09375, [-13.09375]), (-9.28125, -9.28125, [-9.28125]), (-12.03125, -12.03125, [-12.03125]), (-13.90625, -13.90625, [-13.90625]), (-13.71875, -13.71875, [-13.71875]), (-12.03125, -12.03125, [-12.03125]), (-12.3125, -12.3125, [-12.3125]), (-10.46875, -10.46875, [-10.46875]), (-12.53125, -12.53125, [-12.53125]), (-12.0, -12.0, [-12.0]), (-12.8125, -12.8125, [-12.8125]), (-12.734375, -12.734375, [-12.734375]), (-14.34375, -14.34375, [-14.34375]), (-11.5625, -11.5625, [-11.5625]), (-11.6875, -11.6875, [-11.6875]), (-9.625, -9.625, [-9.625]), (-9.875, -9.875, [-9.875]), (-12.28125, -12.28125, [-12.28125]), (-13.59375, -13.59375, [-13.59375]), (-9.78125, -9.78125, [-9.78125]), (-13.40625, -13.40625, [-13.40625]), (-12.71875, -12.71875, [-12.71875]), (-9.03125, -9.03125, [-9.03125]), (-8.625, -8.625, [-8.625]), (-12.28125, -12.28125, [-12.28125]), (-11.6875, -11.6875, [-11.6875]), (-12.34375, -12.34375, [-12.34375])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, rocker is ",present,present,rocker,9,furniture,"[(-12.84375, -12.84375, [-12.84375]), (-8.90625, -8.90625, [-8.90625]), (-12.28125, -12.28125, [-12.28125]), (-12.21875, -12.21875, [-12.21875]), (-12.625, -12.625, [-12.625]), (-11.25, -11.25, [-11.25]), (-11.1875, -11.1875, [-11.1875]), (-10.46875, -10.46875, [-10.46875]), (-10.796875, -10.796875, [-10.796875]), (-13.96875, -13.96875, [-13.96875]), (-14.46875, -14.46875, [-14.46875]), (-13.15625, -13.15625, [-13.15625]), (-10.625, -10.625, [-10.625]), (-13.3125, -13.3125, [-13.3125]), (-9.90625, -9.90625, [-9.90625]), (-10.65625, -10.65625, [-10.65625]), (-11.40625, -11.40625, [-11.40625]), (-11.875, -11.875, [-11.875]), (-11.5625, -11.5625, [-11.5625]), (-10.734375, -10.734375, [-10.734375]), (-12.8125, -12.8125, [-12.8125]), (-12.0625, -12.0625, [-12.0625]), (-12.28125, -12.28125, [-12.28125]), (-14.0, -14.0, [-14.0]), (-12.125, -12.125, [-12.125]), (-9.40625, -9.40625, [-9.40625]), (-12.21875, -12.21875, [-12.21875]), (-9.71875, -9.71875, [-9.71875]), (-13.3125, -13.3125, [-13.3125]), (-13.3125, -13.3125, [-13.3125]), (-11.15625, -11.15625, [-11.15625]), (-10.84375, -10.84375, [-10.84375]), (-11.9375, -11.9375, [-11.9375]), (-10.03125, -10.03125, [-10.03125]), (-11.90625, -11.90625, [-11.90625]), (-11.375, -11.375, [-11.375]), (-11.0, -11.0, [-11.0]), (-10.15625, -10.15625, [-10.15625]), (-11.4375, -11.4375, [-11.4375]), (-13.28125, -13.28125, [-13.28125]), (-11.5, -11.5, [-11.5]), (-12.9375, -12.9375, [-12.9375]), (-12.84375, -12.84375, [-12.84375]), (-11.375, -11.375, [-11.375]), (-11.40625, -11.40625, [-11.40625]), (-10.15625, -10.15625, [-10.15625]), (-10.78125, -10.78125, [-10.78125]), (-13.25, -13.25, [-13.25]), (-12.25, -12.25, [-12.25]), (-12.1875, -12.1875, [-12.1875])]",124439808,gpt2
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, love seat is ",present,present,love seat,10,furniture,"[(-11.515625, -11.515625, [-11.515625]), (-13.3125, -13.3125, [-13.3125]), (-14.34375, -14.34375, [-14.34375]), (-13.296875, -13.296875, [-13.296875]), (-12.65625, -12.65625, [-12.65625]), (-11.125, -11.125, [-11.125]), (-10.6875, -10.6875, [-10.6875]), (-13.65625, -13.65625, [-13.65625]), (-16.34375, -16.34375, [-16.34375]), (-10.71875, -10.71875, [-10.71875]), (-10.375, -10.375, [-10.375]), (-12.875, -12.875, [-12.875]), (-10.8125, -10.8125, [-10.8125]), (-11.34375, -11.34375, [-11.34375]), (-11.15625, -11.15625, [-11.15625]), (-14.28125, -14.28125, [-14.28125]), (-13.15625, -13.15625, [-13.15625]), (-11.65625, -11.65625, [-11.65625]), (-11.6875, -11.6875, [-11.6875]), (-12.125, -12.125, [-12.125]), (-11.046875, -11.046875, [-11.046875]), (-11.75, -11.75, [-11.75]), (-13.25, -13.25, [-13.25]), (-12.90625, -12.90625, [-12.90625]), (-11.765625, -11.765625, [-11.765625]), (-13.5, -13.5, [-13.5]), (-12.53125, -12.53125, [-12.53125]), (-10.46875, -10.46875, [-10.46875]), (-11.40625, -11.40625, [-11.40625]), (-12.84375, -12.84375, [-12.84375]), (-14.28125, -14.28125, [-14.28125]), (-13.46875, -13.46875, [-13.46875]), (-11.515625, -11.515625, [-11.515625]), (-11.09375, -11.09375, [-11.09375]), (-12.53125, -12.53125, [-12.53125]), (-13.625, -13.625, [-13.625]), (-14.78125, -14.78125, [-14.78125]), (-11.28125, -11.28125, [-11.28125]), (-13.125, -13.125, [-13.125]), (-11.96875, -11.96875, [-11.96875]), (-12.09375, -12.09375, [-12.09375]), (-13.96875, -13.96875, [-13.96875]), (-13.9375, -13.9375, [-13.9375]), (-11.90625, -11.90625, [-11.90625]), (-9.6875, -9.6875, [-9.6875]), (-13.0, -13.0, [-13.0]), (-11.5, -11.5, [-11.5]), (-12.6875, -12.6875, [-12.6875]), (-11.15625, -11.15625, [-11.15625]), (-10.6875, -10.6875, [-10.6875])]",124439808,gpt2
