Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category,stimulus_prob
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,6,Hospital,3,absent,present,"[-15.479928016662598, -14.857362747192383, -17.35020637512207, -15.752195358276367, -14.224730491638184, -14.80066204071045, -14.609634399414062, -16.220626831054688, -15.071891784667969, -15.683536529541016, -14.915458679199219, -19.131195068359375, -16.283702850341797, -13.110696792602539, -16.01746368408203, -15.558170318603516, -14.064749717712402, -14.13386058807373, -16.39861297607422, -16.868797302246094, -13.876049041748047, -15.765556335449219, -15.90516471862793, -18.11860466003418, -15.610343933105469, -14.89630126953125, -13.378667831420898, -15.778348922729492, -15.363109588623047, -15.461963653564453, -14.583536148071289, -15.011198997497559, -18.21517562866211, -15.812450408935547, -14.6709566116333, -15.009513854980469, -15.293573379516602, -15.557945251464844, -15.833728790283203, -14.975747108459473, -16.57213592529297, -14.141050338745117, -14.618766784667969, -16.232988357543945, -14.57154655456543, -15.496955871582031, -15.551746368408203, -15.919979095458984, -16.550722122192383, -16.64949607849121]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,6,Park,11,absent,present,"[-13.72971248626709, -17.14972686767578, -13.576295852661133, -14.731992721557617, -15.446908950805664, -13.730119705200195, -15.729209899902344, -15.026008605957031, -12.987113952636719, -12.349849700927734, -14.133445739746094, -15.728822708129883, -15.109106063842773, -13.713460922241211, -15.595499038696289, -12.91219711303711, -17.201372146606445, -15.190631866455078, -17.728986740112305, -15.221426010131836, -15.88271713256836, -12.537137031555176, -14.468094825744629, -15.116674423217773, -16.88135528564453, -16.01091194152832, -12.31686782836914, -12.506195068359375, -16.27303695678711, -14.888680458068848, -14.802149772644043, -17.972028732299805, -12.650774955749512, -14.673929214477539, -16.87552833557129, -16.398799896240234, -13.095900535583496, -15.121379852294922, -17.723079681396484, -15.908191680908203, -14.073936462402344, -14.70806884765625, -13.433305740356445, -14.201351165771484, -14.69583797454834, -12.796158790588379, -11.775096893310547, -13.499622344970703, -16.22339630126953, -15.354135513305664]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,6,Farm,3,absent,present,"[-17.70500373840332, -15.398469924926758, -14.960044860839844, -15.42113971710205, -17.198299407958984, -16.00704574584961, -16.557029724121094, -15.093887329101562, -14.204437255859375, -16.65455436706543, -15.483762741088867, -19.850040435791016, -17.459217071533203, -14.33509635925293, -16.350162506103516, -15.723732948303223, -14.054000854492188, -15.494626998901367, -15.582085609436035, -14.529308319091797, -18.61591339111328, -14.842874526977539, -17.29231834411621, -16.001937866210938, -15.341475486755371, -13.728326797485352, -16.889188766479492, -15.755691528320312, -16.212276458740234, -15.873930931091309, -18.735393524169922, -15.168200492858887, -15.383411407470703, -15.869438171386719, -15.028491020202637, -15.920919418334961, -15.213035583496094, -17.608943939208984, -16.501140594482422, -16.320669174194336, -15.17178726196289, -16.114938735961914, -15.29737663269043, -16.436939239501953, -16.55339813232422, -15.91641902923584, -16.518144607543945, -16.849519729614258, -14.945043563842773, -16.991703033447266]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,6,Church,0,absent,absent,"[-14.319497108459473, -16.811416625976562, -15.485118865966797, -15.993924140930176, -15.83470630645752, -16.536239624023438, -16.98540687561035, -16.553544998168945, -14.762056350708008, -17.273021697998047, -16.118267059326172, -18.133882522583008, -17.657556533813477, -17.600980758666992, -18.02166748046875, -17.31058120727539, -16.914371490478516, -16.70516014099121, -16.972814559936523, -16.543067932128906, -16.16329002380371, -16.88221549987793, -15.49285888671875, -15.052057266235352, -16.450969696044922, -16.80266571044922, -17.82862091064453, -17.348173141479492, -18.252830505371094, -17.531545639038086, -16.49654197692871, -16.624584197998047, -17.58881187438965, -18.57457733154297, -15.449026107788086, -17.96354866027832, -16.364320755004883, -16.23004913330078, -16.9346923828125, -16.720243453979492, -16.21059226989746, -18.707294464111328, -16.96114730834961, -16.35880470275879, -16.498294830322266, -17.328388214111328, -18.254377365112305, -16.26619529724121, -16.872827529907227, -15.715871810913086]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,6,School,1,absent,absent,"[-20.848764419555664, -16.314674377441406, -16.266809463500977, -16.895626068115234, -15.761638641357422, -15.497512817382812, -16.36931610107422, -16.50166130065918, -17.598690032958984, -16.5294246673584, -15.821205139160156, -15.505232810974121, -15.014652252197266, -15.619781494140625, -14.517884254455566, -15.522754669189453, -15.263700485229492, -14.682644844055176, -15.622550964355469, -16.015052795410156, -16.606788635253906, -15.678810119628906, -16.249013900756836, -14.920745849609375, -15.513425827026367, -15.52763843536377, -17.109397888183594, -16.00385284423828, -15.32374382019043, -14.363537788391113, -15.144109725952148, -15.269447326660156, -15.586045265197754, -13.895584106445312, -15.892208099365234, -14.769306182861328, -15.293453216552734, -15.742392539978027, -16.978017807006836, -15.03050422668457, -16.569660186767578, -16.020225524902344, -14.729498863220215, -15.499468803405762, -15.223942756652832, -14.098636627197266, -15.08935546875, -14.75655460357666, -15.969377517700195, -21.690284729003906]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,6,Bank,0,absent,absent,"[-18.975181579589844, -17.536949157714844, -14.83963394165039, -16.113502502441406, -17.80021095275879, -17.428146362304688, -16.66534423828125, -15.070859909057617, -16.118104934692383, -17.853923797607422, -16.827661514282227, -16.600921630859375, -15.428564071655273, -17.190906524658203, -17.459728240966797, -16.401723861694336, -15.907398223876953, -15.413529396057129, -16.816513061523438, -16.217893600463867, -16.93952751159668, -15.187904357910156, -16.763460159301758, -17.446395874023438, -18.495075225830078, -17.362810134887695, -18.785308837890625, -18.753835678100586, -17.154144287109375, -15.035751342773438, -18.498857498168945, -18.90011978149414, -16.002201080322266, -17.825843811035156, -14.973077774047852, -16.094745635986328, -18.313268661499023, -17.51653289794922, -17.280323028564453, -16.027225494384766, -17.18128204345703, -16.90787124633789, -17.116363525390625, -15.224985122680664, -15.958866119384766, -17.4805850982666, -17.945539474487305, -17.80704689025879, -17.71649169921875, -16.190357208251953]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,6,Hotel,3,absent,present,"[-13.635787963867188, -17.810453414916992, -16.189409255981445, -18.5284366607666, -15.938961029052734, -15.793244361877441, -16.667335510253906, -14.162395477294922, -15.286375045776367, -14.957624435424805, -13.735584259033203, -15.948747634887695, -14.665567398071289, -15.54676342010498, -15.20228385925293, -15.218925476074219, -16.706008911132812, -16.072193145751953, -15.003889083862305, -14.388262748718262, -16.12282371520996, -15.514596939086914, -13.781004905700684, -15.629998207092285, -15.748180389404297, -17.697486877441406, -14.584511756896973, -16.93028450012207, -14.668170928955078, -12.855056762695312, -13.52420425415039, -15.575248718261719, -13.186264038085938, -14.723428726196289, -14.614904403686523, -17.86632537841797, -13.98783016204834, -15.437044143676758, -15.666099548339844, -13.350123405456543, -14.64990234375, -15.167470932006836, -14.53039264678955, -14.6246976852417, -14.672399520874023, -15.54593276977539, -14.481009483337402, -14.590156555175781, -17.033123016357422, -15.732391357421875]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,6,Restaurant,7,absent,absent,"[-8.241637229919434, -12.051626205444336, -13.044979095458984, -13.900592803955078, -11.814273834228516, -14.89413070678711, -10.908432006835938, -8.79030990600586, -11.491876602172852, -15.943571090698242, -11.51541519165039, -11.496831893920898, -11.957365036010742, -15.74255084991455, -11.059785842895508, -12.513416290283203, -11.221725463867188, -9.912763595581055, -13.349006652832031, -12.18581771850586, -11.666736602783203, -12.096487045288086, -10.907308578491211, -10.92620849609375, -11.945091247558594, -17.131105422973633, -12.27105712890625, -11.213882446289062, -10.677959442138672, -9.817361831665039, -11.161199569702148, -11.807994842529297, -12.632591247558594, -11.989171981811523, -18.637828826904297, -8.686445236206055, -17.0782470703125, -12.039012908935547, -9.422172546386719, -14.530917167663574, -12.7447509765625, -10.436382293701172, -19.957443237304688, -9.44759750366211, -10.892349243164062, -10.728938102722168, -17.614587783813477, -12.187915802001953, -10.381983757019043, -11.107280731201172]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,6,Construction Site,2,absent,absent,"[-11.627426147460938, -15.547378540039062, -8.577035903930664, -12.659372329711914, -10.45073127746582, -8.922348976135254, -22.194293975830078, -9.845401763916016, -8.365504264831543, -16.289724349975586, -12.532705307006836, -9.803234100341797, -11.31020736694336, -20.00181770324707, -10.46308708190918, -9.621698379516602, -12.752819061279297, -13.178468704223633, -10.591264724731445, -18.23248291015625, -10.761941909790039, -11.40986442565918, -13.414302825927734, -16.20315170288086, -8.716060638427734, -10.045265197753906, -11.893701553344727, -10.792631149291992, -11.809198379516602, -10.643697738647461, -10.544883728027344, -22.726612091064453, -11.42702865600586, -10.003881454467773, -13.437019348144531, -10.747905731201172, -12.329561233520508, -11.687904357910156, -9.488428115844727, -11.984367370605469, -10.690347671508789, -10.009696006774902, -10.11591911315918, -11.238862991333008, -11.835628509521484, -9.490251541137695, -11.820259094238281, -12.836465835571289, -11.525384902954102, -17.395490646362305]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Police Station. The Electrician is in the Pharmacy. The Journalist is in the Restaurant. The Doctor is in the Park. The Builder is in the Courthouse. The Engineer is in the Restaurant. The Chef is in the Pharmacy. The Journalist is in the Police Station. The Nurse is in the Park. The Pastor is in the Agency. The Lawyer is in the Park. The Teacher is in the Construction Site. The Lawyer is in the Pharmacy. The Electrician is in the Laboratory. The Journalist is in the Park. The Doctor is in the Hotel. The Teacher is in the Park. The Programmer is in the Restaurant. The Architect is in the Farm. The Journalist is in the Pharmacy. The Chef is in the Park. The Psychologist is in the Studio. The Builder is in the Restaurant. The Doctor is in the Farm. The Pastor is in the Park. The Doctor is in the Studio. The Police Officer is in the Factory. The Electrician is in the Library. The Pastor is in the Courthouse. The Chef is in the Restaurant. The Electrician is in the Park. The Pastor is in the Library. The Clerk is in the Restaurant. The Architect is in the School. The Programmer is in the Factory. The Engineer is in the Hospital. The Pastor is in the Hotel. The Engineer is in the Hotel. The Chef is in the Courthouse. The Writer is in the Construction Site. The Pharmacist is in the Hospital. The Artist is in the Park. The Pastor is in the Farm. The Programmer is in the Pharmacy. The Doctor is in the Hospital. The Architect is in the Park. The Pastor is in the Pharmacy. The Doctor is in the Police Station. The Builder is in the Park. The Electrician is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,6,Library,2,absent,absent,"[-15.609712600708008, -15.921005249023438, -15.252256393432617, -15.113285064697266, -16.782175064086914, -18.47235870361328, -15.89348030090332, -16.450578689575195, -15.68040657043457, -15.741203308105469, -15.755691528320312, -17.001325607299805, -15.144559860229492, -14.349554061889648, -15.972343444824219, -21.490787506103516, -16.349559783935547, -15.041210174560547, -23.46883201599121, -16.675146102905273, -16.637439727783203, -14.745615005493164, -15.760367393493652, -16.37373924255371, -15.644214630126953, -17.087888717651367, -13.856010437011719, -16.568923950195312, -14.799287796020508, -15.803680419921875, -14.452388763427734, -16.367393493652344, -16.213218688964844, -14.790935516357422, -14.716970443725586, -13.887479782104492, -16.121707916259766, -15.476759910583496, -16.14742088317871, -16.008895874023438, -16.550199508666992, -16.353206634521484, -15.464420318603516, -16.111507415771484, -15.437335968017578, -16.713180541992188, -17.189701080322266, -15.223706245422363, -16.468738555908203, -13.836160659790039]"
