Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category,"score (sum, mean, [list)",params,model
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, automobile is ",present,absent,automobile,1,vehicle,"[(-14.90625, -14.90625, [-14.90625]), (-12.5, -12.5, [-12.5]), (-11.65625, -11.65625, [-11.65625]), (-11.625, -11.625, [-11.625]), (-14.0, -14.0, [-14.0]), (-12.59375, -12.59375, [-12.59375]), (-13.90625, -13.90625, [-13.90625]), (-13.75, -13.75, [-13.75]), (-13.53125, -13.53125, [-13.53125]), (-11.15625, -11.15625, [-11.15625]), (-14.34375, -14.34375, [-14.34375]), (-12.21875, -12.21875, [-12.21875]), (-12.75, -12.75, [-12.75]), (-15.4765625, -15.4765625, [-15.4765625]), (-13.96875, -13.96875, [-13.96875]), (-12.03125, -12.03125, [-12.03125]), (-12.34375, -12.34375, [-12.34375]), (-13.21875, -13.21875, [-13.21875]), (-14.78125, -14.78125, [-14.78125]), (-11.953125, -11.953125, [-11.953125]), (-15.59375, -15.59375, [-15.59375]), (-12.6875, -12.6875, [-12.6875]), (-15.75, -15.75, [-15.75]), (-14.75, -14.75, [-14.75]), (-12.71875, -12.71875, [-12.71875]), (-12.75, -12.75, [-12.75]), (-13.25, -13.25, [-13.25]), (-14.0625, -14.0625, [-14.0625]), (-11.96875, -11.96875, [-11.96875]), (-14.40625, -14.40625, [-14.40625]), (-11.8125, -11.8125, [-11.8125]), (-13.53125, -13.53125, [-13.53125]), (-11.234375, -11.234375, [-11.234375]), (-13.96875, -13.96875, [-13.96875]), (-13.0625, -13.0625, [-13.0625]), (-12.75, -12.75, [-12.75]), (-13.59375, -13.59375, [-13.59375]), (-11.625, -11.625, [-11.625]), (-13.46875, -13.46875, [-13.46875]), (-14.40625, -14.40625, [-14.40625]), (-14.40625, -14.40625, [-14.40625]), (-15.5, -15.5, [-15.5]), (-13.90625, -13.90625, [-13.90625]), (-13.75, -13.75, [-13.75]), (-11.46875, -11.46875, [-11.46875]), (-14.25, -14.25, [-14.25]), (-11.515625, -11.515625, [-11.515625]), (-11.09375, -11.09375, [-11.09375]), (-14.28125, -14.28125, [-14.28125]), (-15.28125, -15.28125, [-15.28125])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, station wagon is ",present,absent,station wagon,2,vehicle,"[(-13.21875, -13.21875, [-13.21875]), (-13.625, -13.625, [-13.625]), (-14.375, -14.375, [-14.375]), (-12.90625, -12.90625, [-12.90625]), (-13.375, -13.375, [-13.375]), (-13.75, -13.75, [-13.75]), (-13.546875, -13.546875, [-13.546875]), (-16.0, -16.0, [-16.0]), (-13.0625, -13.0625, [-13.0625]), (-13.65625, -13.65625, [-13.65625]), (-13.34375, -13.34375, [-13.34375]), (-14.78125, -14.78125, [-14.78125]), (-15.34375, -15.34375, [-15.34375]), (-14.65625, -14.65625, [-14.65625]), (-11.8125, -11.8125, [-11.8125]), (-11.546875, -11.546875, [-11.546875]), (-16.1875, -16.1875, [-16.1875]), (-11.4375, -11.4375, [-11.4375]), (-13.5, -13.5, [-13.5]), (-15.25, -15.25, [-15.25]), (-13.34375, -13.34375, [-13.34375]), (-15.25, -15.25, [-15.25]), (-13.59375, -13.59375, [-13.59375]), (-13.65625, -13.65625, [-13.65625]), (-13.65625, -13.65625, [-13.65625]), (-15.15625, -15.15625, [-15.15625]), (-15.3125, -15.3125, [-15.3125]), (-13.8125, -13.8125, [-13.8125]), (-12.84375, -12.84375, [-12.84375]), (-14.09375, -14.09375, [-14.09375]), (-11.625, -11.625, [-11.625]), (-16.25, -16.25, [-16.25]), (-12.90625, -12.90625, [-12.90625]), (-16.1875, -16.1875, [-16.1875]), (-13.65625, -13.65625, [-13.65625]), (-17.1875, -17.1875, [-17.1875]), (-14.6875, -14.6875, [-14.6875]), (-14.1875, -14.1875, [-14.1875]), (-14.34375, -14.34375, [-14.34375]), (-13.625, -13.625, [-13.625]), (-14.40625, -14.40625, [-14.40625]), (-13.8125, -13.8125, [-13.8125]), (-14.0625, -14.0625, [-14.0625]), (-14.8125, -14.8125, [-14.8125]), (-16.5625, -16.5625, [-16.5625]), (-14.46875, -14.46875, [-14.46875]), (-12.3125, -12.3125, [-12.3125]), (-14.96875, -14.96875, [-14.96875]), (-12.84375, -12.84375, [-12.84375]), (-14.71875, -14.71875, [-14.71875])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, truck is ",present,present,truck,3,vehicle,"[(-13.5, -13.5, [-13.5]), (-14.0625, -14.0625, [-14.0625]), (-14.125, -14.125, [-14.125]), (-13.71875, -13.71875, [-13.71875]), (-12.15625, -12.15625, [-12.15625]), (-12.625, -12.625, [-12.625]), (-12.640625, -12.640625, [-12.640625]), (-14.140625, -14.140625, [-14.140625]), (-13.96875, -13.96875, [-13.96875]), (-13.875, -13.875, [-13.875]), (-11.90625, -11.90625, [-11.90625]), (-12.53125, -12.53125, [-12.53125]), (-13.1875, -13.1875, [-13.1875]), (-13.65625, -13.65625, [-13.65625]), (-10.21875, -10.21875, [-10.21875]), (-12.03125, -12.03125, [-12.03125]), (-13.25, -13.25, [-13.25]), (-14.0, -14.0, [-14.0]), (-13.0625, -13.0625, [-13.0625]), (-12.875, -12.875, [-12.875]), (-11.78125, -11.78125, [-11.78125]), (-11.125, -11.125, [-11.125]), (-13.9375, -13.9375, [-13.9375]), (-12.3125, -12.3125, [-12.3125]), (-14.15625, -14.15625, [-14.15625]), (-12.671875, -12.671875, [-12.671875]), (-13.75, -13.75, [-13.75]), (-13.65625, -13.65625, [-13.65625]), (-13.71875, -13.71875, [-13.71875]), (-11.03125, -11.03125, [-11.03125]), (-13.0, -13.0, [-13.0]), (-11.90625, -11.90625, [-11.90625]), (-10.75, -10.75, [-10.75]), (-12.78125, -12.78125, [-12.78125]), (-14.625, -14.625, [-14.625]), (-13.0, -13.0, [-13.0]), (-15.96875, -15.96875, [-15.96875]), (-13.625, -13.625, [-13.625]), (-12.34375, -12.34375, [-12.34375]), (-13.015625, -13.015625, [-13.015625]), (-10.6875, -10.6875, [-10.6875]), (-14.0625, -14.0625, [-14.0625]), (-11.46875, -11.46875, [-11.46875]), (-12.46875, -12.46875, [-12.46875]), (-14.34375, -14.34375, [-14.34375]), (-13.34375, -13.34375, [-13.34375]), (-12.671875, -12.671875, [-12.671875]), (-14.09375, -14.09375, [-14.09375]), (-14.8125, -14.8125, [-14.8125]), (-14.3515625, -14.3515625, [-14.3515625])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, car is ",present,absent,car,4,vehicle,"[(-12.84375, -12.84375, [-12.84375]), (-12.28125, -12.28125, [-12.28125]), (-13.5625, -13.5625, [-13.5625]), (-12.515625, -12.515625, [-12.515625]), (-12.0625, -12.0625, [-12.0625]), (-12.90625, -12.90625, [-12.90625]), (-11.78125, -11.78125, [-11.78125]), (-12.28125, -12.28125, [-12.28125]), (-12.4375, -12.4375, [-12.4375]), (-14.15625, -14.15625, [-14.15625]), (-13.4375, -13.4375, [-13.4375]), (-14.8125, -14.8125, [-14.8125]), (-13.8125, -13.8125, [-13.8125]), (-13.84375, -13.84375, [-13.84375]), (-13.5, -13.5, [-13.5]), (-13.34375, -13.34375, [-13.34375]), (-13.5, -13.5, [-13.5]), (-12.3125, -12.3125, [-12.3125]), (-16.53125, -16.53125, [-16.53125]), (-13.625, -13.625, [-13.625]), (-15.3125, -15.3125, [-15.3125]), (-14.0, -14.0, [-14.0]), (-11.84375, -11.84375, [-11.84375]), (-12.96875, -12.96875, [-12.96875]), (-15.625, -15.625, [-15.625]), (-12.8125, -12.8125, [-12.8125]), (-15.875, -15.875, [-15.875]), (-13.15625, -13.15625, [-13.15625]), (-15.375, -15.375, [-15.375]), (-12.75, -12.75, [-12.75]), (-14.40625, -14.40625, [-14.40625]), (-13.125, -13.125, [-13.125]), (-15.8125, -15.8125, [-15.8125]), (-12.5625, -12.5625, [-12.5625]), (-14.296875, -14.296875, [-14.296875]), (-15.34375, -15.34375, [-15.34375]), (-15.203125, -15.203125, [-15.203125]), (-14.53125, -14.53125, [-14.53125]), (-13.40625, -13.40625, [-13.40625]), (-14.1875, -14.1875, [-14.1875]), (-14.4375, -14.4375, [-14.4375]), (-12.875, -12.875, [-12.875]), (-15.125, -15.125, [-15.125]), (-14.75, -14.75, [-14.75]), (-12.53125, -12.53125, [-12.53125]), (-14.8125, -14.8125, [-14.8125]), (-12.1875, -12.1875, [-12.1875]), (-14.015625, -14.015625, [-14.015625]), (-14.28125, -14.28125, [-14.28125]), (-16.71875, -16.71875, [-16.71875])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, bus is ",present,present,bus,5,vehicle,"[(-11.34375, -11.34375, [-11.34375]), (-12.875, -12.875, [-12.875]), (-12.65625, -12.65625, [-12.65625]), (-11.53125, -11.53125, [-11.53125]), (-11.75, -11.75, [-11.75]), (-15.09375, -15.09375, [-15.09375]), (-14.84375, -14.84375, [-14.84375]), (-13.3125, -13.3125, [-13.3125]), (-12.59375, -12.59375, [-12.59375]), (-13.4375, -13.4375, [-13.4375]), (-10.84375, -10.84375, [-10.84375]), (-11.953125, -11.953125, [-11.953125]), (-13.515625, -13.515625, [-13.515625]), (-11.53125, -11.53125, [-11.53125]), (-13.109375, -13.109375, [-13.109375]), (-13.453125, -13.453125, [-13.453125]), (-12.328125, -12.328125, [-12.328125]), (-14.28125, -14.28125, [-14.28125]), (-13.8125, -13.8125, [-13.8125]), (-12.78125, -12.78125, [-12.78125]), (-13.28125, -13.28125, [-13.28125]), (-11.25, -11.25, [-11.25]), (-13.65625, -13.65625, [-13.65625]), (-15.03125, -15.03125, [-15.03125]), (-11.71875, -11.71875, [-11.71875]), (-13.671875, -13.671875, [-13.671875]), (-12.75, -12.75, [-12.75]), (-10.875, -10.875, [-10.875]), (-12.5, -12.5, [-12.5]), (-13.90625, -13.90625, [-13.90625]), (-16.53125, -16.53125, [-16.53125]), (-12.09375, -12.09375, [-12.09375]), (-16.5, -16.5, [-16.5]), (-13.8125, -13.8125, [-13.8125]), (-13.65625, -13.65625, [-13.65625]), (-14.71875, -14.71875, [-14.71875]), (-14.28125, -14.28125, [-14.28125]), (-14.53125, -14.53125, [-14.53125]), (-13.4375, -13.4375, [-13.4375]), (-14.765625, -14.765625, [-14.765625]), (-14.125, -14.125, [-14.125]), (-15.21875, -15.21875, [-15.21875]), (-10.796875, -10.796875, [-10.796875]), (-11.875, -11.875, [-11.875]), (-15.1875, -15.1875, [-15.1875]), (-12.53125, -12.53125, [-12.53125]), (-15.71875, -15.71875, [-15.71875]), (-13.8125, -13.8125, [-13.8125]), (-13.8125, -13.8125, [-13.8125]), (-14.53125, -14.53125, [-14.53125])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, taxi is ",present,present,taxi,6,vehicle,"[(-15.34375, -15.34375, [-15.34375]), (-13.625, -13.625, [-13.625]), (-14.5625, -14.5625, [-14.5625]), (-15.0625, -15.0625, [-15.0625]), (-12.09375, -12.09375, [-12.09375]), (-12.28125, -12.28125, [-12.28125]), (-12.1875, -12.1875, [-12.1875]), (-13.5, -13.5, [-13.5]), (-12.125, -12.125, [-12.125]), (-13.328125, -13.328125, [-13.328125]), (-13.28125, -13.28125, [-13.28125]), (-10.0, -10.0, [-10.0]), (-12.6875, -12.6875, [-12.6875]), (-13.53125, -13.53125, [-13.53125]), (-13.21875, -13.21875, [-13.21875]), (-14.40625, -14.40625, [-14.40625]), (-14.4375, -14.4375, [-14.4375]), (-13.5, -13.5, [-13.5]), (-12.5625, -12.5625, [-12.5625]), (-14.375, -14.375, [-14.375]), (-13.125, -13.125, [-13.125]), (-12.03125, -12.03125, [-12.03125]), (-14.859375, -14.859375, [-14.859375]), (-12.8125, -12.8125, [-12.8125]), (-12.125, -12.125, [-12.125]), (-13.84375, -13.84375, [-13.84375]), (-14.40625, -14.40625, [-14.40625]), (-13.21875, -13.21875, [-13.21875]), (-11.5625, -11.5625, [-11.5625]), (-12.671875, -12.671875, [-12.671875]), (-15.71875, -15.71875, [-15.71875]), (-13.3125, -13.3125, [-13.3125]), (-12.46875, -12.46875, [-12.46875]), (-12.875, -12.875, [-12.875]), (-11.96875, -11.96875, [-11.96875]), (-11.71875, -11.71875, [-11.71875]), (-13.9375, -13.9375, [-13.9375]), (-10.90625, -10.90625, [-10.90625]), (-13.65625, -13.65625, [-13.65625]), (-12.25, -12.25, [-12.25]), (-14.59375, -14.59375, [-14.59375]), (-13.25, -13.25, [-13.25]), (-12.28125, -12.28125, [-12.28125]), (-12.3125, -12.3125, [-12.3125]), (-11.6875, -11.6875, [-11.6875]), (-13.71875, -13.71875, [-13.71875]), (-12.03125, -12.03125, [-12.03125]), (-14.3125, -14.3125, [-14.3125]), (-12.78125, -12.78125, [-12.78125]), (-11.46875, -11.46875, [-11.46875])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, jeep is ",present,absent,jeep,7,vehicle,"[(-15.53125, -15.53125, [-15.53125]), (-12.28125, -12.28125, [-12.28125]), (-14.84375, -14.84375, [-14.84375]), (-12.0, -12.0, [-12.0]), (-16.59375, -16.59375, [-16.59375]), (-14.0, -14.0, [-14.0]), (-13.0, -13.0, [-13.0]), (-15.875, -15.875, [-15.875]), (-13.5, -13.5, [-13.5]), (-13.5, -13.5, [-13.5]), (-16.0625, -16.0625, [-16.0625]), (-15.15625, -15.15625, [-15.15625]), (-13.46875, -13.46875, [-13.46875]), (-13.0625, -13.0625, [-13.0625]), (-14.265625, -14.265625, [-14.265625]), (-12.65625, -12.65625, [-12.65625]), (-13.125, -13.125, [-13.125]), (-12.78125, -12.78125, [-12.78125]), (-13.8125, -13.8125, [-13.8125]), (-14.03125, -14.03125, [-14.03125]), (-13.96875, -13.96875, [-13.96875]), (-13.625, -13.625, [-13.625]), (-14.90625, -14.90625, [-14.90625]), (-17.09375, -17.09375, [-17.09375]), (-15.59375, -15.59375, [-15.59375]), (-14.796875, -14.796875, [-14.796875]), (-14.375, -14.375, [-14.375]), (-12.8125, -12.8125, [-12.8125]), (-13.59375, -13.59375, [-13.59375]), (-16.34375, -16.34375, [-16.34375]), (-14.40625, -14.40625, [-14.40625]), (-13.875, -13.875, [-13.875]), (-12.28125, -12.28125, [-12.28125]), (-14.21875, -14.21875, [-14.21875]), (-14.5625, -14.5625, [-14.5625]), (-14.5625, -14.5625, [-14.5625]), (-13.53125, -13.53125, [-13.53125]), (-12.71875, -12.71875, [-12.71875]), (-13.15625, -13.15625, [-13.15625]), (-15.875, -15.875, [-15.875]), (-13.90625, -13.90625, [-13.90625]), (-15.65625, -15.65625, [-15.65625]), (-15.640625, -15.640625, [-15.640625]), (-14.5625, -14.5625, [-14.5625]), (-14.0, -14.0, [-14.0]), (-14.9375, -14.9375, [-14.9375]), (-15.34375, -15.34375, [-15.34375]), (-13.28125, -13.28125, [-13.28125]), (-14.8125, -14.8125, [-14.8125]), (-16.375, -16.375, [-16.375])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, ambulance is ",present,absent,ambulance,8,vehicle,"[(-13.65625, -13.65625, [-13.65625]), (-13.8125, -13.8125, [-13.8125]), (-15.125, -15.125, [-15.125]), (-14.625, -14.625, [-14.625]), (-13.46875, -13.46875, [-13.46875]), (-12.90625, -12.90625, [-12.90625]), (-13.21875, -13.21875, [-13.21875]), (-12.5, -12.5, [-12.5]), (-15.75, -15.75, [-15.75]), (-12.5625, -12.5625, [-12.5625]), (-16.4375, -16.4375, [-16.4375]), (-13.0, -13.0, [-13.0]), (-14.21875, -14.21875, [-14.21875]), (-11.453125, -11.453125, [-11.453125]), (-12.09375, -12.09375, [-12.09375]), (-14.25, -14.25, [-14.25]), (-12.4375, -12.4375, [-12.4375]), (-13.65625, -13.65625, [-13.65625]), (-13.46875, -13.46875, [-13.46875]), (-13.0625, -13.0625, [-13.0625]), (-11.90625, -11.90625, [-11.90625]), (-12.78125, -12.78125, [-12.78125]), (-13.78125, -13.78125, [-13.78125]), (-15.46875, -15.46875, [-15.46875]), (-13.46875, -13.46875, [-13.46875]), (-14.125, -14.125, [-14.125]), (-15.578125, -15.578125, [-15.578125]), (-13.53125, -13.53125, [-13.53125]), (-13.6875, -13.6875, [-13.6875]), (-14.25, -14.25, [-14.25]), (-13.9375, -13.9375, [-13.9375]), (-14.390625, -14.390625, [-14.390625]), (-15.40625, -15.40625, [-15.40625]), (-14.4375, -14.4375, [-14.4375]), (-12.265625, -12.265625, [-12.265625]), (-12.265625, -12.265625, [-12.265625]), (-12.03125, -12.03125, [-12.03125]), (-11.875, -11.875, [-11.875]), (-9.90625, -9.90625, [-9.90625]), (-11.78125, -11.78125, [-11.78125]), (-15.625, -15.625, [-15.625]), (-13.1875, -13.1875, [-13.1875]), (-15.484375, -15.484375, [-15.484375]), (-15.125, -15.125, [-15.125]), (-12.75, -12.75, [-12.75]), (-13.78125, -13.78125, [-13.78125]), (-14.5625, -14.5625, [-14.5625]), (-12.0625, -12.0625, [-12.0625]), (-12.375, -12.375, [-12.375]), (-14.53125, -14.53125, [-14.53125])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, motorcycle is ",present,absent,motorcycle,9,vehicle,"[(-12.125, -12.125, [-12.125]), (-13.4375, -13.4375, [-13.4375]), (-12.5, -12.5, [-12.5]), (-12.21875, -12.21875, [-12.21875]), (-13.6875, -13.6875, [-13.6875]), (-11.03125, -11.03125, [-11.03125]), (-14.3125, -14.3125, [-14.3125]), (-14.375, -14.375, [-14.375]), (-13.59375, -13.59375, [-13.59375]), (-13.90625, -13.90625, [-13.90625]), (-12.5, -12.5, [-12.5]), (-13.71875, -13.71875, [-13.71875]), (-12.125, -12.125, [-12.125]), (-14.90625, -14.90625, [-14.90625]), (-11.71875, -11.71875, [-11.71875]), (-11.6875, -11.6875, [-11.6875]), (-15.84375, -15.84375, [-15.84375]), (-16.375, -16.375, [-16.375]), (-10.9375, -10.9375, [-10.9375]), (-11.40625, -11.40625, [-11.40625]), (-14.3125, -14.3125, [-14.3125]), (-12.59375, -12.59375, [-12.59375]), (-12.46875, -12.46875, [-12.46875]), (-14.3125, -14.3125, [-14.3125]), (-11.15625, -11.15625, [-11.15625]), (-16.0625, -16.0625, [-16.0625]), (-14.8125, -14.8125, [-14.8125]), (-12.125, -12.125, [-12.125]), (-12.90625, -12.90625, [-12.90625]), (-14.1875, -14.1875, [-14.1875]), (-12.65625, -12.65625, [-12.65625]), (-12.65625, -12.65625, [-12.65625]), (-13.25, -13.25, [-13.25]), (-13.21875, -13.21875, [-13.21875]), (-13.875, -13.875, [-13.875]), (-16.6875, -16.6875, [-16.6875]), (-15.5625, -15.5625, [-15.5625]), (-14.21875, -14.21875, [-14.21875]), (-13.828125, -13.828125, [-13.828125]), (-14.5, -14.5, [-14.5]), (-14.03125, -14.03125, [-14.03125]), (-14.15625, -14.15625, [-14.15625]), (-14.21875, -14.21875, [-14.21875]), (-12.46875, -12.46875, [-12.46875]), (-14.625, -14.625, [-14.625]), (-12.5, -12.5, [-12.5]), (-13.1875, -13.1875, [-13.1875]), (-12.46875, -12.46875, [-12.46875]), (-15.125, -15.125, [-15.125]), (-12.4375, -12.4375, [-12.4375])]",124439808,gpt2
1,"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: train, wheelbarrow, tractor, ski, trolley, van, jet, tricycle, streetcar, submarine, sled, cart, elevator, bus, camel, truck, wheelchair, minivan, airplane, yacht, ship, canoe, scooter, taxi, skate. According to the list, minivan is present. According to the list, SUV is absent. According to the list, streetcar is ",present,present,streetcar,10,vehicle,"[(-15.75, -15.75, [-15.75]), (-13.0, -13.0, [-13.0]), (-14.25, -14.25, [-14.25]), (-15.375, -15.375, [-15.375]), (-12.5625, -12.5625, [-12.5625]), (-10.96875, -10.96875, [-10.96875]), (-16.53125, -16.53125, [-16.53125]), (-14.15625, -14.15625, [-14.15625]), (-12.75, -12.75, [-12.75]), (-13.28125, -13.28125, [-13.28125]), (-12.4375, -12.4375, [-12.4375]), (-14.125, -14.125, [-14.125]), (-12.9375, -12.9375, [-12.9375]), (-15.3125, -15.3125, [-15.3125]), (-13.28125, -13.28125, [-13.28125]), (-12.0, -12.0, [-12.0]), (-12.71875, -12.71875, [-12.71875]), (-13.625, -13.625, [-13.625]), (-15.8125, -15.8125, [-15.8125]), (-10.75, -10.75, [-10.75]), (-11.8125, -11.8125, [-11.8125]), (-14.25, -14.25, [-14.25]), (-11.0, -11.0, [-11.0]), (-11.84375, -11.84375, [-11.84375]), (-13.75, -13.75, [-13.75]), (-12.78125, -12.78125, [-12.78125]), (-13.5625, -13.5625, [-13.5625]), (-11.9375, -11.9375, [-11.9375]), (-13.5625, -13.5625, [-13.5625]), (-13.90625, -13.90625, [-13.90625]), (-14.21875, -14.21875, [-14.21875]), (-11.125, -11.125, [-11.125]), (-14.296875, -14.296875, [-14.296875]), (-12.34375, -12.34375, [-12.34375]), (-12.5625, -12.5625, [-12.5625]), (-13.53125, -13.53125, [-13.53125]), (-16.125, -16.125, [-16.125]), (-12.0, -12.0, [-12.0]), (-14.3125, -14.3125, [-14.3125]), (-15.78125, -15.78125, [-15.78125]), (-14.09375, -14.09375, [-14.09375]), (-14.375, -14.375, [-14.375]), (-13.71875, -13.71875, [-13.71875]), (-15.125, -15.125, [-15.125]), (-13.90625, -13.90625, [-13.90625]), (-13.21875, -13.21875, [-13.21875]), (-13.96875, -13.96875, [-13.96875]), (-14.59375, -14.59375, [-14.59375]), (-14.34375, -14.34375, [-14.34375]), (-13.21875, -13.21875, [-13.21875])]",124439808,gpt2
