preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,none,toy,1,"[-11.963003158569336, -12.16375732421875, -12.791440963745117, -10.903799057006836, -13.116937637329102, -12.40283203125, -10.185644149780273, -9.962602615356445, -12.293008804321289, -11.634443283081055, -10.894222259521484, -11.314286231994629, -11.978082656860352, -10.033341407775879, -11.388866424560547, -12.784873962402344, -13.753199577331543, -13.23379135131836, -11.243913650512695, -12.520813941955566, -11.83914566040039, -12.608955383300781, -10.083505630493164, -11.92874526977539, -12.36697769165039, -12.101655006408691, -10.479646682739258, -12.496501922607422, -12.21444320678711, -10.781240463256836, -12.066787719726562, -12.120987892150879, -11.805608749389648, -10.665071487426758, -9.884810447692871, -11.429378509521484, -11.230565071105957, -11.218345642089844, -10.602376937866211, -13.20782470703125, -10.334005355834961, -11.630622863769531, -11.729286193847656, -12.367477416992188, -13.151762008666992, -11.679900169372559, -12.129131317138672, -9.637327194213867, -10.047797203063965, -10.118925094604492]",7241732096,mistralai_Mistral-7B-v0.1
A top is a,toy.,top,none,toy,2,"[-10.79371452331543, -12.788701057434082, -13.606636047363281, -12.792173385620117, -11.61761474609375, -9.940757751464844, -12.20594596862793, -13.169766426086426, -11.998418807983398, -13.939395904541016, -10.538799285888672, -12.73454475402832, -11.67160415649414, -11.728766441345215, -12.379168510437012, -12.482126235961914, -13.222307205200195, -11.773649215698242, -8.69179630279541, -12.067425727844238, -12.397111892700195, -10.757177352905273, -11.943482398986816, -10.329998016357422, -10.860590934753418, -10.346189498901367, -9.439208984375, -12.627219200134277, -10.629165649414062, -13.533393859863281, -13.287996292114258, -13.511178970336914, -10.970541000366211, -10.763198852539062, -11.352005958557129, -11.775976181030273, -12.159226417541504, -10.83194637298584, -12.040481567382812, -12.728508949279785, -11.145078659057617, -10.895009994506836, -10.56894302368164, -13.441946029663086, -10.670872688293457, -12.558417320251465, -11.445497512817383, -12.165617942810059, -12.3195219039917, -13.270956993103027]",7241732096,mistralai_Mistral-7B-v0.1
A jack-in-the-box is a,toy.,jack-in-the-box,none,toy,3,"[-1.671422004699707, -1.712911605834961, -1.348038673400879, -1.7237586975097656, -1.3643312454223633, -1.231374740600586, -1.4592008590698242, -10.967541694641113, -1.17938232421875, -1.8889503479003906, -9.905366897583008, -1.5668153762817383, -2.0335187911987305, -2.019118309020996, -1.5227088928222656, -1.9886627197265625, -1.5662908554077148, -1.8622751235961914, -2.010016441345215, -1.385350227355957, -10.08720874786377, -1.5495758056640625, -1.3655853271484375, -1.3709716796875, -1.3574028015136719, -1.7164192199707031, -1.5096063613891602, -1.4958171844482422, -9.077760696411133, -2.1195201873779297, -1.5305309295654297, -1.3942804336547852, -1.2029104232788086, -1.7813091278076172, -1.3821001052856445, -1.4772720336914062, -1.691213607788086, -1.8858728408813477, -1.5948753356933594, -11.563726425170898, -1.894526481628418, -1.7088279724121094, -1.8621797561645508, -1.2967042922973633, -1.5420045852661133, -1.7190914154052734, -1.0681962966918945, -1.643773078918457, -1.8424701690673828, -1.334467887878418]",7241732096,mistralai_Mistral-7B-v0.1
A toy soldier is a,toy.,toy soldier,none,toy,4,"[-16.42006492614746, -14.221407890319824, -10.36924934387207, -15.287691116333008, -15.06270694732666, -15.58553695678711, -10.35410213470459, -14.041939735412598, -14.86400318145752, -11.418316841125488, -14.845057487487793, -15.130958557128906, -13.928797721862793, -14.753064155578613, -11.034937858581543, -15.570899963378906, -14.912199974060059, -14.393556594848633, -15.068077087402344, -14.881901741027832, -14.076844215393066, -16.09473419189453, -14.802488327026367, -14.703426361083984, -14.373903274536133, -14.688735008239746, -11.089888572692871, -15.002429008483887, -15.38111400604248, -15.746820449829102, -15.123793601989746, -12.127983093261719, -16.01428985595703, -14.738927841186523, -16.139022827148438, -15.687658309936523, -12.921163558959961, -14.752558708190918, -15.320852279663086, -14.497152328491211, -15.405389785766602, -15.636687278747559, -14.416661262512207, -14.187403678894043, -15.224394798278809, -12.67105484008789, -15.163933753967285, -15.449240684509277, -14.502143859863281, -15.248810768127441]",7241732096,mistralai_Mistral-7B-v0.1
A yo-yo is a,toy.,yo-yo,none,toy,5,"[-12.767099380493164, -9.273582458496094, -12.539433479309082, -13.646804809570312, -13.129429817199707, -13.803443908691406, -9.706754684448242, -12.116242408752441, -12.734212875366211, -11.69951343536377, -13.443629264831543, -11.732990264892578, -13.126583099365234, -13.87580680847168, -13.579010009765625, -12.943410873413086, -12.425318717956543, -12.37283706665039, -12.436680793762207, -13.519184112548828, -11.653531074523926, -13.568927764892578, -10.142476081848145, -13.884742736816406, -13.296442031860352, -13.312010765075684, -9.915620803833008, -14.33698844909668, -13.158892631530762, -14.502472877502441, -10.152933120727539, -12.299073219299316, -13.786819458007812, -9.651573181152344, -12.455992698669434, -9.186119079589844, -14.903353691101074, -15.549847602844238, -11.02462387084961, -12.656585693359375, -12.702951431274414, -12.348662376403809, -13.76199722290039, -13.067870140075684, -14.268878936767578, -14.42529296875, -13.474935531616211, -10.030935287475586, -13.627564430236816, -12.7974214553833]",7241732096,mistralai_Mistral-7B-v0.1
A block is a,toy.,block,none,toy,6,"[-11.662766456604004, -12.726959228515625, -12.346211433410645, -13.695280075073242, -13.174925804138184, -11.811600685119629, -12.823068618774414, -11.448766708374023, -12.749114036560059, -14.28979206085205, -13.257277488708496, -11.251171112060547, -11.500316619873047, -12.114297866821289, -12.729124069213867, -12.532783508300781, -11.114947319030762, -11.17241096496582, -13.561988830566406, -11.804167747497559, -11.011655807495117, -11.888602256774902, -11.221892356872559, -12.062955856323242, -11.832124710083008, -12.47177505493164, -11.007232666015625, -12.106910705566406, -14.176599502563477, -13.67985725402832, -13.066728591918945, -11.413954734802246, -12.817874908447266, -10.204526901245117, -11.74978256225586, -12.00108528137207, -11.418451309204102, -14.011286735534668, -11.939105033874512, -13.719351768493652, -12.803464889526367, -13.26584243774414, -12.839418411254883, -13.443385124206543, -13.21993350982666, -12.836833953857422, -9.42569637298584, -11.750483512878418, -10.628368377685547, -13.472611427307129]",7241732096,mistralai_Mistral-7B-v0.1
Marbles are,toys.,marbles,none,toy,7,"[-12.914146423339844, -11.005585670471191, -10.476285934448242, -9.953437805175781, -11.253133773803711, -11.027912139892578, -11.254660606384277, -11.569977760314941, -10.464385986328125, -11.032368659973145, -13.510273933410645, -12.538004875183105, -11.890815734863281, -10.164228439331055, -10.396086692810059, -10.329537391662598, -10.077301979064941, -10.608880996704102, -12.334718704223633, -9.990453720092773, -11.34241771697998, -12.03859806060791, -10.87428092956543, -11.73178482055664, -12.270779609680176, -11.867843627929688, -12.271504402160645, -10.36545467376709, -11.854838371276855, -12.2401123046875, -11.189234733581543, -11.20500373840332, -10.109543800354004, -12.22494888305664, -11.972248077392578, -12.25288200378418, -11.47448444366455, -13.136127471923828, -12.561296463012695, -9.982562065124512, -11.223189353942871, -9.997766494750977, -12.795665740966797, -12.456130981445312, -10.83218002319336, -10.005843162536621, -10.267365455627441, -12.046082496643066, -10.731054306030273, -10.695640563964844]",7241732096,mistralai_Mistral-7B-v0.1
A rattle is a,toy.,rattle,none,toy,8,"[-14.594094276428223, -15.610331535339355, -14.972358703613281, -12.650663375854492, -14.73157787322998, -14.66649055480957, -14.386479377746582, -15.797614097595215, -10.698251724243164, -14.606629371643066, -14.906235694885254, -14.654378890991211, -15.182360649108887, -13.921051025390625, -10.842342376708984, -10.537336349487305, -15.808683395385742, -16.216196060180664, -14.789592742919922, -14.9757661819458, -15.373236656188965, -11.470418930053711, -14.339290618896484, -15.12287425994873, -13.854229927062988, -14.599784851074219, -15.485895156860352, -15.34994888305664, -15.139378547668457, -14.802668571472168, -14.442421913146973, -15.367613792419434, -12.843778610229492, -15.246880531311035, -13.443902969360352, -13.6829833984375, -14.96253490447998, -15.393888473510742, -14.995261192321777, -14.717745780944824, -14.152369499206543, -14.276604652404785, -13.867124557495117, -10.711882591247559, -13.581094741821289, -13.264016151428223, -15.085192680358887, -12.069107055664062, -14.66995620727539, -14.857349395751953]",7241732096,mistralai_Mistral-7B-v0.1
A stuffed animal is a,toy.,stuffed animal,none,toy,9,"[-15.150903701782227, -13.835960388183594, -15.206669807434082, -15.093790054321289, -15.01570987701416, -14.239437103271484, -13.881092071533203, -13.813898086547852, -15.140718460083008, -13.811615943908691, -14.389363288879395, -11.730295181274414, -14.724387168884277, -15.217315673828125, -15.14476490020752, -15.214938163757324, -14.689251899719238, -10.499907493591309, -15.745647430419922, -15.21196174621582, -14.424025535583496, -15.55762767791748, -15.06538200378418, -14.953411102294922, -14.75469970703125, -15.590243339538574, -15.084908485412598, -14.673563003540039, -14.337188720703125, -10.751506805419922, -14.217575073242188, -14.263224601745605, -15.759121894836426, -14.76777172088623, -14.770526885986328, -15.129315376281738, -14.185961723327637, -15.175884246826172, -14.803566932678223, -11.179072380065918, -14.40261173248291, -13.784799575805664, -15.310802459716797, -11.225207328796387, -14.771507263183594, -15.525330543518066, -16.212421417236328, -14.441879272460938, -14.609254837036133, -14.7317533493042]",7241732096,mistralai_Mistral-7B-v0.1
A water pistol is a,toy.,water pistol,none,toy,10,"[-15.139492988586426, -14.712295532226562, -15.316299438476562, -15.597370147705078, -13.902867317199707, -14.728021621704102, -14.955534934997559, -13.125001907348633, -10.427342414855957, -16.39730453491211, -15.096041679382324, -14.98404312133789, -12.360418319702148, -14.96000862121582, -14.843042373657227, -14.00739860534668, -14.824735641479492, -15.555059432983398, -15.593609809875488, -15.502431869506836, -11.016831398010254, -14.901089668273926, -10.761824607849121, -14.733864784240723, -15.042420387268066, -15.526690483093262, -14.879562377929688, -11.181235313415527, -15.490142822265625, -15.443662643432617, -15.029476165771484, -14.400822639465332, -14.459444046020508, -15.14008903503418, -15.238218307495117, -14.699409484863281, -11.436567306518555, -14.110677719116211, -11.01082706451416, -14.813130378723145, -13.507852554321289, -14.375364303588867, -13.372611045837402, -11.554783821105957, -15.10285758972168, -13.71576976776123, -13.944645881652832, -14.163548469543457, -14.487205505371094, -10.871971130371094]",7241732096,mistralai_Mistral-7B-v0.1
