Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, gun is ",present,absent,gun,1,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, pistol is ",present,present,pistol,2,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, revolver is ",present,absent,revolver,3,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, machine gun is ",present,absent,machine gun,4,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, rifle is ",present,present,rifle,5,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, switchblade is ",present,absent,switchblade,6,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, knife is ",present,present,knife,7,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, dagger is ",present,absent,dagger,8,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, shotgun is ",present,absent,shotgun,9,weapon
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, sword is ",present,present,sword,10,weapon
