Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, doll is ",present,absent,doll,1,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, top is ",present,present,top,2,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, jack-in-the-box is ",present,absent,jack-in-the-box,3,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, toy soldier is ",present,absent,toy soldier,4,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, yo-yo is ",present,present,yo-yo,5,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, block is ",present,present,block,6,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, marbles is ",present,absent,marbles,7,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, rattle is ",present,present,rattle,8,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, stuffed animal is ",present,present,stuffed animal,9,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, water pistol is ",present,present,water pistol,10,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, teddy bear is ",present,present,teddy bear,11,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, rocking horse is ",present,absent,rocking horse,12,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, doll house is ",present,absent,doll house,13,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, ball is ",present,present,ball,14,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, jacks is ",present,present,jacks,15,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, paper dolls is ",present,present,paper dolls,16,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, erector set is ",present,absent,erector set,17,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, hula hoop is ",present,absent,hula hoop,18,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, jump rope is ",present,absent,jump rope,19,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, pogo stick is ",present,present,pogo stick,20,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, clay is ",present,absent,clay,21,toys
1,"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: horse, train, rattle, top, game, sandbox, teddy bear, jacks, lego, ball, block, crayons, yo-yo, sled, swing, tricycle, bat, pogo stick, paper dolls, bike, stilts, stuffed animal, cards, water pistol, car, airplane, truck, bicycle, mitt, tennis racket, balloon. According to the list, lego is present. According to the list, action figure is absent. According to the list, wagon is ",present,absent,wagon,22,toys
