Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category,stimulus_prob
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,0,Hospital,0,absent,absent,"[-12.721487045288086, -13.821124076843262, -15.597860336303711, -15.751323699951172, -16.43060302734375, -15.828887939453125, -15.760334014892578, -15.171110153198242, -13.694168090820312, -14.807000160217285, -14.55900764465332, -16.411067962646484, -15.55504035949707, -15.750914573669434, -15.765385627746582, -15.554252624511719, -14.327951431274414, -15.996137619018555, -15.034513473510742, -15.981653213500977, -14.573720932006836, -14.58614444732666, -17.1552734375, -15.29332160949707, -16.482776641845703, -11.621923446655273, -15.583152770996094, -16.098735809326172, -15.24268913269043, -15.798791885375977, -15.328031539916992, -15.878704071044922, -16.294530868530273, -15.270952224731445, -15.280909538269043, -14.861295700073242, -15.391483306884766, -15.826933860778809, -15.755200386047363, -15.425968170166016, -15.299674034118652, -11.690038681030273, -15.538067817687988, -16.28093719482422, -15.149938583374023, -14.505927085876465, -15.318025588989258, -15.177084922790527, -16.1719970703125, -11.487470626831055]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,0,Park,0,absent,absent,"[-14.040200233459473, -15.651018142700195, -14.871556282043457, -15.086585998535156, -15.598817825317383, -13.306390762329102, -15.013176918029785, -16.611202239990234, -14.728124618530273, -15.47144889831543, -15.022638320922852, -15.215417861938477, -15.91374683380127, -15.172980308532715, -16.624027252197266, -13.864721298217773, -15.509438514709473, -16.187618255615234, -16.601409912109375, -14.89982795715332, -15.719205856323242, -15.155596733093262, -11.222148895263672, -14.575665473937988, -16.813587188720703, -10.542043685913086, -13.57542896270752, -14.971799850463867, -11.862784385681152, -13.72147274017334, -16.25864028930664, -15.15981388092041, -14.245996475219727, -16.331562042236328, -14.389339447021484, -15.35651969909668, -14.673906326293945, -16.30166244506836, -12.388668060302734, -11.881059646606445, -14.782407760620117, -14.418133735656738, -16.82434844970703, -15.585491180419922, -15.447418212890625, -15.398880004882812, -15.954418182373047, -15.623576164245605, -16.242511749267578, -16.033710479736328]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,0,Farm,0,absent,absent,"[-15.206524848937988, -14.33643627166748, -15.88975715637207, -15.039737701416016, -14.304327011108398, -15.600824356079102, -14.265881538391113, -14.836044311523438, -13.782430648803711, -14.972387313842773, -14.618962287902832, -15.142470359802246, -14.239849090576172, -16.459453582763672, -15.391729354858398, -11.613447189331055, -14.746452331542969, -15.333456993103027, -14.91529655456543, -14.725802421569824, -15.003822326660156, -15.26638126373291, -14.203267097473145, -13.394953727722168, -15.315075874328613, -14.801801681518555, -14.201799392700195, -15.564748764038086, -15.961594581604004, -15.794878005981445, -14.82699966430664, -15.441807746887207, -14.830953598022461, -14.50433349609375, -14.578474044799805, -16.06606674194336, -15.511673927307129, -15.321671485900879, -14.854778289794922, -13.695902824401855, -14.700438499450684, -13.70766830444336, -15.43075180053711, -14.359771728515625, -13.711795806884766, -15.195687294006348, -16.115936279296875, -12.327624320983887, -13.387328147888184, -15.935830116271973]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,0,Church,3,absent,absent,"[-16.808767318725586, -15.887435913085938, -15.0315580368042, -12.984092712402344, -15.27834701538086, -15.557706832885742, -15.912084579467773, -16.304811477661133, -16.117895126342773, -14.100975036621094, -15.675907135009766, -10.461946487426758, -13.906722068786621, -11.908950805664062, -16.188167572021484, -15.961875915527344, -16.493976593017578, -15.724044799804688, -16.509431838989258, -15.037481307983398, -14.696340560913086, -13.681863784790039, -16.65806007385254, -11.340469360351562, -15.279180526733398, -14.126230239868164, -16.1214542388916, -15.429065704345703, -14.682961463928223, -15.088407516479492, -15.73453140258789, -15.351371765136719, -15.542816162109375, -11.167976379394531, -14.845962524414062, -15.364131927490234, -15.771215438842773, -15.45821762084961, -15.654359817504883, -14.196795463562012, -15.335836410522461, -15.609434127807617, -10.464649200439453, -16.068889617919922, -15.321428298950195, -15.10536003112793, -15.226755142211914, -14.207674026489258, -16.286190032958984, -14.95921516418457]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,0,School,1,absent,absent,"[-15.497314453125, -10.729153633117676, -14.909906387329102, -14.767316818237305, -14.851358413696289, -14.905267715454102, -14.926370620727539, -15.338356018066406, -13.989714622497559, -15.16543197631836, -14.97165584564209, -16.074995040893555, -14.458499908447266, -14.821197509765625, -14.172518730163574, -13.59608268737793, -14.991811752319336, -14.58880615234375, -14.860406875610352, -14.394668579101562, -15.130050659179688, -13.70132827758789, -14.887006759643555, -14.225961685180664, -14.748316764831543, -14.311771392822266, -15.567930221557617, -14.894388198852539, -12.831372261047363, -10.534706115722656, -15.38001823425293, -14.779144287109375, -15.604978561401367, -15.01043701171875, -14.42009162902832, -15.32520866394043, -15.142972946166992, -13.0003662109375, -13.620073318481445, -9.467915534973145, -13.817144393920898, -12.808431625366211, -15.043453216552734, -14.57937240600586, -14.342876434326172, -13.926332473754883, -14.001068115234375, -14.708955764770508, -15.058927536010742, -14.2362060546875]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,0,Bank,1,absent,absent,"[-16.824539184570312, -15.939960479736328, -16.760013580322266, -16.861581802368164, -17.10834503173828, -17.110265731811523, -15.916662216186523, -16.73565101623535, -16.196603775024414, -16.932689666748047, -16.757946014404297, -15.249899864196777, -15.03103256225586, -16.955350875854492, -16.90607452392578, -17.056068420410156, -16.151538848876953, -17.169898986816406, -16.871816635131836, -15.37320613861084, -15.915423393249512, -16.207427978515625, -16.132740020751953, -17.342002868652344, -11.525564193725586, -15.979923248291016, -12.024811744689941, -17.558542251586914, -16.44413948059082, -17.110183715820312, -14.7353515625, -16.258028030395508, -17.033771514892578, -14.871414184570312, -10.662081718444824, -16.42329978942871, -16.28563690185547, -16.96407127380371, -17.32420539855957, -9.744840621948242, -13.871002197265625, -16.670089721679688, -16.174442291259766, -16.9143123626709, -17.73805809020996, -12.513871192932129, -15.329933166503906, -16.22949981689453, -16.522960662841797, -16.391258239746094]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,0,Hotel,1,absent,absent,"[-16.18406867980957, -16.401081085205078, -16.84762191772461, -14.878316879272461, -15.256139755249023, -16.204853057861328, -16.206960678100586, -15.499631881713867, -16.228816986083984, -16.404056549072266, -11.877182006835938, -15.711816787719727, -16.103771209716797, -17.65869903564453, -15.45778751373291, -15.393244743347168, -15.577363967895508, -17.324642181396484, -14.653383255004883, -17.475156784057617, -15.96571159362793, -13.923995018005371, -15.828276634216309, -16.208080291748047, -16.86697769165039, -10.530206680297852, -15.4168119430542, -12.109333038330078, -12.220645904541016, -16.29345703125, -15.075374603271484, -15.105267524719238, -17.221805572509766, -15.060554504394531, -16.885295867919922, -17.535661697387695, -10.522120475769043, -15.854911804199219, -15.748371124267578, -16.78497886657715, -17.210708618164062, -12.841485977172852, -16.513538360595703, -11.28271770477295, -12.409139633178711, -15.6656494140625, -13.90812873840332, -16.298328399658203, -15.779730796813965, -16.927488327026367]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,0,Restaurant,3,absent,absent,"[-11.517269134521484, -11.614646911621094, -11.300106048583984, -11.228681564331055, -10.561559677124023, -10.639724731445312, -11.448770523071289, -12.069015502929688, -10.883756637573242, -11.040803909301758, -11.129364013671875, -12.163471221923828, -11.205022811889648, -9.8082275390625, -11.289133071899414, -11.608097076416016, -11.003576278686523, -11.694738388061523, -9.858404159545898, -13.751312255859375, -11.05821418762207, -11.644721984863281, -12.252296447753906, -10.001407623291016, -10.995452880859375, -11.4967679977417, -11.288290977478027, -11.444223403930664, -11.641765594482422, -10.198406219482422, -11.800638198852539, -11.708614349365234, -13.086259841918945, -10.837350845336914, -10.541524887084961, -10.359090805053711, -10.747781753540039, -11.11404800415039, -12.324180603027344, -9.949755668640137, -12.717695236206055, -8.559185028076172, -10.801736831665039, -10.859624862670898, -11.053205490112305, -9.409014701843262, -12.855192184448242, -12.912813186645508, -9.569422721862793, -9.754950523376465]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,0,Construction Site,1,absent,absent,"[-12.467485427856445, -13.596811294555664, -10.875862121582031, -13.062629699707031, -10.409934997558594, -11.735614776611328, -10.373292922973633, -12.429037094116211, -11.113286972045898, -8.606178283691406, -12.000938415527344, -12.406717300415039, -11.47055435180664, -10.291631698608398, -11.59514045715332, -9.723600387573242, -11.346519470214844, -11.143014907836914, -10.245113372802734, -12.197454452514648, -8.802665710449219, -11.384782791137695, -12.650882720947266, -12.578256607055664, -12.292343139648438, -12.335783004760742, -14.22048282623291, -11.30655288696289, -12.529388427734375, -11.269735336303711, -12.56315803527832, -10.429295539855957, -14.312215805053711, -11.681167602539062, -9.542542457580566, -10.260812759399414, -12.266777038574219, -13.813323974609375, -12.388284683227539, -11.438789367675781, -12.370956420898438, -12.055835723876953, -10.599102020263672, -12.550529479980469, -12.05650520324707, -11.18626594543457, -11.409757614135742, -9.777392387390137, -12.740083694458008, -9.986543655395508]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Laboratory. The Chef is in the Laboratory. The Writer is in the Agency. The Nurse is in the Courthouse. The Teacher is in the Construction Site. The Police Officer is in the Pharmacy. The Clerk is in the Library. The Builder is in the Restaurant. The Clerk is in the Restaurant. The Nurse is in the Church. The Psychologist is in the School. The Lawyer is in the Office Building. The Journalist is in the Library. The Pastor is in the Church. The Lawyer is in the Laboratory. The Writer is in the Pharmacy. The Architect is in the Hotel. The Programmer is in the Church. The Programmer is in the Police Station. The Librarian is in the Office Building. The Accountant is in the Factory. The Clerk is in the University. The Electrician is in the Bank. The Nurse is in the Factory. The Librarian is in the Studio. The Psychologist is in the Restaurant. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,0,Library,2,absent,absent,"[-13.943370819091797, -10.23879623413086, -15.173229217529297, -15.916362762451172, -14.60384750366211, -14.675018310546875, -14.684099197387695, -10.387751579284668, -15.440408706665039, -14.141538619995117, -15.73481559753418, -13.844757080078125, -14.696819305419922, -13.660744667053223, -13.742620468139648, -15.635433197021484, -15.547470092773438, -13.508880615234375, -14.633039474487305, -13.250388145446777, -14.790220260620117, -15.364395141601562, -13.831585884094238, -15.357297897338867, -15.302328109741211, -14.792821884155273, -13.543086051940918, -15.483293533325195, -15.113750457763672, -15.396173477172852, -14.164281845092773, -15.701436042785645, -15.099761962890625, -14.71733283996582, -14.410723686218262, -15.840259552001953, -16.17867088317871, -14.543739318847656, -14.57686710357666, -15.14468002319336, -13.64293384552002, -15.541326522827148, -14.358909606933594, -14.44251823425293, -12.999095916748047, -14.89628791809082, -15.955101013183594, -15.858665466308594, -12.837230682373047, -14.786659240722656]"
