Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category,stimulus_prob
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,0,Hospital,1,absent,absent,"[-14.308509826660156, -14.878076553344727, -12.309398651123047, -10.250848770141602, -15.612585067749023, -16.32529067993164, -15.534480094909668, -15.131689071655273, -10.666282653808594, -14.83675765991211, -13.978500366210938, -15.599390029907227, -15.148208618164062, -14.25741958618164, -15.525537490844727, -15.259832382202148, -14.85243034362793, -14.767207145690918, -15.860983848571777, -16.939922332763672, -16.218446731567383, -14.910029411315918, -15.678974151611328, -15.465267181396484, -16.001495361328125, -15.223735809326172, -12.74050521850586, -15.10189437866211, -15.107841491699219, -15.334402084350586, -14.316732406616211, -15.759710311889648, -15.022428512573242, -14.923466682434082, -15.777795791625977, -15.419824600219727, -14.749208450317383, -15.731955528259277, -15.28880500793457, -15.706932067871094, -15.3790283203125, -13.425251007080078, -15.528217315673828, -15.034345626831055, -15.478089332580566, -11.248358726501465, -15.458700180053711, -15.256267547607422, -15.580856323242188, -15.108686447143555]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,0,Park,7,absent,absent,"[-13.388086318969727, -13.224209785461426, -12.797454833984375, -15.089056015014648, -14.685935974121094, -14.770207405090332, -12.61164379119873, -13.788005828857422, -13.171823501586914, -15.306022644042969, -13.441526412963867, -12.866488456726074, -12.776572227478027, -13.681805610656738, -14.022835731506348, -14.636154174804688, -13.945944786071777, -14.129365921020508, -11.38223648071289, -15.436624526977539, -14.852983474731445, -11.288346290588379, -14.409757614135742, -12.708843231201172, -13.313253402709961, -14.317082405090332, -15.20904541015625, -14.520212173461914, -10.534852027893066, -13.54728889465332, -15.044187545776367, -15.019740104675293, -13.833314895629883, -14.243196487426758, -14.11828899383545, -12.852693557739258, -13.508950233459473, -12.435540199279785, -14.240676879882812, -11.22909927368164, -11.093360900878906, -14.523147583007812, -15.443470001220703, -15.56982421875, -15.26030445098877, -14.25986099243164, -14.282727241516113, -13.9713134765625, -14.041403770446777, -14.694269180297852]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,0,Farm,2,absent,absent,"[-12.663741111755371, -14.456478118896484, -10.472997665405273, -13.044071197509766, -14.409921646118164, -10.739906311035156, -12.814509391784668, -10.529909133911133, -10.933089256286621, -12.016749382019043, -10.35653305053711, -14.955315589904785, -15.379570960998535, -14.207942008972168, -13.847976684570312, -14.369720458984375, -12.477057456970215, -15.421939849853516, -14.981719970703125, -13.098852157592773, -14.914314270019531, -13.764345169067383, -13.806997299194336, -14.5422945022583, -13.61176586151123, -13.412435531616211, -14.870909690856934, -14.87546157836914, -12.69876766204834, -11.922859191894531, -12.889862060546875, -14.443076133728027, -14.098891258239746, -13.145249366760254, -13.457865715026855, -14.063894271850586, -14.87807846069336, -15.620487213134766, -14.685979843139648, -14.447651863098145, -14.581964492797852, -13.775070190429688, -14.101078033447266, -14.735124588012695, -12.55128002166748, -14.5452241897583, -13.47709846496582, -15.54542350769043, -13.46097469329834, -15.17306900024414]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,0,Church,3,absent,absent,"[-15.70980167388916, -14.570693969726562, -17.289813995361328, -16.582298278808594, -11.536704063415527, -14.083625793457031, -12.935680389404297, -16.655881881713867, -14.865596771240234, -16.524566650390625, -15.532306671142578, -16.33612060546875, -16.78298568725586, -15.886479377746582, -17.023826599121094, -10.729259490966797, -15.321699142456055, -10.140195846557617, -15.338302612304688, -15.187719345092773, -16.982526779174805, -11.618810653686523, -16.066408157348633, -16.028451919555664, -14.933869361877441, -16.004100799560547, -16.278194427490234, -15.786081314086914, -16.430606842041016, -14.3063383102417, -14.367037773132324, -15.472665786743164, -14.320342063903809, -15.72319221496582, -16.499189376831055, -16.532085418701172, -16.15972328186035, -15.460695266723633, -15.62115478515625, -14.890790939331055, -15.204310417175293, -15.629151344299316, -16.770244598388672, -16.8091983795166, -15.833145141601562, -16.075037002563477, -15.23588752746582, -15.733237266540527, -11.534902572631836, -16.60477066040039]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,0,School,8,absent,absent,"[-14.376598358154297, -14.965682983398438, -10.32746696472168, -13.966165542602539, -14.551898956298828, -14.422056198120117, -13.469320297241211, -12.475884437561035, -15.835712432861328, -13.719018936157227, -14.937204360961914, -9.85090446472168, -12.390552520751953, -13.549036026000977, -15.938552856445312, -12.844528198242188, -14.198589324951172, -14.366748809814453, -13.366857528686523, -13.256196975708008, -14.793272018432617, -14.746925354003906, -13.947057723999023, -14.62556266784668, -11.131654739379883, -13.466344833374023, -13.161922454833984, -14.447628021240234, -14.121088027954102, -15.452613830566406, -14.372112274169922, -14.659125328063965, -13.718427658081055, -12.126018524169922, -13.98556137084961, -14.469802856445312, -13.961223602294922, -14.676252365112305, -14.45244026184082, -14.890222549438477, -13.776056289672852, -15.113809585571289, -15.307611465454102, -14.56787109375, -13.02208137512207, -12.212332725524902, -13.314428329467773, -13.706981658935547, -13.482294082641602, -12.511125564575195]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,0,Bank,5,absent,absent,"[-15.300838470458984, -15.747209548950195, -15.453062057495117, -14.536815643310547, -15.43275260925293, -14.60493278503418, -14.579245567321777, -13.045633316040039, -14.019201278686523, -15.782522201538086, -15.257001876831055, -15.363626480102539, -14.983657836914062, -15.701631546020508, -16.262794494628906, -14.13726806640625, -16.290205001831055, -16.557601928710938, -15.61280632019043, -16.152713775634766, -15.03465461730957, -11.722898483276367, -11.800718307495117, -15.982627868652344, -16.628530502319336, -16.164226531982422, -16.002925872802734, -12.1110258102417, -13.968812942504883, -16.00873374938965, -14.705914497375488, -13.771516799926758, -15.68435287475586, -15.968225479125977, -11.966482162475586, -14.781744956970215, -15.816673278808594, -11.238357543945312, -16.203231811523438, -14.96673583984375, -15.514680862426758, -15.105833053588867, -15.007772445678711, -15.859148025512695, -16.14198112487793, -10.847892761230469, -16.361797332763672, -15.394137382507324, -16.07406234741211, -15.64262580871582]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,0,Hotel,1,absent,absent,"[-16.5041446685791, -14.840892791748047, -12.765108108520508, -16.896892547607422, -15.370935440063477, -16.14202880859375, -9.946980476379395, -15.429076194763184, -15.840538024902344, -16.009056091308594, -15.829736709594727, -14.671948432922363, -15.32713508605957, -15.928642272949219, -11.552574157714844, -16.05209732055664, -15.951798439025879, -15.662657737731934, -17.10361099243164, -15.308637619018555, -15.940324783325195, -16.016536712646484, -16.046396255493164, -13.894335746765137, -14.435182571411133, -17.309064865112305, -15.868965148925781, -14.992620468139648, -14.644365310668945, -14.967058181762695, -15.426841735839844, -14.707845687866211, -15.456514358520508, -16.46613121032715, -17.135732650756836, -14.276535987854004, -14.668111801147461, -15.733911514282227, -14.017107009887695, -14.864863395690918, -16.31924819946289, -14.451662063598633, -16.76459312438965, -10.837371826171875, -14.866209983825684, -15.028020858764648, -16.056886672973633, -14.554084777832031, -15.398757934570312, -15.542854309082031]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,0,Restaurant,1,absent,absent,"[-9.689130783081055, -10.98484992980957, -11.518512725830078, -10.422859191894531, -11.55771255493164, -10.995420455932617, -10.648998260498047, -17.199451446533203, -9.288772583007812, -13.259496688842773, -9.284396171569824, -10.841400146484375, -11.504091262817383, -12.73141860961914, -11.63365364074707, -11.744667053222656, -10.069414138793945, -9.768611907958984, -11.848419189453125, -10.12368392944336, -12.396066665649414, -12.575151443481445, -12.061870574951172, -9.435661315917969, -11.18429946899414, -11.126153945922852, -10.076446533203125, -10.242185592651367, -11.30751895904541, -9.761161804199219, -10.684263229370117, -8.819598197937012, -11.487951278686523, -11.300165176391602, -11.082305908203125, -10.808862686157227, -12.644353866577148, -13.088733673095703, -8.691259384155273, -11.288503646850586, -10.534502029418945, -9.96772575378418, -11.711721420288086, -12.910089492797852, -11.263481140136719, -10.82176399230957, -7.933611869812012, -10.577463150024414, -11.076467514038086, -12.51308822631836]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,0,Construction Site,2,absent,absent,"[-11.39854621887207, -10.618179321289062, -12.012617111206055, -12.154102325439453, -9.974102973937988, -9.181537628173828, -9.698234558105469, -12.455087661743164, -8.336079597473145, -10.621780395507812, -11.031866073608398, -12.127262115478516, -11.647987365722656, -10.732662200927734, -10.885030746459961, -10.508430480957031, -11.187667846679688, -12.535236358642578, -11.608098983764648, -9.191170692443848, -10.755470275878906, -12.171232223510742, -10.593456268310547, -13.147769927978516, -10.50082015991211, -11.733793258666992, -11.260360717773438, -11.397315979003906, -13.719305038452148, -11.872406005859375, -12.193906784057617, -8.264568328857422, -10.391170501708984, -12.253719329833984, -10.494138717651367, -10.766214370727539, -12.821645736694336, -7.661685943603516, -13.208003997802734, -8.847665786743164, -11.442239761352539, -7.934882164001465, -10.582319259643555, -10.543001174926758, -11.450695037841797, -11.876089096069336, -12.098997116088867, -12.540081024169922, -10.650569915771484, -9.994993209838867]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Teacher is in the School. The Artist is in the Pharmacy. The Pastor is in the Park. The Architect is in the Pharmacy. The Journalist is in the Pharmacy. The Police Officer is in the Pharmacy. The Writer is in the School. The Pharmacist is in the Bank. The Journalist is in the Laboratory. The Police Officer is in the Bank. The Teacher is in the Farm. The Psychologist is in the Construction Site. The Nurse is in the School. The Journalist is in the Park. The Librarian is in the Church. The Pastor is in the Agency. The Police Officer is in the Park. The Journalist is in the School. The Programmer is in the Park. The Teacher is in the Construction Site. The Police Officer is in the Library. The Engineer is in the Library. The Programmer is in the School. The Teacher is in the Park. The Journalist is in the Agency. The Artist is in the Laboratory. The Builder is in the Bank. The Journalist is in the Bank. The Nurse is in the Park. The Writer is in the Studio. The Builder is in the Park. The Journalist is in the Library. The Journalist is in the Farm. The Journalist is in the Restaurant. The Architect is in the Factory. The Artist is in the School. The Teacher is in the Laboratory. The Builder is in the Agency. The Builder is in the Hotel. The Pharmacist is in the Hospital. The Architect is in the School. The Builder is in the Church. The Builder is in the Courthouse. The Pastor is in the Bank. The Teacher is in the Clinic. The Architect is in the Agency. The Accountant is in the School. The Artist is in the Church. The Teacher is in the Pharmacy. The Nurse is in the Pharmacy. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,0,Library,3,absent,absent,"[-13.707680702209473, -15.831888198852539, -14.230300903320312, -13.269853591918945, -14.817867279052734, -14.106087684631348, -10.432634353637695, -14.435384750366211, -14.890674591064453, -15.18855094909668, -10.807491302490234, -15.754344940185547, -14.711776733398438, -14.928784370422363, -10.361845016479492, -14.938461303710938, -15.765323638916016, -14.45593547821045, -15.500055313110352, -11.66196060180664, -15.597513198852539, -14.653231620788574, -14.760370254516602, -15.122699737548828, -13.068368911743164, -14.445544242858887, -15.062141418457031, -14.320158004760742, -15.565200805664062, -13.094585418701172, -12.946690559387207, -11.331747055053711, -14.261741638183594, -14.838289260864258, -13.113859176635742, -14.229389190673828, -14.803049087524414, -14.837182998657227, -13.47189712524414, -15.282428741455078, -16.077617645263672, -15.871627807617188, -11.429557800292969, -14.708702087402344, -13.198996543884277, -15.756088256835938, -14.795663833618164, -14.170625686645508, -14.204599380493164, -12.006569862365723]"
