Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category,"score (sum, mean, [list)",params,model
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, gun is ",present,absent,gun,1,weapon,"[(-12.2265625, -12.2265625, [-12.2265625]), (-9.96875, -9.96875, [-9.96875]), (-9.859375, -9.859375, [-9.859375]), (-11.6015625, -11.6015625, [-11.6015625]), (-9.640625, -9.640625, [-9.640625]), (-12.8515625, -12.8515625, [-12.8515625]), (-13.578125, -13.578125, [-13.578125]), (-12.328125, -12.328125, [-12.328125]), (-10.84375, -10.84375, [-10.84375]), (-12.796875, -12.796875, [-12.796875]), (-9.65625, -9.65625, [-9.65625]), (-11.8359375, -11.8359375, [-11.8359375]), (-11.640625, -11.640625, [-11.640625]), (-9.890625, -9.890625, [-9.890625]), (-9.21875, -9.21875, [-9.21875]), (-11.9609375, -11.9609375, [-11.9609375]), (-5.5625, -5.5625, [-5.5625]), (-13.46875, -13.46875, [-13.46875]), (-11.203125, -11.203125, [-11.203125]), (-12.34375, -12.34375, [-12.34375]), (-10.703125, -10.703125, [-10.703125]), (-13.234375, -13.234375, [-13.234375]), (-12.328125, -12.328125, [-12.328125]), (-10.765625, -10.765625, [-10.765625]), (-9.59375, -9.59375, [-9.59375]), (-11.328125, -11.328125, [-11.328125]), (-11.8125, -11.8125, [-11.8125]), (-11.625, -11.625, [-11.625]), (-12.984375, -12.984375, [-12.984375]), (-10.875, -10.875, [-10.875]), (-11.6875, -11.6875, [-11.6875]), (-11.9921875, -11.9921875, [-11.9921875]), (-10.2421875, -10.2421875, [-10.2421875]), (-7.453125, -7.453125, [-7.453125]), (-9.515625, -9.515625, [-9.515625]), (-9.4921875, -9.4921875, [-9.4921875]), (-10.5234375, -10.5234375, [-10.5234375]), (-11.0, -11.0, [-11.0]), (-11.34375, -11.34375, [-11.34375]), (-7.1171875, -7.1171875, [-7.1171875]), (-12.7421875, -12.7421875, [-12.7421875]), (-8.5390625, -8.5390625, [-8.5390625]), (-11.578125, -11.578125, [-11.578125]), (-10.5234375, -10.5234375, [-10.5234375]), (-9.984375, -9.984375, [-9.984375]), (-12.15625, -12.15625, [-12.15625]), (-11.9609375, -11.9609375, [-11.9609375]), (-10.6875, -10.6875, [-10.6875]), (-7.48046875, -7.48046875, [-7.48046875]), (-12.359375, -12.359375, [-12.359375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, pistol is ",present,present,pistol,2,weapon,"[(-12.65625, -12.65625, [-12.65625]), (-11.1640625, -11.1640625, [-11.1640625]), (-9.3046875, -9.3046875, [-9.3046875]), (-11.9765625, -11.9765625, [-11.9765625]), (-11.8125, -11.8125, [-11.8125]), (-13.65625, -13.65625, [-13.65625]), (-8.890625, -8.890625, [-8.890625]), (-12.53125, -12.53125, [-12.53125]), (-9.7734375, -9.7734375, [-9.7734375]), (-11.84375, -11.84375, [-11.84375]), (-10.59375, -10.59375, [-10.59375]), (-11.6796875, -11.6796875, [-11.6796875]), (-11.171875, -11.171875, [-11.171875]), (-12.625, -12.625, [-12.625]), (-9.84375, -9.84375, [-9.84375]), (-11.78125, -11.78125, [-11.78125]), (-9.0390625, -9.0390625, [-9.0390625]), (-7.0859375, -7.0859375, [-7.0859375]), (-11.6015625, -11.6015625, [-11.6015625]), (-11.375, -11.375, [-11.375]), (-10.6875, -10.6875, [-10.6875]), (-12.625, -12.625, [-12.625]), (-8.59375, -8.59375, [-8.59375]), (-11.171875, -11.171875, [-11.171875]), (-10.6875, -10.6875, [-10.6875]), (-10.75, -10.75, [-10.75]), (-9.8046875, -9.8046875, [-9.8046875]), (-13.796875, -13.796875, [-13.796875]), (-12.875, -12.875, [-12.875]), (-11.3125, -11.3125, [-11.3125]), (-8.4375, -8.4375, [-8.4375]), (-9.921875, -9.921875, [-9.921875]), (-12.1875, -12.1875, [-12.1875]), (-12.7109375, -12.7109375, [-12.7109375]), (-11.90625, -11.90625, [-11.90625]), (-11.78125, -11.78125, [-11.78125]), (-8.6484375, -8.6484375, [-8.6484375]), (-9.546875, -9.546875, [-9.546875]), (-10.265625, -10.265625, [-10.265625]), (-11.296875, -11.296875, [-11.296875]), (-9.875, -9.875, [-9.875]), (-9.890625, -9.890625, [-9.890625]), (-10.1328125, -10.1328125, [-10.1328125]), (-9.6328125, -9.6328125, [-9.6328125]), (-10.390625, -10.390625, [-10.390625]), (-12.9375, -12.9375, [-12.9375]), (-10.578125, -10.578125, [-10.578125]), (-13.1171875, -13.1171875, [-13.1171875]), (-12.140625, -12.140625, [-12.140625]), (-13.5703125, -13.5703125, [-13.5703125])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, revolver is ",present,absent,revolver,3,weapon,"[(-12.9765625, -12.9765625, [-12.9765625]), (-14.5, -14.5, [-14.5]), (-13.9921875, -13.9921875, [-13.9921875]), (-12.0, -12.0, [-12.0]), (-13.0859375, -13.0859375, [-13.0859375]), (-14.671875, -14.671875, [-14.671875]), (-9.453125, -9.453125, [-9.453125]), (-14.171875, -14.171875, [-14.171875]), (-13.09375, -13.09375, [-13.09375]), (-11.515625, -11.515625, [-11.515625]), (-11.7109375, -11.7109375, [-11.7109375]), (-12.5625, -12.5625, [-12.5625]), (-9.015625, -9.015625, [-9.015625]), (-12.6015625, -12.6015625, [-12.6015625]), (-11.28125, -11.28125, [-11.28125]), (-11.78125, -11.78125, [-11.78125]), (-12.921875, -12.921875, [-12.921875]), (-13.765625, -13.765625, [-13.765625]), (-12.765625, -12.765625, [-12.765625]), (-10.734375, -10.734375, [-10.734375]), (-10.21875, -10.21875, [-10.21875]), (-6.796875, -6.796875, [-6.796875]), (-6.84375, -6.84375, [-6.84375]), (-12.53125, -12.53125, [-12.53125]), (-11.2109375, -11.2109375, [-11.2109375]), (-12.78125, -12.78125, [-12.78125]), (-12.4140625, -12.4140625, [-12.4140625]), (-12.6875, -12.6875, [-12.6875]), (-10.96875, -10.96875, [-10.96875]), (-9.90625, -9.90625, [-9.90625]), (-12.046875, -12.046875, [-12.046875]), (-7.390625, -7.390625, [-7.390625]), (-9.46875, -9.46875, [-9.46875]), (-11.7734375, -11.7734375, [-11.7734375]), (-11.359375, -11.359375, [-11.359375]), (-9.8515625, -9.8515625, [-9.8515625]), (-10.234375, -10.234375, [-10.234375]), (-13.140625, -13.140625, [-13.140625]), (-9.125, -9.125, [-9.125]), (-10.890625, -10.890625, [-10.890625]), (-11.390625, -11.390625, [-11.390625]), (-13.84375, -13.84375, [-13.84375]), (-11.5, -11.5, [-11.5]), (-11.28125, -11.28125, [-11.28125]), (-9.5078125, -9.5078125, [-9.5078125]), (-9.046875, -9.046875, [-9.046875]), (-9.890625, -9.890625, [-9.890625]), (-10.1640625, -10.1640625, [-10.1640625]), (-8.9765625, -8.9765625, [-8.9765625]), (-7.859375, -7.859375, [-7.859375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, machine gun is ",present,absent,machine gun,4,weapon,"[(-12.4140625, -12.4140625, [-12.4140625]), (-13.90625, -13.90625, [-13.90625]), (-9.765625, -9.765625, [-9.765625]), (-9.890625, -9.890625, [-9.890625]), (-5.65625, -5.65625, [-5.65625]), (-8.921875, -8.921875, [-8.921875]), (-9.328125, -9.328125, [-9.328125]), (-12.9296875, -12.9296875, [-12.9296875]), (-4.5, -4.5, [-4.5]), (-11.6953125, -11.6953125, [-11.6953125]), (-11.15625, -11.15625, [-11.15625]), (-10.8359375, -10.8359375, [-10.8359375]), (-10.09375, -10.09375, [-10.09375]), (-11.921875, -11.921875, [-11.921875]), (-16.40625, -16.40625, [-16.40625]), (-8.9609375, -8.9609375, [-8.9609375]), (-11.546875, -11.546875, [-11.546875]), (-9.890625, -9.890625, [-9.890625]), (-11.578125, -11.578125, [-11.578125]), (-11.7890625, -11.7890625, [-11.7890625]), (-10.28125, -10.28125, [-10.28125]), (-10.640625, -10.640625, [-10.640625]), (-8.125, -8.125, [-8.125]), (-11.921875, -11.921875, [-11.921875]), (-9.140625, -9.140625, [-9.140625]), (-9.625, -9.625, [-9.625]), (-11.484375, -11.484375, [-11.484375]), (-12.40625, -12.40625, [-12.40625]), (-3.171875, -3.171875, [-3.171875]), (-12.546875, -12.546875, [-12.546875]), (-11.6640625, -11.6640625, [-11.6640625]), (-10.7421875, -10.7421875, [-10.7421875]), (-12.90625, -12.90625, [-12.90625]), (-10.0, -10.0, [-10.0]), (-9.15625, -9.15625, [-9.15625]), (-12.09375, -12.09375, [-12.09375]), (-12.7578125, -12.7578125, [-12.7578125]), (-10.390625, -10.390625, [-10.390625]), (-4.484375, -4.484375, [-4.484375]), (-11.265625, -11.265625, [-11.265625]), (-12.0859375, -12.0859375, [-12.0859375]), (-14.640625, -14.640625, [-14.640625]), (-8.2734375, -8.2734375, [-8.2734375]), (-13.515625, -13.515625, [-13.515625]), (-13.2265625, -13.2265625, [-13.2265625]), (-11.3984375, -11.3984375, [-11.3984375]), (-10.125, -10.125, [-10.125]), (-9.53125, -9.53125, [-9.53125]), (-11.203125, -11.203125, [-11.203125]), (-12.9375, -12.9375, [-12.9375])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, rifle is ",present,present,rifle,5,weapon,"[(-14.6484375, -14.6484375, [-14.6484375]), (-9.90625, -9.90625, [-9.90625]), (-10.859375, -10.859375, [-10.859375]), (-10.75, -10.75, [-10.75]), (-11.15625, -11.15625, [-11.15625]), (-10.390625, -10.390625, [-10.390625]), (-11.9921875, -11.9921875, [-11.9921875]), (-16.4375, -16.4375, [-16.4375]), (-9.625, -9.625, [-9.625]), (-11.921875, -11.921875, [-11.921875]), (-13.6796875, -13.6796875, [-13.6796875]), (-11.234375, -11.234375, [-11.234375]), (-10.3046875, -10.3046875, [-10.3046875]), (-12.9296875, -12.9296875, [-12.9296875]), (-10.4375, -10.4375, [-10.4375]), (-9.6171875, -9.6171875, [-9.6171875]), (-12.671875, -12.671875, [-12.671875]), (-10.3203125, -10.3203125, [-10.3203125]), (-11.8671875, -11.8671875, [-11.8671875]), (-9.9375, -9.9375, [-9.9375]), (-12.1484375, -12.1484375, [-12.1484375]), (-7.34375, -7.34375, [-7.34375]), (-9.9140625, -9.9140625, [-9.9140625]), (-11.96875, -11.96875, [-11.96875]), (-9.71875, -9.71875, [-9.71875]), (-13.078125, -13.078125, [-13.078125]), (-10.71875, -10.71875, [-10.71875]), (-9.765625, -9.765625, [-9.765625]), (-11.421875, -11.421875, [-11.421875]), (-11.65625, -11.65625, [-11.65625]), (-10.4375, -10.4375, [-10.4375]), (-8.0078125, -8.0078125, [-8.0078125]), (-12.9375, -12.9375, [-12.9375]), (-11.375, -11.375, [-11.375]), (-12.3125, -12.3125, [-12.3125]), (-12.84375, -12.84375, [-12.84375]), (-12.7578125, -12.7578125, [-12.7578125]), (-9.84375, -9.84375, [-9.84375]), (-8.3671875, -8.3671875, [-8.3671875]), (-10.8671875, -10.8671875, [-10.8671875]), (-13.078125, -13.078125, [-13.078125]), (-8.484375, -8.484375, [-8.484375]), (-11.703125, -11.703125, [-11.703125]), (-11.078125, -11.078125, [-11.078125]), (-10.59375, -10.59375, [-10.59375]), (-9.21875, -9.21875, [-9.21875]), (-12.328125, -12.328125, [-12.328125]), (-8.640625, -8.640625, [-8.640625]), (-12.453125, -12.453125, [-12.453125]), (-11.828125, -11.828125, [-11.828125])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, switchblade is ",present,absent,switchblade,6,weapon,"[(-13.1875, -13.1875, [-13.1875]), (-7.296875, -7.296875, [-7.296875]), (-10.421875, -10.421875, [-10.421875]), (-10.828125, -10.828125, [-10.828125]), (-9.890625, -9.890625, [-9.890625]), (-12.7109375, -12.7109375, [-12.7109375]), (-10.34375, -10.34375, [-10.34375]), (-12.609375, -12.609375, [-12.609375]), (-9.140625, -9.140625, [-9.140625]), (-9.515625, -9.515625, [-9.515625]), (-9.2734375, -9.2734375, [-9.2734375]), (-9.171875, -9.171875, [-9.171875]), (-11.0, -11.0, [-11.0]), (-13.1796875, -13.1796875, [-13.1796875]), (-10.5, -10.5, [-10.5]), (-8.7421875, -8.7421875, [-8.7421875]), (-11.296875, -11.296875, [-11.296875]), (-10.7109375, -10.7109375, [-10.7109375]), (-11.765625, -11.765625, [-11.765625]), (-10.171875, -10.171875, [-10.171875]), (-9.7890625, -9.7890625, [-9.7890625]), (-11.234375, -11.234375, [-11.234375]), (-9.2421875, -9.2421875, [-9.2421875]), (-10.953125, -10.953125, [-10.953125]), (-13.546875, -13.546875, [-13.546875]), (-11.703125, -11.703125, [-11.703125]), (-9.2734375, -9.2734375, [-9.2734375]), (-11.7890625, -11.7890625, [-11.7890625]), (-11.8984375, -11.8984375, [-11.8984375]), (-11.046875, -11.046875, [-11.046875]), (-9.7109375, -9.7109375, [-9.7109375]), (-12.0625, -12.0625, [-12.0625]), (-10.46875, -10.46875, [-10.46875]), (-6.171875, -6.171875, [-6.171875]), (-10.75, -10.75, [-10.75]), (-7.9375, -7.9375, [-7.9375]), (-12.484375, -12.484375, [-12.484375]), (-9.2265625, -9.2265625, [-9.2265625]), (-9.3125, -9.3125, [-9.3125]), (-10.6484375, -10.6484375, [-10.6484375]), (-9.296875, -9.296875, [-9.296875]), (-12.203125, -12.203125, [-12.203125]), (-8.2109375, -8.2109375, [-8.2109375]), (-13.265625, -13.265625, [-13.265625]), (-10.859375, -10.859375, [-10.859375]), (-11.234375, -11.234375, [-11.234375]), (-11.0625, -11.0625, [-11.0625]), (-7.91015625, -7.91015625, [-7.91015625]), (-14.34375, -14.34375, [-14.34375]), (-11.8671875, -11.8671875, [-11.8671875])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, knife is ",present,present,knife,7,weapon,"[(-11.703125, -11.703125, [-11.703125]), (-11.8125, -11.8125, [-11.8125]), (-11.5078125, -11.5078125, [-11.5078125]), (-9.828125, -9.828125, [-9.828125]), (-13.796875, -13.796875, [-13.796875]), (-13.5625, -13.5625, [-13.5625]), (-11.609375, -11.609375, [-11.609375]), (-10.46875, -10.46875, [-10.46875]), (-12.828125, -12.828125, [-12.828125]), (-9.8515625, -9.8515625, [-9.8515625]), (-9.296875, -9.296875, [-9.296875]), (-8.890625, -8.890625, [-8.890625]), (-10.84375, -10.84375, [-10.84375]), (-9.234375, -9.234375, [-9.234375]), (-11.484375, -11.484375, [-11.484375]), (-10.703125, -10.703125, [-10.703125]), (-11.1796875, -11.1796875, [-11.1796875]), (-7.90625, -7.90625, [-7.90625]), (-12.3359375, -12.3359375, [-12.3359375]), (-10.453125, -10.453125, [-10.453125]), (-9.609375, -9.609375, [-9.609375]), (-6.9140625, -6.9140625, [-6.9140625]), (-9.5625, -9.5625, [-9.5625]), (-11.15625, -11.15625, [-11.15625]), (-11.734375, -11.734375, [-11.734375]), (-10.28125, -10.28125, [-10.28125]), (-11.2421875, -11.2421875, [-11.2421875]), (-9.34375, -9.34375, [-9.34375]), (-10.703125, -10.703125, [-10.703125]), (-10.8515625, -10.8515625, [-10.8515625]), (-9.796875, -9.796875, [-9.796875]), (-11.1484375, -11.1484375, [-11.1484375]), (-12.3125, -12.3125, [-12.3125]), (-9.8671875, -9.8671875, [-9.8671875]), (-8.5703125, -8.5703125, [-8.5703125]), (-11.3359375, -11.3359375, [-11.3359375]), (-12.5703125, -12.5703125, [-12.5703125]), (-10.8125, -10.8125, [-10.8125]), (-11.140625, -11.140625, [-11.140625]), (-12.5, -12.5, [-12.5]), (-11.4609375, -11.4609375, [-11.4609375]), (-13.640625, -13.640625, [-13.640625]), (-12.2890625, -12.2890625, [-12.2890625]), (-11.703125, -11.703125, [-11.703125]), (-12.328125, -12.328125, [-12.328125]), (-11.609375, -11.609375, [-11.609375]), (-9.0703125, -9.0703125, [-9.0703125]), (-15.4375, -15.4375, [-15.4375]), (-8.9609375, -8.9609375, [-8.9609375]), (-10.5, -10.5, [-10.5])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, dagger is ",present,absent,dagger,8,weapon,"[(-16.671875, -16.671875, [-16.671875]), (-10.03125, -10.03125, [-10.03125]), (-11.84375, -11.84375, [-11.84375]), (-7.30859375, -7.30859375, [-7.30859375]), (-10.890625, -10.890625, [-10.890625]), (-11.0859375, -11.0859375, [-11.0859375]), (-7.359375, -7.359375, [-7.359375]), (-11.328125, -11.328125, [-11.328125]), (-12.3046875, -12.3046875, [-12.3046875]), (-14.703125, -14.703125, [-14.703125]), (-10.203125, -10.203125, [-10.203125]), (-12.3125, -12.3125, [-12.3125]), (-11.25, -11.25, [-11.25]), (-8.921875, -8.921875, [-8.921875]), (-9.7578125, -9.7578125, [-9.7578125]), (-15.5625, -15.5625, [-15.5625]), (-10.421875, -10.421875, [-10.421875]), (-9.953125, -9.953125, [-9.953125]), (-7.77734375, -7.77734375, [-7.77734375]), (-8.375, -8.375, [-8.375]), (-9.109375, -9.109375, [-9.109375]), (-11.7265625, -11.7265625, [-11.7265625]), (-13.6015625, -13.6015625, [-13.6015625]), (-12.21875, -12.21875, [-12.21875]), (-12.0703125, -12.0703125, [-12.0703125]), (-8.5546875, -8.5546875, [-8.5546875]), (-14.765625, -14.765625, [-14.765625]), (-11.90625, -11.90625, [-11.90625]), (-9.8125, -9.8125, [-9.8125]), (-12.1015625, -12.1015625, [-12.1015625]), (-10.6953125, -10.6953125, [-10.6953125]), (-8.875, -8.875, [-8.875]), (-11.4375, -11.4375, [-11.4375]), (-10.125, -10.125, [-10.125]), (-11.828125, -11.828125, [-11.828125]), (-10.2890625, -10.2890625, [-10.2890625]), (-11.109375, -11.109375, [-11.109375]), (-11.984375, -11.984375, [-11.984375]), (-11.7734375, -11.7734375, [-11.7734375]), (-9.28125, -9.28125, [-9.28125]), (-10.6171875, -10.6171875, [-10.6171875]), (-9.1640625, -9.1640625, [-9.1640625]), (-7.62890625, -7.62890625, [-7.62890625]), (-12.2421875, -12.2421875, [-12.2421875]), (-10.9375, -10.9375, [-10.9375]), (-12.1015625, -12.1015625, [-12.1015625]), (-10.7421875, -10.7421875, [-10.7421875]), (-11.03125, -11.03125, [-11.03125]), (-10.0625, -10.0625, [-10.0625]), (-9.5, -9.5, [-9.5])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, shotgun is ",present,absent,shotgun,9,weapon,"[(-8.390625, -8.390625, [-8.390625]), (-10.609375, -10.609375, [-10.609375]), (-10.15625, -10.15625, [-10.15625]), (-12.90625, -12.90625, [-12.90625]), (-8.9765625, -8.9765625, [-8.9765625]), (-11.1796875, -11.1796875, [-11.1796875]), (-3.8515625, -3.8515625, [-3.8515625]), (-9.5, -9.5, [-9.5]), (-11.9765625, -11.9765625, [-11.9765625]), (-11.078125, -11.078125, [-11.078125]), (-11.2421875, -11.2421875, [-11.2421875]), (-13.7421875, -13.7421875, [-13.7421875]), (-13.734375, -13.734375, [-13.734375]), (-12.21875, -12.21875, [-12.21875]), (-10.421875, -10.421875, [-10.421875]), (-10.09375, -10.09375, [-10.09375]), (-13.0390625, -13.0390625, [-13.0390625]), (-13.15625, -13.15625, [-13.15625]), (-10.140625, -10.140625, [-10.140625]), (-10.40625, -10.40625, [-10.40625]), (-10.328125, -10.328125, [-10.328125]), (-5.6328125, -5.6328125, [-5.6328125]), (-11.96875, -11.96875, [-11.96875]), (-7.8984375, -7.8984375, [-7.8984375]), (-14.4765625, -14.4765625, [-14.4765625]), (-12.859375, -12.859375, [-12.859375]), (-11.2265625, -11.2265625, [-11.2265625]), (-10.21875, -10.21875, [-10.21875]), (-12.34375, -12.34375, [-12.34375]), (-8.765625, -8.765625, [-8.765625]), (-8.953125, -8.953125, [-8.953125]), (-12.046875, -12.046875, [-12.046875]), (-12.84375, -12.84375, [-12.84375]), (-10.640625, -10.640625, [-10.640625]), (-9.7265625, -9.7265625, [-9.7265625]), (-12.65625, -12.65625, [-12.65625]), (-6.6171875, -6.6171875, [-6.6171875]), (-13.828125, -13.828125, [-13.828125]), (-11.4375, -11.4375, [-11.4375]), (-12.84375, -12.84375, [-12.84375]), (-10.71875, -10.71875, [-10.71875]), (-13.375, -13.375, [-13.375]), (-12.125, -12.125, [-12.125]), (-13.71875, -13.71875, [-13.71875]), (-9.265625, -9.265625, [-9.265625]), (-13.328125, -13.328125, [-13.328125]), (-10.6953125, -10.6953125, [-10.6953125]), (-11.15625, -11.15625, [-11.15625]), (-8.28125, -8.28125, [-8.28125]), (-12.203125, -12.203125, [-12.203125])]",124697433,FacebookAI_roberta-base
1,"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: pistol, rifle, hatchet, lance, crossbow, ice pick, stone, rock, bazooka, word, bow, slingshot, missile, arrow, judo, foot, hammer, tank, bayonet, knife, mortar, axe, sword, shoe, blackjack, poison, razor blade, bullet, Atom bomb, whip, airplane. According to the list, crossbow is present. According to the list, machete is absent. According to the list, sword is ",present,present,sword,10,weapon,"[(-7.57421875, -7.57421875, [-7.57421875]), (-9.390625, -9.390625, [-9.390625]), (-11.21875, -11.21875, [-11.21875]), (-9.2421875, -9.2421875, [-9.2421875]), (-10.0625, -10.0625, [-10.0625]), (-10.03125, -10.03125, [-10.03125]), (-10.15625, -10.15625, [-10.15625]), (-11.515625, -11.515625, [-11.515625]), (-10.609375, -10.609375, [-10.609375]), (-11.46875, -11.46875, [-11.46875]), (-12.96875, -12.96875, [-12.96875]), (-12.921875, -12.921875, [-12.921875]), (-11.078125, -11.078125, [-11.078125]), (-6.0546875, -6.0546875, [-6.0546875]), (-9.46875, -9.46875, [-9.46875]), (-11.359375, -11.359375, [-11.359375]), (-15.109375, -15.109375, [-15.109375]), (-10.34375, -10.34375, [-10.34375]), (-10.640625, -10.640625, [-10.640625]), (-10.703125, -10.703125, [-10.703125]), (-9.65625, -9.65625, [-9.65625]), (-11.125, -11.125, [-11.125]), (-11.625, -11.625, [-11.625]), (-10.15625, -10.15625, [-10.15625]), (-13.2578125, -13.2578125, [-13.2578125]), (-12.765625, -12.765625, [-12.765625]), (-10.2421875, -10.2421875, [-10.2421875]), (-13.0390625, -13.0390625, [-13.0390625]), (-8.09375, -8.09375, [-8.09375]), (-12.796875, -12.796875, [-12.796875]), (-9.03125, -9.03125, [-9.03125]), (-12.171875, -12.171875, [-12.171875]), (-12.3359375, -12.3359375, [-12.3359375]), (-8.109375, -8.109375, [-8.109375]), (-9.96875, -9.96875, [-9.96875]), (-11.59375, -11.59375, [-11.59375]), (-11.796875, -11.796875, [-11.796875]), (-11.21875, -11.21875, [-11.21875]), (-9.3671875, -9.3671875, [-9.3671875]), (-7.81640625, -7.81640625, [-7.81640625]), (-10.4375, -10.4375, [-10.4375]), (-8.84375, -8.84375, [-8.84375]), (-10.1640625, -10.1640625, [-10.1640625]), (-9.5546875, -9.5546875, [-9.5546875]), (-3.2890625, -3.2890625, [-3.2890625]), (-12.53125, -12.53125, [-12.53125]), (-13.03125, -13.03125, [-13.03125]), (-11.375, -11.375, [-11.375]), (-9.0546875, -9.0546875, [-9.0546875]), (-11.21875, -11.21875, [-11.21875])]",124697433,FacebookAI_roberta-base
