Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category,stimulus_prob
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,1,Hospital,0,absent,absent,"[-15.886453628540039, -15.55874252319336, -15.481882095336914, -15.514775276184082, -14.531807899475098, -15.08311653137207, -16.884193420410156, -15.868526458740234, -14.228630065917969, -16.817630767822266, -15.909736633300781, -15.400657653808594, -17.589717864990234, -15.108059883117676, -14.538647651672363, -16.952823638916016, -14.876558303833008, -15.108489990234375, -15.041973114013672, -14.801101684570312, -15.196602821350098, -15.987160682678223, -16.265356063842773, -18.381351470947266, -16.477930068969727, -15.327091217041016, -16.36922836303711, -16.07848358154297, -15.410196304321289, -15.420082092285156, -16.822052001953125, -15.57982349395752, -15.865326881408691, -13.821895599365234, -15.398710250854492, -16.660781860351562, -14.392714500427246, -15.553133010864258, -14.494207382202148, -15.76640510559082, -18.025609970092773, -15.76247787475586, -16.518280029296875, -15.654218673706055, -15.385459899902344, -13.754942893981934, -15.985067367553711, -15.924421310424805, -16.256572723388672, -17.564498901367188]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,1,Park,1,absent,absent,"[-17.730850219726562, -16.68701934814453, -16.133472442626953, -14.038472175598145, -15.89503288269043, -15.586889266967773, -17.112728118896484, -15.607759475708008, -16.001541137695312, -16.598543167114258, -18.570890426635742, -14.462329864501953, -16.655858993530273, -15.677627563476562, -14.54333782196045, -16.068681716918945, -16.329557418823242, -16.338115692138672, -15.99740219116211, -16.854511260986328, -17.344573974609375, -12.915336608886719, -16.771018981933594, -15.393770217895508, -15.856893539428711, -11.525115013122559, -16.81791114807129, -17.08403778076172, -16.825551986694336, -16.019596099853516, -17.573169708251953, -18.534637451171875, -16.25106430053711, -18.163623809814453, -15.982677459716797, -16.21536636352539, -16.974533081054688, -14.20011043548584, -15.285771369934082, -16.972856521606445, -15.596589088439941, -16.462947845458984, -15.466415405273438, -15.354671478271484, -14.076738357543945, -16.70305633544922, -16.37061309814453, -16.940044403076172, -18.055496215820312, -13.396339416503906]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,1,Farm,0,absent,absent,"[-15.497848510742188, -14.784455299377441, -16.626909255981445, -16.510826110839844, -16.153989791870117, -15.967192649841309, -19.464439392089844, -14.808734893798828, -16.400466918945312, -17.224397659301758, -14.921527862548828, -16.29098129272461, -16.889488220214844, -17.11221694946289, -17.168020248413086, -16.408954620361328, -16.836050033569336, -14.899380683898926, -16.13131332397461, -17.568498611450195, -17.248950958251953, -15.180179595947266, -14.906794548034668, -17.23533058166504, -18.28148078918457, -15.110549926757812, -14.801679611206055, -16.42604637145996, -16.119001388549805, -16.700389862060547, -14.406307220458984, -14.758391380310059, -16.56948471069336, -17.54983139038086, -16.28226661682129, -15.378196716308594, -17.980667114257812, -16.61204719543457, -17.588327407836914, -17.9705810546875, -16.451004028320312, -17.6881103515625, -17.3625545501709, -16.21926498413086, -15.986137390136719, -15.257596015930176, -16.548809051513672, -15.397323608398438, -16.700515747070312, -14.673954963684082]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,1,Church,2,absent,absent,"[-14.312061309814453, -14.14529037475586, -16.34424591064453, -15.57209587097168, -16.210046768188477, -16.63018226623535, -15.42739486694336, -14.559305191040039, -16.63671875, -15.83808708190918, -16.350393295288086, -15.60677719116211, -14.094858169555664, -14.983490943908691, -14.874045372009277, -16.468280792236328, -15.829950332641602, -16.670021057128906, -17.48427391052246, -16.092639923095703, -16.443679809570312, -15.699651718139648, -16.344680786132812, -15.038511276245117, -16.49077606201172, -19.602712631225586, -17.9974365234375, -15.050411224365234, -16.167211532592773, -14.005701065063477, -16.99955177307129, -16.63933563232422, -15.142335891723633, -15.221948623657227, -14.068153381347656, -16.152908325195312, -14.728915214538574, -14.67731761932373, -16.706396102905273, -14.9330415725708, -15.295202255249023, -14.470479011535645, -15.254049301147461, -14.048404693603516, -14.98238754272461, -17.09522819519043, -15.872749328613281, -15.14668083190918, -14.686605453491211, -16.202308654785156]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,1,School,3,absent,absent,"[-15.08431339263916, -15.991605758666992, -13.665279388427734, -15.549015045166016, -15.289417266845703, -13.181551933288574, -12.925143241882324, -15.816553115844727, -12.71084213256836, -15.563039779663086, -15.06672477722168, -14.692439079284668, -14.235528945922852, -14.736095428466797, -14.75838565826416, -15.570780754089355, -14.003204345703125, -13.663619995117188, -15.965511322021484, -14.972566604614258, -14.67345142364502, -13.57354736328125, -13.300107955932617, -13.909841537475586, -14.90017318725586, -14.974458694458008, -14.069299697875977, -13.28331184387207, -15.422735214233398, -13.701957702636719, -15.539074897766113, -14.736846923828125, -14.062845230102539, -17.411041259765625, -16.085296630859375, -14.655607223510742, -14.74083137512207, -15.010374069213867, -12.962876319885254, -15.234959602355957, -13.178702354431152, -15.08835220336914, -13.650740623474121, -14.936159133911133, -14.094282150268555, -22.656780242919922, -15.922940254211426, -15.791250228881836, -14.495902061462402, -15.64802074432373]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,1,Bank,1,absent,absent,"[-15.653915405273438, -14.657721519470215, -13.501882553100586, -14.822851181030273, -16.0648250579834, -15.108579635620117, -16.0765323638916, -15.363058090209961, -15.709304809570312, -16.59351348876953, -16.194793701171875, -14.98788070678711, -15.986509323120117, -16.712352752685547, -14.086511611938477, -13.008588790893555, -14.663862228393555, -14.690797805786133, -24.10422706604004, -14.571958541870117, -14.853994369506836, -15.449288368225098, -16.34097671508789, -12.96960163116455, -15.09864616394043, -13.364350318908691, -15.876275062561035, -16.497798919677734, -15.628647804260254, -14.90949535369873, -14.964311599731445, -15.783740043640137, -14.687867164611816, -15.859626770019531, -15.09109115600586, -14.176714897155762, -16.879697799682617, -13.279879570007324, -11.75836181640625, -17.120872497558594, -15.521832466125488, -16.27958106994629, -16.28165626525879, -14.580301284790039, -15.484451293945312, -16.307422637939453, -15.304765701293945, -15.899406433105469, -16.104337692260742, -16.62602996826172]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,1,Hotel,1,absent,absent,"[-15.526206970214844, -12.623929023742676, -15.93763542175293, -15.446125984191895, -14.986981391906738, -16.200550079345703, -15.167737007141113, -14.635936737060547, -14.02927017211914, -16.780805587768555, -14.190731048583984, -17.6300106048584, -15.936931610107422, -15.330327987670898, -13.756102561950684, -15.206270217895508, -16.642292022705078, -14.35249137878418, -17.017921447753906, -15.64267349243164, -13.29326343536377, -14.195745468139648, -15.839214324951172, -13.5900239944458, -17.73133659362793, -14.253448486328125, -14.961480140686035, -15.035476684570312, -15.742883682250977, -14.102029800415039, -14.845803260803223, -15.41577434539795, -15.437349319458008, -15.822311401367188, -17.649322509765625, -15.677932739257812, -15.680633544921875, -15.877318382263184, -15.041927337646484, -17.181913375854492, -15.103578567504883, -16.32232093811035, -15.138742446899414, -15.953594207763672, -16.894947052001953, -15.293807983398438, -15.332002639770508, -15.925567626953125, -18.204042434692383, -15.702062606811523]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,1,Restaurant,0,absent,absent,"[-10.63096809387207, -9.32375717163086, -11.83782958984375, -10.72153091430664, -10.42885971069336, -10.665584564208984, -11.900562286376953, -10.690044403076172, -12.243429183959961, -11.586662292480469, -10.704273223876953, -13.115554809570312, -11.010541915893555, -10.92474365234375, -9.112470626831055, -11.882108688354492, -11.446624755859375, -9.901262283325195, -11.792030334472656, -10.136215209960938, -11.096572875976562, -12.623159408569336, -11.536275863647461, -9.031705856323242, -12.637086868286133, -10.99007797241211, -14.067121505737305, -12.359973907470703, -10.564874649047852, -12.292848587036133, -14.018259048461914, -11.981975555419922, -11.356046676635742, -11.582639694213867, -12.778982162475586, -11.983148574829102, -10.385009765625, -12.033161163330078, -11.377130508422852, -11.865060806274414, -11.914094924926758, -8.566246032714844, -11.767074584960938, -11.821958541870117, -11.083507537841797, -18.391441345214844, -12.232355117797852, -12.089160919189453, -9.769205093383789, -9.598640441894531]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,1,Construction Site,0,absent,absent,"[-9.675544738769531, -15.973868370056152, -10.807043075561523, -11.66732406616211, -12.583791732788086, -10.346607208251953, -11.914072036743164, -12.002033233642578, -15.462129592895508, -11.01957893371582, -11.246038436889648, -10.90152359008789, -7.5236616134643555, -10.351980209350586, -10.917440414428711, -9.1199951171875, -10.814456939697266, -11.270101547241211, -11.005743026733398, -10.970237731933594, -8.557821273803711, -10.864334106445312, -8.445198059082031, -11.191242218017578, -10.278165817260742, -11.349235534667969, -11.91336441040039, -12.001848220825195, -10.893190383911133, -12.416328430175781, -11.26961898803711, -12.301504135131836, -26.039127349853516, -11.402151107788086, -9.35519790649414, -10.590150833129883, -11.18386459350586, -12.113658905029297, -18.86691665649414, -12.635507583618164, -10.639795303344727, -11.840688705444336, -10.287946701049805, -10.885154724121094, -10.258174896240234, -12.241470336914062, -11.243698120117188, -11.011478424072266, -9.350778579711914, -10.838985443115234]"
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Nurse is in the Studio. The Nurse is in the University. The Police Officer is in the Bank. The Programmer is in the Laboratory. The Architect is in the School. The Engineer is in the Pharmacy. The Pastor is in the University. The Doctor is in the Agency. The Builder is in the Church. The Chef is in the Church. The Lawyer is in the Clinic. The Electrician is in the Clinic. The Clerk is in the Library. The Librarian is in the Factory. The Engineer is in the Park. The Psychologist is in the Police Station. The Librarian is in the Pharmacy. The Librarian is in the Library. The Police Officer is in the Courthouse. The Journalist is in the Pharmacy. The Builder is in the Office Building. The Pharmacist is in the Courthouse. The Lawyer is in the Hotel. The Electrician is in the School. The Police Officer is in the University. The Lawyer is in the School. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,1,Library,2,absent,absent,"[-15.150813102722168, -15.300731658935547, -14.02496337890625, -15.588556289672852, -15.93813705444336, -14.388150215148926, -15.698369979858398, -15.265443801879883, -13.416688919067383, -13.575804710388184, -15.888984680175781, -15.739158630371094, -15.498420715332031, -14.685344696044922, -14.766533851623535, -15.221641540527344, -16.808687210083008, -15.369197845458984, -16.42873191833496, -14.895063400268555, -14.246147155761719, -15.379541397094727, -16.783832550048828, -14.497758865356445, -15.199920654296875, -16.402246475219727, -15.65142822265625, -15.724831581115723, -16.118328094482422, -14.871648788452148, -16.634904861450195, -13.90858268737793, -16.00015640258789, -14.912405014038086, -15.03604507446289, -14.325504302978516, -21.337522506713867, -14.883247375488281, -15.801971435546875, -16.08219337463379, -14.63027572631836, -17.31802749633789, -15.381508827209473, -15.242155075073242, -13.641345977783203, -16.014869689941406, -14.125226974487305, -15.931356430053711, -15.018888473510742, -14.719881057739258]"
