Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category,"score (sum, mean, [list)",params,model
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, pant is ",present,present,pant,1,clothing,"[(-13.59375, -13.59375, [-13.59375]), (-11.71875, -11.71875, [-11.71875]), (-11.015625, -11.015625, [-11.015625]), (-13.15625, -13.15625, [-13.15625]), (-11.71875, -11.71875, [-11.71875]), (-14.9375, -14.9375, [-14.9375]), (-13.21875, -13.21875, [-13.21875]), (-15.03125, -15.03125, [-15.03125]), (-12.3125, -12.3125, [-12.3125]), (-13.03125, -13.03125, [-13.03125]), (-15.15625, -15.15625, [-15.15625]), (-13.71875, -13.71875, [-13.71875]), (-11.03125, -11.03125, [-11.03125]), (-13.375, -13.375, [-13.375]), (-14.1875, -14.1875, [-14.1875]), (-10.34375, -10.34375, [-10.34375]), (-14.375, -14.375, [-14.375]), (-12.78125, -12.78125, [-12.78125]), (-13.03125, -13.03125, [-13.03125]), (-11.421875, -11.421875, [-11.421875]), (-11.15625, -11.15625, [-11.15625]), (-12.875, -12.875, [-12.875]), (-13.59375, -13.59375, [-13.59375]), (-11.0, -11.0, [-11.0]), (-12.21875, -12.21875, [-12.21875]), (-13.5, -13.5, [-13.5]), (-11.90625, -11.90625, [-11.90625]), (-12.5625, -12.5625, [-12.5625]), (-12.125, -12.125, [-12.125]), (-9.84375, -9.84375, [-9.84375]), (-13.40625, -13.40625, [-13.40625]), (-11.40625, -11.40625, [-11.40625]), (-12.9375, -12.9375, [-12.9375]), (-14.46875, -14.46875, [-14.46875]), (-13.75, -13.75, [-13.75]), (-15.09375, -15.09375, [-15.09375]), (-10.84375, -10.84375, [-10.84375]), (-15.4375, -15.4375, [-15.4375]), (-13.15625, -13.15625, [-13.15625]), (-12.875, -12.875, [-12.875]), (-15.0, -15.0, [-15.0]), (-13.71875, -13.71875, [-13.71875]), (-11.25, -11.25, [-11.25]), (-12.875, -12.875, [-12.875]), (-12.46875, -12.46875, [-12.46875]), (-12.8125, -12.8125, [-12.8125]), (-8.296875, -8.296875, [-8.296875]), (-12.96875, -12.96875, [-12.96875]), (-10.8125, -10.8125, [-10.8125]), (-12.84375, -12.84375, [-12.84375])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, shirt is ",present,present,shirt,2,clothing,"[(-13.40625, -13.40625, [-13.40625]), (-11.96875, -11.96875, [-11.96875]), (-15.46875, -15.46875, [-15.46875]), (-13.0625, -13.0625, [-13.0625]), (-14.4375, -14.4375, [-14.4375]), (-13.9375, -13.9375, [-13.9375]), (-11.6875, -11.6875, [-11.6875]), (-11.5, -11.5, [-11.5]), (-13.03125, -13.03125, [-13.03125]), (-13.28125, -13.28125, [-13.28125]), (-10.34375, -10.34375, [-10.34375]), (-13.03125, -13.03125, [-13.03125]), (-14.15625, -14.15625, [-14.15625]), (-11.5625, -11.5625, [-11.5625]), (-12.75, -12.75, [-12.75]), (-13.6875, -13.6875, [-13.6875]), (-12.03125, -12.03125, [-12.03125]), (-13.71875, -13.71875, [-13.71875]), (-13.59375, -13.59375, [-13.59375]), (-11.21875, -11.21875, [-11.21875]), (-11.5625, -11.5625, [-11.5625]), (-14.40625, -14.40625, [-14.40625]), (-12.59375, -12.59375, [-12.59375]), (-15.125, -15.125, [-15.125]), (-10.75, -10.75, [-10.75]), (-14.8125, -14.8125, [-14.8125]), (-12.9375, -12.9375, [-12.9375]), (-14.15625, -14.15625, [-14.15625]), (-13.9375, -13.9375, [-13.9375]), (-14.25, -14.25, [-14.25]), (-11.25, -11.25, [-11.25]), (-12.3125, -12.3125, [-12.3125]), (-13.78125, -13.78125, [-13.78125]), (-12.6875, -12.6875, [-12.6875]), (-13.21875, -13.21875, [-13.21875]), (-10.09375, -10.09375, [-10.09375]), (-14.78125, -14.78125, [-14.78125]), (-12.625, -12.625, [-12.625]), (-14.15625, -14.15625, [-14.15625]), (-12.5625, -12.5625, [-12.5625]), (-11.5, -11.5, [-11.5]), (-11.28125, -11.28125, [-11.28125]), (-13.6875, -13.6875, [-13.6875]), (-13.53125, -13.53125, [-13.53125]), (-15.53125, -15.53125, [-15.53125]), (-15.375, -15.375, [-15.375]), (-12.5, -12.5, [-12.5]), (-15.4375, -15.4375, [-15.4375]), (-11.75, -11.75, [-11.75]), (-13.59375, -13.59375, [-13.59375])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, dress is ",present,present,dress,3,clothing,"[(-11.9375, -11.9375, [-11.9375]), (-10.8125, -10.8125, [-10.8125]), (-14.3125, -14.3125, [-14.3125]), (-10.46875, -10.46875, [-10.46875]), (-13.15625, -13.15625, [-13.15625]), (-13.78125, -13.78125, [-13.78125]), (-15.734375, -15.734375, [-15.734375]), (-14.84375, -14.84375, [-14.84375]), (-12.84375, -12.84375, [-12.84375]), (-13.375, -13.375, [-13.375]), (-11.03125, -11.03125, [-11.03125]), (-14.5625, -14.5625, [-14.5625]), (-14.0625, -14.0625, [-14.0625]), (-13.5, -13.5, [-13.5]), (-14.84375, -14.84375, [-14.84375]), (-14.375, -14.375, [-14.375]), (-13.15625, -13.15625, [-13.15625]), (-12.0625, -12.0625, [-12.0625]), (-11.0, -11.0, [-11.0]), (-11.9375, -11.9375, [-11.9375]), (-13.0625, -13.0625, [-13.0625]), (-13.25, -13.25, [-13.25]), (-13.4375, -13.4375, [-13.4375]), (-13.8125, -13.8125, [-13.8125]), (-13.703125, -13.703125, [-13.703125]), (-13.53125, -13.53125, [-13.53125]), (-14.90625, -14.90625, [-14.90625]), (-13.71875, -13.71875, [-13.71875]), (-15.09375, -15.09375, [-15.09375]), (-15.84375, -15.84375, [-15.84375]), (-13.8125, -13.8125, [-13.8125]), (-15.296875, -15.296875, [-15.296875]), (-13.28125, -13.28125, [-13.28125]), (-15.453125, -15.453125, [-15.453125]), (-12.1875, -12.1875, [-12.1875]), (-11.5625, -11.5625, [-11.5625]), (-12.25, -12.25, [-12.25]), (-14.125, -14.125, [-14.125]), (-15.3125, -15.3125, [-15.3125]), (-13.1875, -13.1875, [-13.1875]), (-10.5, -10.5, [-10.5]), (-11.90625, -11.90625, [-11.90625]), (-14.1875, -14.1875, [-14.1875]), (-12.125, -12.125, [-12.125]), (-12.28125, -12.28125, [-12.28125]), (-12.46875, -12.46875, [-12.46875]), (-12.0625, -12.0625, [-12.0625]), (-12.125, -12.125, [-12.125]), (-16.875, -16.875, [-16.875]), (-13.59375, -13.59375, [-13.59375])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, skirt is ",present,present,skirt,4,clothing,"[(-13.9375, -13.9375, [-13.9375]), (-13.71875, -13.71875, [-13.71875]), (-10.90625, -10.90625, [-10.90625]), (-14.0, -14.0, [-14.0]), (-12.078125, -12.078125, [-12.078125]), (-12.09375, -12.09375, [-12.09375]), (-12.3125, -12.3125, [-12.3125]), (-13.8125, -13.8125, [-13.8125]), (-16.4375, -16.4375, [-16.4375]), (-10.71875, -10.71875, [-10.71875]), (-15.0, -15.0, [-15.0]), (-11.0625, -11.0625, [-11.0625]), (-14.28125, -14.28125, [-14.28125]), (-13.5, -13.5, [-13.5]), (-11.78125, -11.78125, [-11.78125]), (-13.34375, -13.34375, [-13.34375]), (-13.78125, -13.78125, [-13.78125]), (-11.8125, -11.8125, [-11.8125]), (-11.3125, -11.3125, [-11.3125]), (-14.625, -14.625, [-14.625]), (-12.1875, -12.1875, [-12.1875]), (-12.53125, -12.53125, [-12.53125]), (-11.8125, -11.8125, [-11.8125]), (-15.0, -15.0, [-15.0]), (-11.59375, -11.59375, [-11.59375]), (-13.40625, -13.40625, [-13.40625]), (-13.84375, -13.84375, [-13.84375]), (-13.34375, -13.34375, [-13.34375]), (-12.78125, -12.78125, [-12.78125]), (-13.59375, -13.59375, [-13.59375]), (-13.28125, -13.28125, [-13.28125]), (-14.84375, -14.84375, [-14.84375]), (-12.90625, -12.90625, [-12.90625]), (-14.75, -14.75, [-14.75]), (-14.46875, -14.46875, [-14.46875]), (-11.09375, -11.09375, [-11.09375]), (-16.375, -16.375, [-16.375]), (-12.65625, -12.65625, [-12.65625]), (-11.96875, -11.96875, [-11.96875]), (-11.625, -11.625, [-11.625]), (-11.59375, -11.59375, [-11.59375]), (-12.96875, -12.96875, [-12.96875]), (-17.34375, -17.34375, [-17.34375]), (-13.8125, -13.8125, [-13.8125]), (-15.125, -15.125, [-15.125]), (-11.46875, -11.46875, [-11.46875]), (-14.3125, -14.3125, [-14.3125]), (-10.0625, -10.0625, [-10.0625]), (-13.46875, -13.46875, [-13.46875]), (-12.34375, -12.34375, [-12.34375])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, blouse is ",present,absent,blouse,5,clothing,"[(-12.28125, -12.28125, [-12.28125]), (-14.625, -14.625, [-14.625]), (-15.8125, -15.8125, [-15.8125]), (-14.71875, -14.71875, [-14.71875]), (-13.15625, -13.15625, [-13.15625]), (-14.3125, -14.3125, [-14.3125]), (-14.1875, -14.1875, [-14.1875]), (-13.09375, -13.09375, [-13.09375]), (-14.375, -14.375, [-14.375]), (-11.21875, -11.21875, [-11.21875]), (-12.8125, -12.8125, [-12.8125]), (-11.5625, -11.5625, [-11.5625]), (-13.25, -13.25, [-13.25]), (-14.53125, -14.53125, [-14.53125]), (-13.265625, -13.265625, [-13.265625]), (-13.59375, -13.59375, [-13.59375]), (-13.96875, -13.96875, [-13.96875]), (-12.9375, -12.9375, [-12.9375]), (-11.28125, -11.28125, [-11.28125]), (-14.21875, -14.21875, [-14.21875]), (-11.125, -11.125, [-11.125]), (-13.71875, -13.71875, [-13.71875]), (-15.09375, -15.09375, [-15.09375]), (-14.09375, -14.09375, [-14.09375]), (-13.3125, -13.3125, [-13.3125]), (-12.515625, -12.515625, [-12.515625]), (-15.46875, -15.46875, [-15.46875]), (-13.46875, -13.46875, [-13.46875]), (-16.28125, -16.28125, [-16.28125]), (-12.78125, -12.78125, [-12.78125]), (-13.078125, -13.078125, [-13.078125]), (-13.40625, -13.40625, [-13.40625]), (-12.40625, -12.40625, [-12.40625]), (-14.875, -14.875, [-14.875]), (-13.375, -13.375, [-13.375]), (-13.0, -13.0, [-13.0]), (-16.15625, -16.15625, [-16.15625]), (-14.4375, -14.4375, [-14.4375]), (-15.75, -15.75, [-15.75]), (-15.125, -15.125, [-15.125]), (-13.125, -13.125, [-13.125]), (-15.96875, -15.96875, [-15.96875]), (-16.90625, -16.90625, [-16.90625]), (-15.375, -15.375, [-15.375]), (-13.65625, -13.65625, [-13.65625]), (-12.15625, -12.15625, [-12.15625]), (-13.28125, -13.28125, [-13.28125]), (-11.28125, -11.28125, [-11.28125]), (-12.8125, -12.8125, [-12.8125]), (-11.59375, -11.59375, [-11.59375])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, suit is ",present,absent,suit,6,clothing,"[(-11.65625, -11.65625, [-11.65625]), (-14.6875, -14.6875, [-14.6875]), (-10.640625, -10.640625, [-10.640625]), (-13.265625, -13.265625, [-13.265625]), (-15.375, -15.375, [-15.375]), (-12.8125, -12.8125, [-12.8125]), (-11.8125, -11.8125, [-11.8125]), (-10.0, -10.0, [-10.0]), (-14.15625, -14.15625, [-14.15625]), (-13.90625, -13.90625, [-13.90625]), (-14.65625, -14.65625, [-14.65625]), (-15.53125, -15.53125, [-15.53125]), (-13.328125, -13.328125, [-13.328125]), (-12.875, -12.875, [-12.875]), (-11.59375, -11.59375, [-11.59375]), (-15.0625, -15.0625, [-15.0625]), (-14.84375, -14.84375, [-14.84375]), (-15.5, -15.5, [-15.5]), (-12.5, -12.5, [-12.5]), (-11.28125, -11.28125, [-11.28125]), (-12.25, -12.25, [-12.25]), (-13.96875, -13.96875, [-13.96875]), (-16.53125, -16.53125, [-16.53125]), (-14.75, -14.75, [-14.75]), (-12.84375, -12.84375, [-12.84375]), (-12.90625, -12.90625, [-12.90625]), (-13.15625, -13.15625, [-13.15625]), (-11.03125, -11.03125, [-11.03125]), (-12.6875, -12.6875, [-12.6875]), (-12.765625, -12.765625, [-12.765625]), (-15.71875, -15.71875, [-15.71875]), (-13.0, -13.0, [-13.0]), (-12.65625, -12.65625, [-12.65625]), (-12.5, -12.5, [-12.5]), (-13.65625, -13.65625, [-13.65625]), (-11.625, -11.625, [-11.625]), (-12.15625, -12.15625, [-12.15625]), (-14.828125, -14.828125, [-14.828125]), (-10.21875, -10.21875, [-10.21875]), (-13.5, -13.5, [-13.5]), (-14.28125, -14.28125, [-14.28125]), (-11.65625, -11.65625, [-11.65625]), (-15.9375, -15.9375, [-15.9375]), (-14.578125, -14.578125, [-14.578125]), (-12.125, -12.125, [-12.125]), (-13.84375, -13.84375, [-13.84375]), (-14.8125, -14.8125, [-14.8125]), (-14.03125, -14.03125, [-14.03125]), (-14.59375, -14.59375, [-14.59375]), (-15.28125, -15.28125, [-15.28125])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, slack is ",present,absent,slack,7,clothing,"[(-12.9375, -12.9375, [-12.9375]), (-13.84375, -13.84375, [-13.84375]), (-13.15625, -13.15625, [-13.15625]), (-12.71875, -12.71875, [-12.71875]), (-15.84375, -15.84375, [-15.84375]), (-13.53125, -13.53125, [-13.53125]), (-13.09375, -13.09375, [-13.09375]), (-14.25, -14.25, [-14.25]), (-12.40625, -12.40625, [-12.40625]), (-13.25, -13.25, [-13.25]), (-14.5, -14.5, [-14.5]), (-14.21875, -14.21875, [-14.21875]), (-15.34375, -15.34375, [-15.34375]), (-11.5625, -11.5625, [-11.5625]), (-11.875, -11.875, [-11.875]), (-15.734375, -15.734375, [-15.734375]), (-16.0625, -16.0625, [-16.0625]), (-15.0, -15.0, [-15.0]), (-14.625, -14.625, [-14.625]), (-14.59375, -14.59375, [-14.59375]), (-10.8125, -10.8125, [-10.8125]), (-14.90625, -14.90625, [-14.90625]), (-15.3125, -15.3125, [-15.3125]), (-16.71875, -16.71875, [-16.71875]), (-15.4375, -15.4375, [-15.4375]), (-12.53125, -12.53125, [-12.53125]), (-13.34375, -13.34375, [-13.34375]), (-15.53125, -15.53125, [-15.53125]), (-12.46875, -12.46875, [-12.46875]), (-14.40625, -14.40625, [-14.40625]), (-11.375, -11.375, [-11.375]), (-12.46875, -12.46875, [-12.46875]), (-14.15625, -14.15625, [-14.15625]), (-11.875, -11.875, [-11.875]), (-16.0, -16.0, [-16.0]), (-14.375, -14.375, [-14.375]), (-14.4375, -14.4375, [-14.4375]), (-14.5, -14.5, [-14.5]), (-14.3125, -14.3125, [-14.3125]), (-12.8125, -12.8125, [-12.8125]), (-8.25, -8.25, [-8.25]), (-16.90625, -16.90625, [-16.90625]), (-15.875, -15.875, [-15.875]), (-13.9375, -13.9375, [-13.9375]), (-18.5, -18.5, [-18.5]), (-12.6875, -12.6875, [-12.6875]), (-15.875, -15.875, [-15.875]), (-15.15625, -15.15625, [-15.15625]), (-8.59375, -8.59375, [-8.59375]), (-13.84375, -13.84375, [-13.84375])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, jacket is ",present,absent,jacket,8,clothing,"[(-13.5625, -13.5625, [-13.5625]), (-13.375, -13.375, [-13.375]), (-10.90625, -10.90625, [-10.90625]), (-17.0, -17.0, [-17.0]), (-12.09375, -12.09375, [-12.09375]), (-12.1875, -12.1875, [-12.1875]), (-11.65625, -11.65625, [-11.65625]), (-12.8125, -12.8125, [-12.8125]), (-11.78125, -11.78125, [-11.78125]), (-10.34375, -10.34375, [-10.34375]), (-14.125, -14.125, [-14.125]), (-13.375, -13.375, [-13.375]), (-12.53125, -12.53125, [-12.53125]), (-13.890625, -13.890625, [-13.890625]), (-13.96875, -13.96875, [-13.96875]), (-13.46875, -13.46875, [-13.46875]), (-11.03125, -11.03125, [-11.03125]), (-13.84375, -13.84375, [-13.84375]), (-14.125, -14.125, [-14.125]), (-13.34375, -13.34375, [-13.34375]), (-13.375, -13.375, [-13.375]), (-12.1875, -12.1875, [-12.1875]), (-14.34375, -14.34375, [-14.34375]), (-16.40625, -16.40625, [-16.40625]), (-13.90625, -13.90625, [-13.90625]), (-12.5625, -12.5625, [-12.5625]), (-13.5, -13.5, [-13.5]), (-14.3125, -14.3125, [-14.3125]), (-9.625, -9.625, [-9.625]), (-11.90625, -11.90625, [-11.90625]), (-12.09375, -12.09375, [-12.09375]), (-11.78125, -11.78125, [-11.78125]), (-13.40625, -13.40625, [-13.40625]), (-13.5625, -13.5625, [-13.5625]), (-17.4375, -17.4375, [-17.4375]), (-11.125, -11.125, [-11.125]), (-13.5, -13.5, [-13.5]), (-13.71875, -13.71875, [-13.71875]), (-10.84375, -10.84375, [-10.84375]), (-12.75, -12.75, [-12.75]), (-11.0625, -11.0625, [-11.0625]), (-13.0, -13.0, [-13.0]), (-13.8125, -13.8125, [-13.8125]), (-13.71875, -13.71875, [-13.71875]), (-13.375, -13.375, [-13.375]), (-13.1875, -13.1875, [-13.1875]), (-12.8125, -12.8125, [-12.8125]), (-12.4375, -12.4375, [-12.4375]), (-13.0625, -13.0625, [-13.0625]), (-13.5625, -13.5625, [-13.5625])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, coat is ",present,absent,coat,9,clothing,"[(-12.75, -12.75, [-12.75]), (-12.125, -12.125, [-12.125]), (-11.96875, -11.96875, [-11.96875]), (-15.75, -15.75, [-15.75]), (-13.4375, -13.4375, [-13.4375]), (-12.53125, -12.53125, [-12.53125]), (-16.09375, -16.09375, [-16.09375]), (-12.78125, -12.78125, [-12.78125]), (-12.65625, -12.65625, [-12.65625]), (-13.90625, -13.90625, [-13.90625]), (-12.28125, -12.28125, [-12.28125]), (-15.75, -15.75, [-15.75]), (-12.296875, -12.296875, [-12.296875]), (-10.46875, -10.46875, [-10.46875]), (-13.21875, -13.21875, [-13.21875]), (-13.40625, -13.40625, [-13.40625]), (-15.46875, -15.46875, [-15.46875]), (-11.875, -11.875, [-11.875]), (-11.84375, -11.84375, [-11.84375]), (-15.46875, -15.46875, [-15.46875]), (-11.4375, -11.4375, [-11.4375]), (-14.34375, -14.34375, [-14.34375]), (-15.65625, -15.65625, [-15.65625]), (-12.53125, -12.53125, [-12.53125]), (-12.125, -12.125, [-12.125]), (-12.46875, -12.46875, [-12.46875]), (-12.3125, -12.3125, [-12.3125]), (-13.3125, -13.3125, [-13.3125]), (-15.59375, -15.59375, [-15.59375]), (-13.40625, -13.40625, [-13.40625]), (-13.59375, -13.59375, [-13.59375]), (-14.0625, -14.0625, [-14.0625]), (-14.625, -14.625, [-14.625]), (-13.40625, -13.40625, [-13.40625]), (-12.34375, -12.34375, [-12.34375]), (-11.78125, -11.78125, [-11.78125]), (-12.84375, -12.84375, [-12.84375]), (-14.40625, -14.40625, [-14.40625]), (-12.5, -12.5, [-12.5]), (-15.15625, -15.15625, [-15.15625]), (-11.65625, -11.65625, [-11.65625]), (-13.5, -13.5, [-13.5]), (-12.28125, -12.28125, [-12.28125]), (-11.875, -11.875, [-11.875]), (-12.28125, -12.28125, [-12.28125]), (-11.65625, -11.65625, [-11.65625]), (-14.53125, -14.53125, [-14.53125]), (-14.46875, -14.46875, [-14.46875]), (-13.78125, -13.78125, [-13.78125]), (-12.1875, -12.1875, [-12.1875])]",124439808,gpt2
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sweater is ",present,present,sweater,10,clothing,"[(-14.40625, -14.40625, [-14.40625]), (-11.84375, -11.84375, [-11.84375]), (-13.53125, -13.53125, [-13.53125]), (-12.84375, -12.84375, [-12.84375]), (-13.6875, -13.6875, [-13.6875]), (-11.5625, -11.5625, [-11.5625]), (-14.46875, -14.46875, [-14.46875]), (-14.5, -14.5, [-14.5]), (-13.53125, -13.53125, [-13.53125]), (-16.5, -16.5, [-16.5]), (-13.21875, -13.21875, [-13.21875]), (-12.34375, -12.34375, [-12.34375]), (-14.6875, -14.6875, [-14.6875]), (-14.125, -14.125, [-14.125]), (-14.15625, -14.15625, [-14.15625]), (-13.0, -13.0, [-13.0]), (-12.234375, -12.234375, [-12.234375]), (-13.5, -13.5, [-13.5]), (-11.59375, -11.59375, [-11.59375]), (-11.34375, -11.34375, [-11.34375]), (-11.8125, -11.8125, [-11.8125]), (-13.28125, -13.28125, [-13.28125]), (-12.84375, -12.84375, [-12.84375]), (-16.78125, -16.78125, [-16.78125]), (-14.25, -14.25, [-14.25]), (-11.75, -11.75, [-11.75]), (-12.71875, -12.71875, [-12.71875]), (-14.78125, -14.78125, [-14.78125]), (-9.4375, -9.4375, [-9.4375]), (-13.9375, -13.9375, [-13.9375]), (-11.9375, -11.9375, [-11.9375]), (-14.78125, -14.78125, [-14.78125]), (-13.25, -13.25, [-13.25]), (-15.125, -15.125, [-15.125]), (-13.34375, -13.34375, [-13.34375]), (-11.59375, -11.59375, [-11.59375]), (-15.75, -15.75, [-15.75]), (-12.28125, -12.28125, [-12.28125]), (-13.46875, -13.46875, [-13.46875]), (-12.28125, -12.28125, [-12.28125]), (-12.375, -12.375, [-12.375]), (-14.9375, -14.9375, [-14.9375]), (-12.90625, -12.90625, [-12.90625]), (-14.1875, -14.1875, [-14.1875]), (-12.9375, -12.9375, [-12.9375]), (-16.78125, -16.78125, [-16.78125]), (-14.71875, -14.71875, [-14.71875]), (-12.25, -12.25, [-12.25]), (-16.875, -16.875, [-16.875]), (-12.3125, -12.3125, [-12.3125])]",124439808,gpt2
