Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, football is ",present,present,football,1,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, baseball is ",present,absent,baseball,2,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, basketball is ",present,absent,basketball,3,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, tennis is ",present,present,tennis,4,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, softball is ",present,present,softball,5,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, canoeing is ",present,absent,canoeing,6,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, handball is ",present,present,handball,7,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, rugby is ",present,present,rugby,8,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, hockey is ",present,absent,hockey,9,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, ice hockey is ",present,present,ice hockey,10,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, swimming is ",present,absent,swimming,11,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, track is ",present,absent,track,12,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, boxing is ",present,present,boxing,13,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, volleyball is ",present,absent,volleyball,14,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, lacrosse is ",present,present,lacrosse,15,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, skiing is ",present,absent,skiing,16,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, golf is ",present,present,golf,17,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, polo is ",present,present,polo,18,sport
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, surfing is ",present,present,surfing,19,sport
