Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, saw is ",present,present,saw,1,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, hammer is ",present,absent,hammer,2,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, ruler is ",present,absent,ruler,3,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, screwdriver is ",present,present,screwdriver,4,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, drill is ",present,present,drill,5,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, nail is ",present,present,nail,6,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, tape measure is ",present,present,tape measure,7,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, sawhorse is ",present,present,sawhorse,8,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, sandpaper is ",present,absent,sandpaper,9,tool
1,"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: chalk, plane, wheelbarrow, saw, square, screwdriver, T-square, apron, plaster, sawhorse, axe, file, nut, slide rule, knife, awl, pliers, vise, tape measure, miter box, wood, crowbar, drill, chisel, plumb line, wrench, screw, stapler, anvil, nail, crane. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, sander is ",present,absent,sander,10,tool
