Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, chair is ",present,present,chair,1,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, sofa is ",present,absent,sofa,2,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, couch is ",present,absent,couch,3,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, table is ",present,present,table,4,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, easy chair is ",present,absent,easy chair,5,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, dresser is ",present,present,dresser,6,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, rocking chair is ",present,absent,rocking chair,7,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, coffee table is ",present,present,coffee table,8,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, rocker is ",present,present,rocker,9,furniture
1,"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: refrigerator, magazine rack, stove, end table, lamp, radio, dresser, chest of drawers, china closet, davenport, piano, bookcase, table, cushion, bed, rocker, vase, divan, coffee table, hassock, cupboard, counter, chair, cedar chest, night table, ashtray, closet, clock, love seat, buffet, hi-fi. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, love seat is ",present,present,love seat,10,furniture
