Preamble,Person,Fan_Person,Place,Fan_Place,Dependent_Variable,True_Category
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hospital, the Doctor is ",Doctor,4,Hospital,4,absent,present
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Park, the Doctor is ",Doctor,4,Park,2,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Farm, the Doctor is ",Doctor,4,Farm,2,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Church, the Doctor is ",Doctor,4,Church,6,absent,present
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the School, the Doctor is ",Doctor,4,School,2,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Bank, the Doctor is ",Doctor,4,Bank,0,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Hotel, the Doctor is ",Doctor,4,Hotel,2,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Restaurant, the Doctor is ",Doctor,4,Restaurant,1,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Construction Site, the Doctor is ",Doctor,4,Construction Site,0,absent,absent
"Following is a list that contains a number of people and the places in which they are located. After the list, a person will be judged as either present or absent in a specified place. When asked about person A in place B, if the list says that person A is in place B, answer with present. If the list does not say that person A is in place B, answer with absent. The list of people and places is: The Librarian is in the Studio. The Psychologist is in the Library. The Pharmacist is in the Office Building. The Psychologist is in the Park. The Psychologist is in the Office Building. The Electrician is in the Studio. The Doctor is in the Church. The Pharmacist is in the Clinic. The Journalist is in the Church. The Pharmacist is in the Hospital. The Chef is in the School. The Librarian is in the Laboratory. The Programmer is in the Restaurant. The Builder is in the Clinic. The Clerk is in the Clinic. The Chef is in the Farm. The Teacher is in the University. The Accountant is in the Clinic. The Electrician is in the University. The Pharmacist is in the School. The Librarian is in the Clinic. The Psychologist is in the Church. The Psychologist is in the Hospital. The Pharmacist is in the Courthouse. The Pastor is in the Church. The Chef is in the Hotel. The Teacher is in the Agency. The Psychologist is in the Clinic. The Pharmacist is in the Studio. The Nurse is in the Clinic. The Chef is in the Park. The Electrician is in the Clinic. The Chef is in the Church. The Pharmacist is in the Church. The Pharmacist is in the Agency. The Chef is in the Clinic. The Builder is in the Studio. The Doctor is in the Pharmacy. The Electrician is in the Hospital. The Librarian is in the Factory. The Psychologist is in the Studio. The Librarian is in the University. The Psychologist is in the University. The Pastor is in the Hotel. The Doctor is in the Hospital. The Doctor is in the Clinic. The Pharmacist is in the Farm. The Writer is in the Clinic. The Engineer is in the Clinic. The Artist is in the Agency. The Mechanic is in the Mall. According to the list, in the Mall, the Mechanic is present. According to the list, in the Airport, the Pilot is absent. According to the list, in the Library, the Doctor is ",Doctor,4,Library,1,absent,absent
