Trial,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, robin is ",present,present,robin,1,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, sparrow is ",present,absent,sparrow,2,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, bluejay is ",present,present,bluejay,3,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, bluebird is ",present,absent,bluebird,4,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, canary is ",present,absent,canary,5,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, blackbird is ",present,absent,blackbird,6,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, dove is ",present,present,dove,7,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, lark is ",present,absent,lark,8,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, swallow is ",present,absent,swallow,9,birds
1,"Following is a list that contains a number of birds. After the list, a bird will be judged as either present or absent in the list. If the list contains the bird, answer with present. If the list does not contain the bird, answer with absent. The list of birds is: seagull, wren, crane, thrush, dove, goose, catbird, ostrich, starling, raven, robin, vulture, hawk, peacock, redbird, mockingbird, flamingo, eagle, swan, bluejay, owl, cardinal, duck, magpie, bat, titmouse, parrot. According to the list, magpie is present. According to the list, kingfisher is absent. According to the list, parakeet is ",present,absent,parakeet,10,birds
