preamble,stimulus,item,true_category,category,rank,"score (sum, mean, [list)",params,model
A doll is a,toy.,doll,none,toy,1,"[-8.458717346191406, -7.574117183685303, -10.588603973388672, -10.845396041870117, -11.796015739440918, -11.93281364440918, -11.109317779541016, -10.26375961303711, -11.37185287475586, -11.296548843383789, -9.79169750213623, -7.4910454750061035, -9.404577255249023, -11.487318992614746, -10.345369338989258, -9.819921493530273, -10.197345733642578, -11.019025802612305, -11.718668937683105, -9.299056053161621, -10.954717636108398, -9.451375961303711, -10.988941192626953, -9.748846054077148, -9.733570098876953, -9.614090919494629, -10.484668731689453, -11.305065155029297, -11.286294937133789, -10.086827278137207, -9.575845718383789, -8.544593811035156, -7.79509162902832, -8.60249137878418, -9.985739707946777, -9.409114837646484, -8.906991958618164, -8.760490417480469, -7.340337753295898, -10.459541320800781, -9.52357292175293, -9.264944076538086, -9.73559856414795, -11.703895568847656, -11.130900382995605, -9.383307456970215, -8.748676300048828, -8.562026977539062, -11.53963851928711, -7.970102310180664]",7241732096,mistralai_Mistral-7B-v0.1
A top is a,toy.,top,none,toy,2,"[-11.947063446044922, -12.29017448425293, -10.967293739318848, -9.438081741333008, -11.077285766601562, -8.472277641296387, -10.820728302001953, -10.779176712036133, -8.553705215454102, -8.947446823120117, -9.28304672241211, -9.449251174926758, -10.562274932861328, -11.657814025878906, -10.249709129333496, -9.339227676391602, -11.15208625793457, -10.040022850036621, -9.263096809387207, -10.424802780151367, -11.743413925170898, -9.047435760498047, -11.084218978881836, -7.838479995727539, -10.253287315368652, -10.68647575378418, -9.892005920410156, -9.65368366241455, -10.193443298339844, -9.711246490478516, -10.162420272827148, -9.527130126953125, -10.773456573486328, -10.185870170593262, -11.241927146911621, -8.9451265335083, -8.774604797363281, -10.010313034057617, -11.542243003845215, -8.730365753173828, -9.804264068603516, -10.80622673034668, -9.802009582519531, -9.56619644165039, -8.487781524658203, -11.414892196655273, -10.433980941772461, -9.672370910644531, -10.381757736206055, -9.97772216796875]",7241732096,mistralai_Mistral-7B-v0.1
A jack-in-the-box is a,toy.,jack-in-the-box,none,toy,3,"[-2.88087797164917, -3.2230796813964844, -3.6933388710021973, -2.98195219039917, -9.031423568725586, -3.2734498977661133, -2.867941379547119, -3.0034947395324707, -2.9148635864257812, -3.110651969909668, -3.101203441619873, -3.142651081085205, -3.2457404136657715, -3.5178494453430176, -3.0335068702697754, -3.109546184539795, -2.909496784210205, -2.9611034393310547, -3.31074857711792, -2.769507884979248, -3.126680374145508, -3.184291362762451, -3.155836582183838, -3.471733570098877, -3.43043851852417, -2.811276435852051, -3.0477218627929688, -2.794800281524658, -2.8241710662841797, -3.393037796020508, -7.043665885925293, -2.94387149810791, -8.173249244689941, -3.4527535438537598, -2.7615766525268555, -3.0518622398376465, -3.359705924987793, -3.171999931335449, -3.291193962097168, -3.3163065910339355, -3.2330102920532227, -3.037889003753662, -3.2895188331604004, -3.051497459411621, -2.8462634086608887, -3.070833683013916, -3.251114845275879, -3.5055713653564453, -3.334782600402832, -8.186083793640137]",7241732096,mistralai_Mistral-7B-v0.1
A toy soldier is a,toy.,toy soldier,none,toy,4,"[-10.348129272460938, -9.396308898925781, -9.571026802062988, -10.799032211303711, -9.866060256958008, -9.539054870605469, -11.035497665405273, -10.288076400756836, -10.593027114868164, -10.102148056030273, -10.619805335998535, -10.328439712524414, -8.634782791137695, -10.506770133972168, -10.63723373413086, -9.802807807922363, -10.359619140625, -10.690977096557617, -10.391287803649902, -9.805692672729492, -7.959232330322266, -10.06226921081543, -9.75552749633789, -9.575111389160156, -10.486019134521484, -10.433168411254883, -10.562749862670898, -10.18879508972168, -10.498725891113281, -10.604602813720703, -10.384550094604492, -10.655357360839844, -10.221656799316406, -10.459096908569336, -9.540082931518555, -9.781717300415039, -10.270748138427734, -10.795398712158203, -10.367622375488281, -10.639652252197266, -10.418941497802734, -10.557389259338379, -10.243185043334961, -9.439803123474121, -10.156352996826172, -10.153186798095703, -10.661654472351074, -10.127252578735352, -10.229056358337402, -10.62873649597168]",7241732096,mistralai_Mistral-7B-v0.1
A yo-yo is a,toy.,yo-yo,none,toy,5,"[-12.524338722229004, -13.378256797790527, -12.496049880981445, -13.609526634216309, -9.667179107666016, -12.384395599365234, -13.737295150756836, -13.518431663513184, -7.396415710449219, -13.1431884765625, -11.845415115356445, -11.447615623474121, -11.75223445892334, -13.774712562561035, -13.496173858642578, -13.405786514282227, -14.957964897155762, -13.125222206115723, -13.097087860107422, -11.514420509338379, -12.950543403625488, -12.842644691467285, -12.054698944091797, -12.677030563354492, -9.607444763183594, -12.711129188537598, -13.250982284545898, -12.658864974975586, -12.055407524108887, -14.367303848266602, -13.191061019897461, -13.0762939453125, -13.687023162841797, -11.689252853393555, -12.312919616699219, -12.491474151611328, -12.217338562011719, -13.379753112792969, -9.760152816772461, -12.9486083984375, -13.30567741394043, -13.59800910949707, -9.51854133605957, -12.486154556274414, -13.874034881591797, -12.01982307434082, -13.191500663757324, -13.319808006286621, -11.627992630004883, -9.168734550476074]",7241732096,mistralai_Mistral-7B-v0.1
A block is a,toy.,block,none,toy,6,"[-8.537591934204102, -8.602142333984375, -10.103700637817383, -9.898697853088379, -7.85240364074707, -13.992851257324219, -8.79190731048584, -7.853363990783691, -11.240022659301758, -9.514768600463867, -8.96329402923584, -11.422189712524414, -9.907686233520508, -10.420207977294922, -9.154617309570312, -8.600168228149414, -8.397017478942871, -8.532106399536133, -12.760393142700195, -12.719829559326172, -9.99908447265625, -9.064916610717773, -9.652534484863281, -8.850655555725098, -11.279048919677734, -9.922775268554688, -9.851852416992188, -10.853994369506836, -8.248318672180176, -10.657672882080078, -10.060262680053711, -9.620696067810059, -9.57497501373291, -9.996850967407227, -9.8154296875, -11.919869422912598, -7.4736714363098145, -11.119412422180176, -10.456534385681152, -9.551652908325195, -10.398910522460938, -7.697400093078613, -10.836542129516602, -10.494852066040039, -10.283491134643555, -11.209731101989746, -10.645517349243164, -9.572206497192383, -10.975842475891113, -8.986117362976074]",7241732096,mistralai_Mistral-7B-v0.1
Marbles are,toys.,marbles,none,toy,7,"[-9.666866302490234, -8.406002044677734, -8.911870002746582, -10.778027534484863, -10.011442184448242, -10.41254997253418, -8.0863037109375, -7.961632251739502, -8.916090965270996, -8.607519149780273, -7.911643028259277, -9.263349533081055, -10.51553726196289, -10.000873565673828, -9.23836612701416, -8.077980995178223, -6.839784622192383, -6.6218061447143555, -10.450323104858398, -9.213301658630371, -9.196516990661621, -7.9354448318481445, -9.16655158996582, -7.4530930519104, -10.44827938079834, -8.47983169555664, -7.207728862762451, -10.940375328063965, -9.866918563842773, -9.878620147705078, -9.857501983642578, -9.117931365966797, -9.598723411560059, -10.218975067138672, -9.806578636169434, -10.536474227905273, -6.85106897354126, -8.1933012008667, -9.174417495727539, -7.578747749328613, -8.063878059387207, -7.58941650390625, -9.599737167358398, -7.423550128936768, -8.284311294555664, -10.17042064666748, -9.324960708618164, -9.909724235534668, -8.364076614379883, -8.644200325012207]",7241732096,mistralai_Mistral-7B-v0.1
A rattle is a,toy.,rattle,none,toy,8,"[-10.339384078979492, -10.703142166137695, -9.932478904724121, -10.54987907409668, -10.253168106079102, -10.54909610748291, -10.537012100219727, -10.454265594482422, -10.638396263122559, -10.793058395385742, -10.247291564941406, -10.57793140411377, -10.262991905212402, -10.202991485595703, -10.436668395996094, -10.496109962463379, -10.98643684387207, -10.528661727905273, -10.480117797851562, -10.629545211791992, -10.393869400024414, -10.443927764892578, -10.097070693969727, -9.488872528076172, -10.516233444213867, -11.106939315795898, -10.590364456176758, -10.182405471801758, -10.139593124389648, -10.409457206726074, -10.809958457946777, -10.336973190307617, -9.163162231445312, -10.521156311035156, -10.608335494995117, -10.624980926513672, -10.341276168823242, -10.050220489501953, -9.51923942565918, -10.522167205810547, -10.791499137878418, -10.728011131286621, -10.77130126953125, -10.092175483703613, -10.295295715332031, -10.691187858581543, -10.055830001831055, -9.450769424438477, -10.567678451538086, -10.432868957519531]",7241732096,mistralai_Mistral-7B-v0.1
A stuffed animal is a,toy.,stuffed animal,none,toy,9,"[-10.52086067199707, -10.01565170288086, -10.242515563964844, -10.286588668823242, -10.34813117980957, -9.940511703491211, -10.602222442626953, -10.167030334472656, -10.006013870239258, -9.940956115722656, -10.123849868774414, -10.199762344360352, -9.834203720092773, -10.090438842773438, -10.382125854492188, -9.698699951171875, -9.519189834594727, -10.479891777038574, -10.395355224609375, -9.875895500183105, -9.446924209594727, -10.604846954345703, -10.027837753295898, -9.679765701293945, -10.636198997497559, -10.163239479064941, -10.150981903076172, -10.003307342529297, -10.280017852783203, -9.230745315551758, -10.44845199584961, -9.96475601196289, -10.322613716125488, -10.373673439025879, -10.32406234741211, -10.653006553649902, -9.915584564208984, -10.424837112426758, -9.707038879394531, -11.028871536254883, -10.172329902648926, -9.904558181762695, -9.723237991333008, -11.068096160888672, -10.1802978515625, -10.208723068237305, -9.867677688598633, -10.131206512451172, -10.324538230895996, -10.220699310302734]",7241732096,mistralai_Mistral-7B-v0.1
A water pistol is a,toy.,water pistol,none,toy,10,"[-10.034928321838379, -9.89276123046875, -10.743857383728027, -10.476604461669922, -9.228145599365234, -10.13785171508789, -10.459697723388672, -10.3314208984375, -10.82193660736084, -10.529223442077637, -10.411806106567383, -10.097795486450195, -10.4800443649292, -9.248497009277344, -10.632665634155273, -10.407539367675781, -10.38860034942627, -10.573216438293457, -10.506861686706543, -10.078678131103516, -10.690946578979492, -10.017080307006836, -10.22994613647461, -10.673837661743164, -10.711610794067383, -10.33487319946289, -10.144710540771484, -10.379646301269531, -10.399887084960938, -10.886634826660156, -10.333172798156738, -10.664642333984375, -10.624004364013672, -10.372190475463867, -9.97854995727539, -10.872674942016602, -10.222156524658203, -10.427352905273438, -9.936389923095703, -9.685986518859863, -9.706509590148926, -9.994501113891602, -9.731796264648438, -10.108480453491211, -10.584877967834473, -10.140426635742188, -9.803866386413574, -9.347967147827148, -13.680618286132812, -10.34506607055664]",7241732096,mistralai_Mistral-7B-v0.1
A teddy bear is a,toy.,teddy bear,none,toy,11,"[-7.647189140319824, -7.991455554962158, -8.483175277709961, -7.9394354820251465, -7.626854419708252, -7.623361587524414, -7.368666172027588, -8.064681053161621, -8.168769836425781, -8.467958450317383, -7.89066219329834, -7.613152027130127, -8.096741676330566, -8.416017532348633, -7.740242958068848, -7.831595420837402, -6.789200782775879, -8.190282821655273, -7.277761936187744, -7.810853004455566, -6.958757400512695, -7.633664608001709, -7.750977039337158, -7.983651161193848, -7.672224998474121, -7.95162296295166, -7.308163166046143, -7.312108039855957, -8.038095474243164, -8.370522499084473, -7.501938819885254, -8.160100936889648, -7.702842712402344, -7.598905563354492, -8.662654876708984, -7.9991068840026855, -9.498043060302734, -7.2903313636779785, -8.006498336791992, -7.4496636390686035, -7.6553802490234375, -7.568383693695068, -7.76548433303833, -8.704070091247559, -7.71345329284668, -8.215311050415039, -9.453752517700195, -7.968630313873291, -7.4137654304504395, -7.430047988891602]",7241732096,mistralai_Mistral-7B-v0.1
