Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category,"score (sum, mean, [list)",params,model
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, football is ",present,present,football,1,sport,"[(-13.8125, -13.8125, [-13.8125]), (-15.28125, -15.28125, [-15.28125]), (-13.3125, -13.3125, [-13.3125]), (-13.0625, -13.0625, [-13.0625]), (-13.90625, -13.90625, [-13.90625]), (-13.90625, -13.90625, [-13.90625]), (-14.21875, -14.21875, [-14.21875]), (-13.90625, -13.90625, [-13.90625]), (-16.65625, -16.65625, [-16.65625]), (-13.1875, -13.1875, [-13.1875]), (-16.25, -16.25, [-16.25]), (-15.984375, -15.984375, [-15.984375]), (-13.1875, -13.1875, [-13.1875]), (-15.15625, -15.15625, [-15.15625]), (-15.125, -15.125, [-15.125]), (-13.359375, -13.359375, [-13.359375]), (-12.71875, -12.71875, [-12.71875]), (-13.171875, -13.171875, [-13.171875]), (-13.75, -13.75, [-13.75]), (-14.0, -14.0, [-14.0]), (-12.78125, -12.78125, [-12.78125]), (-10.3125, -10.3125, [-10.3125]), (-15.140625, -15.140625, [-15.140625]), (-13.515625, -13.515625, [-13.515625]), (-13.96875, -13.96875, [-13.96875]), (-13.90625, -13.90625, [-13.90625]), (-13.3125, -13.3125, [-13.3125]), (-14.078125, -14.078125, [-14.078125]), (-14.96875, -14.96875, [-14.96875]), (-15.328125, -15.328125, [-15.328125]), (-13.953125, -13.953125, [-13.953125]), (-12.875, -12.875, [-12.875]), (-17.28125, -17.28125, [-17.28125]), (-11.65625, -11.65625, [-11.65625]), (-12.4375, -12.4375, [-12.4375]), (-12.8125, -12.8125, [-12.8125]), (-12.0, -12.0, [-12.0]), (-15.203125, -15.203125, [-15.203125]), (-14.1875, -14.1875, [-14.1875]), (-18.28125, -18.28125, [-18.28125]), (-15.84375, -15.84375, [-15.84375]), (-18.3125, -18.3125, [-18.3125]), (-14.4375, -14.4375, [-14.4375]), (-14.90625, -14.90625, [-14.90625]), (-16.5, -16.5, [-16.5]), (-16.28125, -16.28125, [-16.28125]), (-13.03125, -13.03125, [-13.03125]), (-13.875, -13.875, [-13.875]), (-11.1875, -11.1875, [-11.1875]), (-14.09375, -14.09375, [-14.09375])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, baseball is ",present,absent,baseball,2,sport,"[(-15.6875, -15.6875, [-15.6875]), (-15.875, -15.875, [-15.875]), (-13.4375, -13.4375, [-13.4375]), (-15.34375, -15.34375, [-15.34375]), (-14.875, -14.875, [-14.875]), (-15.8125, -15.8125, [-15.8125]), (-15.171875, -15.171875, [-15.171875]), (-14.859375, -14.859375, [-14.859375]), (-14.15625, -14.15625, [-14.15625]), (-12.9375, -12.9375, [-12.9375]), (-13.96875, -13.96875, [-13.96875]), (-12.90625, -12.90625, [-12.90625]), (-14.359375, -14.359375, [-14.359375]), (-13.9375, -13.9375, [-13.9375]), (-14.375, -14.375, [-14.375]), (-15.90625, -15.90625, [-15.90625]), (-12.84375, -12.84375, [-12.84375]), (-16.359375, -16.359375, [-16.359375]), (-12.59375, -12.59375, [-12.59375]), (-12.46875, -12.46875, [-12.46875]), (-16.8125, -16.8125, [-16.8125]), (-17.03125, -17.03125, [-17.03125]), (-15.84375, -15.84375, [-15.84375]), (-14.40625, -14.40625, [-14.40625]), (-15.15625, -15.15625, [-15.15625]), (-13.921875, -13.921875, [-13.921875]), (-16.28125, -16.28125, [-16.28125]), (-11.65625, -11.65625, [-11.65625]), (-12.984375, -12.984375, [-12.984375]), (-14.8125, -14.8125, [-14.8125]), (-16.203125, -16.203125, [-16.203125]), (-13.90625, -13.90625, [-13.90625]), (-14.4375, -14.4375, [-14.4375]), (-13.25, -13.25, [-13.25]), (-13.875, -13.875, [-13.875]), (-11.40625, -11.40625, [-11.40625]), (-14.28125, -14.28125, [-14.28125]), (-16.1875, -16.1875, [-16.1875]), (-15.0, -15.0, [-15.0]), (-17.0625, -17.0625, [-17.0625]), (-13.5, -13.5, [-13.5]), (-14.65625, -14.65625, [-14.65625]), (-16.96875, -16.96875, [-16.96875]), (-13.90625, -13.90625, [-13.90625]), (-15.0625, -15.0625, [-15.0625]), (-13.6875, -13.6875, [-13.6875]), (-13.0625, -13.0625, [-13.0625]), (-16.0, -16.0, [-16.0]), (-14.0, -14.0, [-14.0]), (-14.703125, -14.703125, [-14.703125])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, basketball is ",present,absent,basketball,3,sport,"[(-17.421875, -17.421875, [-17.421875]), (-14.640625, -14.640625, [-14.640625]), (-13.6875, -13.6875, [-13.6875]), (-14.859375, -14.859375, [-14.859375]), (-16.0, -16.0, [-16.0]), (-13.9375, -13.9375, [-13.9375]), (-11.5625, -11.5625, [-11.5625]), (-13.25, -13.25, [-13.25]), (-18.28125, -18.28125, [-18.28125]), (-14.78125, -14.78125, [-14.78125]), (-13.84375, -13.84375, [-13.84375]), (-12.8125, -12.8125, [-12.8125]), (-14.84375, -14.84375, [-14.84375]), (-15.65625, -15.65625, [-15.65625]), (-14.03125, -14.03125, [-14.03125]), (-14.8125, -14.8125, [-14.8125]), (-14.625, -14.625, [-14.625]), (-13.03125, -13.03125, [-13.03125]), (-13.03125, -13.03125, [-13.03125]), (-14.96875, -14.96875, [-14.96875]), (-16.84375, -16.84375, [-16.84375]), (-13.0, -13.0, [-13.0]), (-14.875, -14.875, [-14.875]), (-14.21875, -14.21875, [-14.21875]), (-14.96875, -14.96875, [-14.96875]), (-13.8125, -13.8125, [-13.8125]), (-16.5625, -16.5625, [-16.5625]), (-16.1875, -16.1875, [-16.1875]), (-14.90625, -14.90625, [-14.90625]), (-15.3125, -15.3125, [-15.3125]), (-15.40625, -15.40625, [-15.40625]), (-12.1875, -12.1875, [-12.1875]), (-15.65625, -15.65625, [-15.65625]), (-13.6875, -13.6875, [-13.6875]), (-13.3125, -13.3125, [-13.3125]), (-15.25, -15.25, [-15.25]), (-13.0625, -13.0625, [-13.0625]), (-15.71875, -15.71875, [-15.71875]), (-15.0, -15.0, [-15.0]), (-13.8125, -13.8125, [-13.8125]), (-14.75, -14.75, [-14.75]), (-16.03125, -16.03125, [-16.03125]), (-13.71875, -13.71875, [-13.71875]), (-15.59375, -15.59375, [-15.59375]), (-13.78125, -13.78125, [-13.78125]), (-13.84375, -13.84375, [-13.84375]), (-13.65625, -13.65625, [-13.65625]), (-17.96875, -17.96875, [-17.96875]), (-14.75, -14.75, [-14.75]), (-14.875, -14.875, [-14.875])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, tennis is ",present,present,tennis,4,sport,"[(-12.90625, -12.90625, [-12.90625]), (-14.296875, -14.296875, [-14.296875]), (-17.59375, -17.59375, [-17.59375]), (-15.21875, -15.21875, [-15.21875]), (-11.71875, -11.71875, [-11.71875]), (-13.84375, -13.84375, [-13.84375]), (-15.46875, -15.46875, [-15.46875]), (-15.03125, -15.03125, [-15.03125]), (-15.25, -15.25, [-15.25]), (-11.3125, -11.3125, [-11.3125]), (-13.375, -13.375, [-13.375]), (-12.96875, -12.96875, [-12.96875]), (-15.1875, -15.1875, [-15.1875]), (-14.21875, -14.21875, [-14.21875]), (-12.34375, -12.34375, [-12.34375]), (-12.0625, -12.0625, [-12.0625]), (-14.46875, -14.46875, [-14.46875]), (-12.4375, -12.4375, [-12.4375]), (-14.9375, -14.9375, [-14.9375]), (-16.3125, -16.3125, [-16.3125]), (-13.84375, -13.84375, [-13.84375]), (-16.65625, -16.65625, [-16.65625]), (-12.703125, -12.703125, [-12.703125]), (-13.71875, -13.71875, [-13.71875]), (-13.28125, -13.28125, [-13.28125]), (-14.75, -14.75, [-14.75]), (-14.5, -14.5, [-14.5]), (-12.6875, -12.6875, [-12.6875]), (-16.0625, -16.0625, [-16.0625]), (-13.65625, -13.65625, [-13.65625]), (-14.625, -14.625, [-14.625]), (-15.09375, -15.09375, [-15.09375]), (-14.875, -14.875, [-14.875]), (-13.71875, -13.71875, [-13.71875]), (-13.09375, -13.09375, [-13.09375]), (-13.1875, -13.1875, [-13.1875]), (-15.8125, -15.8125, [-15.8125]), (-12.5, -12.5, [-12.5]), (-14.21875, -14.21875, [-14.21875]), (-14.8125, -14.8125, [-14.8125]), (-10.96875, -10.96875, [-10.96875]), (-12.75, -12.75, [-12.75]), (-15.734375, -15.734375, [-15.734375]), (-15.0625, -15.0625, [-15.0625]), (-11.71875, -11.71875, [-11.71875]), (-14.2265625, -14.2265625, [-14.2265625]), (-14.484375, -14.484375, [-14.484375]), (-10.71875, -10.71875, [-10.71875]), (-13.890625, -13.890625, [-13.890625]), (-14.71875, -14.71875, [-14.71875])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, softball is ",present,present,softball,5,sport,"[(-16.4375, -16.4375, [-16.4375]), (-14.125, -14.125, [-14.125]), (-13.59375, -13.59375, [-13.59375]), (-14.6875, -14.6875, [-14.6875]), (-13.09375, -13.09375, [-13.09375]), (-12.65625, -12.65625, [-12.65625]), (-15.5, -15.5, [-15.5]), (-14.390625, -14.390625, [-14.390625]), (-12.65625, -12.65625, [-12.65625]), (-12.53125, -12.53125, [-12.53125]), (-14.375, -14.375, [-14.375]), (-13.25, -13.25, [-13.25]), (-13.5, -13.5, [-13.5]), (-16.25, -16.25, [-16.25]), (-15.140625, -15.140625, [-15.140625]), (-14.984375, -14.984375, [-14.984375]), (-12.34375, -12.34375, [-12.34375]), (-13.3125, -13.3125, [-13.3125]), (-15.6875, -15.6875, [-15.6875]), (-11.96875, -11.96875, [-11.96875]), (-15.65625, -15.65625, [-15.65625]), (-14.84375, -14.84375, [-14.84375]), (-14.390625, -14.390625, [-14.390625]), (-11.75, -11.75, [-11.75]), (-15.59375, -15.59375, [-15.59375]), (-12.8125, -12.8125, [-12.8125]), (-12.9375, -12.9375, [-12.9375]), (-14.0625, -14.0625, [-14.0625]), (-12.9375, -12.9375, [-12.9375]), (-15.6875, -15.6875, [-15.6875]), (-13.59375, -13.59375, [-13.59375]), (-13.71875, -13.71875, [-13.71875]), (-13.0, -13.0, [-13.0]), (-13.34375, -13.34375, [-13.34375]), (-14.84375, -14.84375, [-14.84375]), (-13.0, -13.0, [-13.0]), (-13.546875, -13.546875, [-13.546875]), (-16.25, -16.25, [-16.25]), (-14.4375, -14.4375, [-14.4375]), (-13.90625, -13.90625, [-13.90625]), (-14.5625, -14.5625, [-14.5625]), (-16.1875, -16.1875, [-16.1875]), (-15.0625, -15.0625, [-15.0625]), (-11.96875, -11.96875, [-11.96875]), (-11.9375, -11.9375, [-11.9375]), (-14.0625, -14.0625, [-14.0625]), (-14.78125, -14.78125, [-14.78125]), (-15.171875, -15.171875, [-15.171875]), (-12.65625, -12.65625, [-12.65625]), (-13.03125, -13.03125, [-13.03125])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, canoeing is ",present,absent,canoeing,6,sport,"[(-14.28125, -14.28125, [-14.28125]), (-11.78125, -11.78125, [-11.78125]), (-15.765625, -15.765625, [-15.765625]), (-14.109375, -14.109375, [-14.109375]), (-14.5, -14.5, [-14.5]), (-14.0625, -14.0625, [-14.0625]), (-16.625, -16.625, [-16.625]), (-13.6875, -13.6875, [-13.6875]), (-14.375, -14.375, [-14.375]), (-12.4375, -12.4375, [-12.4375]), (-14.9375, -14.9375, [-14.9375]), (-14.53125, -14.53125, [-14.53125]), (-14.03125, -14.03125, [-14.03125]), (-14.03125, -14.03125, [-14.03125]), (-15.09375, -15.09375, [-15.09375]), (-13.921875, -13.921875, [-13.921875]), (-13.5625, -13.5625, [-13.5625]), (-14.25, -14.25, [-14.25]), (-15.03125, -15.03125, [-15.03125]), (-13.03125, -13.03125, [-13.03125]), (-16.0, -16.0, [-16.0]), (-15.75, -15.75, [-15.75]), (-13.84375, -13.84375, [-13.84375]), (-12.59375, -12.59375, [-12.59375]), (-13.8125, -13.8125, [-13.8125]), (-14.96875, -14.96875, [-14.96875]), (-15.375, -15.375, [-15.375]), (-14.875, -14.875, [-14.875]), (-15.71875, -15.71875, [-15.71875]), (-15.671875, -15.671875, [-15.671875]), (-13.8125, -13.8125, [-13.8125]), (-11.625, -11.625, [-11.625]), (-14.71875, -14.71875, [-14.71875]), (-13.59375, -13.59375, [-13.59375]), (-13.5625, -13.5625, [-13.5625]), (-14.875, -14.875, [-14.875]), (-13.1875, -13.1875, [-13.1875]), (-15.46875, -15.46875, [-15.46875]), (-16.40625, -16.40625, [-16.40625]), (-12.375, -12.375, [-12.375]), (-15.4375, -15.4375, [-15.4375]), (-12.625, -12.625, [-12.625]), (-13.1875, -13.1875, [-13.1875]), (-15.625, -15.625, [-15.625]), (-16.25, -16.25, [-16.25]), (-13.25, -13.25, [-13.25]), (-15.34375, -15.34375, [-15.34375]), (-16.0625, -16.0625, [-16.0625]), (-16.15625, -16.15625, [-16.15625]), (-14.875, -14.875, [-14.875])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, handball is ",present,present,handball,7,sport,"[(-15.40625, -15.40625, [-15.40625]), (-12.46875, -12.46875, [-12.46875]), (-9.5625, -9.5625, [-9.5625]), (-15.84375, -15.84375, [-15.84375]), (-13.96875, -13.96875, [-13.96875]), (-13.25, -13.25, [-13.25]), (-15.09375, -15.09375, [-15.09375]), (-13.5, -13.5, [-13.5]), (-14.5625, -14.5625, [-14.5625]), (-14.8125, -14.8125, [-14.8125]), (-14.0625, -14.0625, [-14.0625]), (-13.03125, -13.03125, [-13.03125]), (-11.15625, -11.15625, [-11.15625]), (-9.96875, -9.96875, [-9.96875]), (-14.90625, -14.90625, [-14.90625]), (-13.765625, -13.765625, [-13.765625]), (-13.53125, -13.53125, [-13.53125]), (-13.625, -13.625, [-13.625]), (-15.65625, -15.65625, [-15.65625]), (-16.71875, -16.71875, [-16.71875]), (-13.21875, -13.21875, [-13.21875]), (-14.15625, -14.15625, [-14.15625]), (-14.875, -14.875, [-14.875]), (-13.28125, -13.28125, [-13.28125]), (-13.0, -13.0, [-13.0]), (-14.5, -14.5, [-14.5]), (-13.09375, -13.09375, [-13.09375]), (-14.21875, -14.21875, [-14.21875]), (-14.671875, -14.671875, [-14.671875]), (-14.421875, -14.421875, [-14.421875]), (-14.3125, -14.3125, [-14.3125]), (-14.46875, -14.46875, [-14.46875]), (-14.171875, -14.171875, [-14.171875]), (-12.625, -12.625, [-12.625]), (-13.65625, -13.65625, [-13.65625]), (-13.015625, -13.015625, [-13.015625]), (-11.625, -11.625, [-11.625]), (-18.96875, -18.96875, [-18.96875]), (-13.734375, -13.734375, [-13.734375]), (-15.0625, -15.0625, [-15.0625]), (-10.3125, -10.3125, [-10.3125]), (-13.46875, -13.46875, [-13.46875]), (-14.765625, -14.765625, [-14.765625]), (-15.15625, -15.15625, [-15.15625]), (-15.625, -15.625, [-15.625]), (-13.09375, -13.09375, [-13.09375]), (-13.65625, -13.65625, [-13.65625]), (-14.34375, -14.34375, [-14.34375]), (-14.5625, -14.5625, [-14.5625]), (-14.21875, -14.21875, [-14.21875])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, rugby is ",present,present,rugby,8,sport,"[(-14.640625, -14.640625, [-14.640625]), (-14.125, -14.125, [-14.125]), (-13.46875, -13.46875, [-13.46875]), (-12.8125, -12.8125, [-12.8125]), (-16.46875, -16.46875, [-16.46875]), (-14.28125, -14.28125, [-14.28125]), (-12.40625, -12.40625, [-12.40625]), (-14.109375, -14.109375, [-14.109375]), (-11.53125, -11.53125, [-11.53125]), (-14.34375, -14.34375, [-14.34375]), (-11.46875, -11.46875, [-11.46875]), (-14.21875, -14.21875, [-14.21875]), (-11.9375, -11.9375, [-11.9375]), (-12.875, -12.875, [-12.875]), (-14.40625, -14.40625, [-14.40625]), (-12.40625, -12.40625, [-12.40625]), (-14.40625, -14.40625, [-14.40625]), (-13.9375, -13.9375, [-13.9375]), (-14.1875, -14.1875, [-14.1875]), (-16.78125, -16.78125, [-16.78125]), (-16.65625, -16.65625, [-16.65625]), (-15.90625, -15.90625, [-15.90625]), (-14.03125, -14.03125, [-14.03125]), (-15.0625, -15.0625, [-15.0625]), (-14.4375, -14.4375, [-14.4375]), (-14.9375, -14.9375, [-14.9375]), (-14.03125, -14.03125, [-14.03125]), (-15.84375, -15.84375, [-15.84375]), (-10.03125, -10.03125, [-10.03125]), (-15.296875, -15.296875, [-15.296875]), (-15.625, -15.625, [-15.625]), (-14.28125, -14.28125, [-14.28125]), (-15.8515625, -15.8515625, [-15.8515625]), (-13.5625, -13.5625, [-13.5625]), (-15.625, -15.625, [-15.625]), (-12.0625, -12.0625, [-12.0625]), (-12.9375, -12.9375, [-12.9375]), (-18.140625, -18.140625, [-18.140625]), (-15.90625, -15.90625, [-15.90625]), (-13.9375, -13.9375, [-13.9375]), (-15.625, -15.625, [-15.625]), (-12.5625, -12.5625, [-12.5625]), (-14.28125, -14.28125, [-14.28125]), (-16.4375, -16.4375, [-16.4375]), (-15.65625, -15.65625, [-15.65625]), (-10.875, -10.875, [-10.875]), (-16.125, -16.125, [-16.125]), (-13.84375, -13.84375, [-13.84375]), (-14.375, -14.375, [-14.375]), (-15.5, -15.5, [-15.5])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, hockey is ",present,absent,hockey,9,sport,"[(-15.40625, -15.40625, [-15.40625]), (-13.46875, -13.46875, [-13.46875]), (-12.5625, -12.5625, [-12.5625]), (-12.9375, -12.9375, [-12.9375]), (-15.1875, -15.1875, [-15.1875]), (-13.96875, -13.96875, [-13.96875]), (-18.25, -18.25, [-18.25]), (-13.25, -13.25, [-13.25]), (-13.3125, -13.3125, [-13.3125]), (-17.75, -17.75, [-17.75]), (-13.3125, -13.3125, [-13.3125]), (-15.3125, -15.3125, [-15.3125]), (-14.25, -14.25, [-14.25]), (-14.03125, -14.03125, [-14.03125]), (-13.65625, -13.65625, [-13.65625]), (-13.25, -13.25, [-13.25]), (-11.9375, -11.9375, [-11.9375]), (-15.84375, -15.84375, [-15.84375]), (-14.796875, -14.796875, [-14.796875]), (-13.34375, -13.34375, [-13.34375]), (-16.59375, -16.59375, [-16.59375]), (-13.46875, -13.46875, [-13.46875]), (-14.5, -14.5, [-14.5]), (-16.4375, -16.4375, [-16.4375]), (-13.90625, -13.90625, [-13.90625]), (-14.84375, -14.84375, [-14.84375]), (-16.09375, -16.09375, [-16.09375]), (-15.140625, -15.140625, [-15.140625]), (-15.90625, -15.90625, [-15.90625]), (-10.734375, -10.734375, [-10.734375]), (-15.8125, -15.8125, [-15.8125]), (-15.1875, -15.1875, [-15.1875]), (-12.5625, -12.5625, [-12.5625]), (-13.734375, -13.734375, [-13.734375]), (-16.46875, -16.46875, [-16.46875]), (-14.6875, -14.6875, [-14.6875]), (-14.84375, -14.84375, [-14.84375]), (-13.90625, -13.90625, [-13.90625]), (-15.125, -15.125, [-15.125]), (-14.0, -14.0, [-14.0]), (-15.3125, -15.3125, [-15.3125]), (-14.375, -14.375, [-14.375]), (-15.78125, -15.78125, [-15.78125]), (-15.625, -15.625, [-15.625]), (-15.96875, -15.96875, [-15.96875]), (-11.71875, -11.71875, [-11.71875]), (-14.4375, -14.4375, [-14.4375]), (-14.125, -14.125, [-14.125]), (-14.71875, -14.71875, [-14.71875]), (-15.71875, -15.71875, [-15.71875])]",124439808,gpt2
1,"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: snowboarding, rugby, softball, chess, dancing, badminton, croquet, horse racing, horseshoes, football, polo, handball, boxing, fencing, camping, golf, fishing, running, racing, surfing, ice skating, archery, diving, tennis, weight lifting, hiking, rowing, lacrosse, checkers, ice hockey. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, ice hockey is ",present,present,ice hockey,10,sport,"[(-14.3125, -14.3125, [-14.3125]), (-15.453125, -15.453125, [-15.453125]), (-13.0, -13.0, [-13.0]), (-15.6875, -15.6875, [-15.6875]), (-10.375, -10.375, [-10.375]), (-14.25, -14.25, [-14.25]), (-11.65625, -11.65625, [-11.65625]), (-12.25, -12.25, [-12.25]), (-12.15625, -12.15625, [-12.15625]), (-13.625, -13.625, [-13.625]), (-11.71875, -11.71875, [-11.71875]), (-14.4375, -14.4375, [-14.4375]), (-13.609375, -13.609375, [-13.609375]), (-14.6875, -14.6875, [-14.6875]), (-15.15625, -15.15625, [-15.15625]), (-16.34375, -16.34375, [-16.34375]), (-16.375, -16.375, [-16.375]), (-12.46875, -12.46875, [-12.46875]), (-17.59375, -17.59375, [-17.59375]), (-11.0625, -11.0625, [-11.0625]), (-16.03125, -16.03125, [-16.03125]), (-15.625, -15.625, [-15.625]), (-11.890625, -11.890625, [-11.890625]), (-13.28125, -13.28125, [-13.28125]), (-14.90625, -14.90625, [-14.90625]), (-15.03125, -15.03125, [-15.03125]), (-15.78125, -15.78125, [-15.78125]), (-14.296875, -14.296875, [-14.296875]), (-13.8125, -13.8125, [-13.8125]), (-13.4375, -13.4375, [-13.4375]), (-10.921875, -10.921875, [-10.921875]), (-14.265625, -14.265625, [-14.265625]), (-11.96875, -11.96875, [-11.96875]), (-15.09375, -15.09375, [-15.09375]), (-12.8125, -12.8125, [-12.8125]), (-12.65625, -12.65625, [-12.65625]), (-12.0625, -12.0625, [-12.0625]), (-16.375, -16.375, [-16.375]), (-14.96875, -14.96875, [-14.96875]), (-12.75, -12.75, [-12.75]), (-16.46875, -16.46875, [-16.46875]), (-16.0, -16.0, [-16.0]), (-13.4375, -13.4375, [-13.4375]), (-13.6875, -13.6875, [-13.6875]), (-13.75, -13.75, [-13.75]), (-15.140625, -15.140625, [-15.140625]), (-14.0, -14.0, [-14.0]), (-14.5, -14.5, [-14.5]), (-12.78125, -12.78125, [-12.78125]), (-14.5, -14.5, [-14.5])]",124439808,gpt2
