Trial_Num,Preamble,Stimulus,True_Category,Item,Rank,Category
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, pant is ",present,present,pant,1,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, shirt is ",present,present,shirt,2,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, dress is ",present,present,dress,3,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, skirt is ",present,present,skirt,4,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, blouse is ",present,absent,blouse,5,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, suit is ",present,absent,suit,6,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, slack is ",present,absent,slack,7,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, jacket is ",present,absent,jacket,8,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, coat is ",present,absent,coat,9,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sweater is ",present,present,sweater,10,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sweatshirt is ",present,present,sweatshirt,11,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, underpant is ",present,present,underpant,12,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sports jacket is ",present,absent,sports jacket,13,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, jumper is ",present,present,jumper,14,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, panty is ",present,present,panty,15,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sock is ",present,present,sock,16,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, parka is ",present,absent,parka,17,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, pajama is ",present,present,pajama,18,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, undershirt is ",present,present,undershirt,19,clothing
1,"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: sweater, earring, skirt, sock, stocking, panty, shirt, ring, vest, watch, pajama, handkerchief, undershirt, cape, overshoe, sweatshirt, pant, glove, hoodie, dress, earmuff, jumper, necklace, boot, underpant, raincoat, scarf, nylon. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, overcoat is ",present,absent,overcoat,20,clothing
